Shape: (8, 8, 8, 8)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(5)): (0.015230702379167052-1.8652230917412906e-18j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(4)): (0.009676076334980495-1.1849775911939317e-18j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(3)): (0.00845618906478433-1.0355844871172978e-18j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(2)): (0.009676076334980495-1.1849775911939317e-18j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(1)): (0.015230702379167052-1.8652230917412906e-18j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(7)): (-0.011616888007227376+2.8453169428208563e-18j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(4)): (0.009676076334980497-1.1849775911939317e-18j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(3)): (0.006261613141429594-7.668264491150751e-19j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(2)): (0.006261613141429591-7.668264491150751e-19j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(1)): (0.009676076334980497-1.1849775911939317e-18j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(7)): (-0.006971926233071468+1.7076294290444866e-18j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(6)): (-0.006971926233071468+1.707629429044487e-18j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(3)): (0.008456189064784328-1.0355844871172976e-18j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(2)): (0.006261613141429591-7.668264491150751e-19j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(1)): (0.008456189064784328-1.0355844871172976e-18j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(7)): (-0.005153841819344595+1.2623271774744256e-18j)
(np.int64(1), np.int64(3), np.int64(6), np.int64(6)): (-0.003594553631483928+8.804117198320573e-19j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(5)): (-0.005153841819344595+1.2623271774744256e-18j)
(np.int64(1), np.int64(4), np.int64(1), np.int64(2)): (0.009676076334980493-1.1849775911939314e-18j)
(np.int64(1), np.int64(4), np.int64(2), np.int64(1)): (0.009676076334980497-1.1849775911939317e-18j)
(np.int64(1), np.int64(4), np.int64(4), np.int64(7)): (-0.0046506530434551+1.1390814727224367e-18j)
(np.int64(1), np.int64(4), np.int64(5), np.int64(6)): (-0.0024913442607053865+6.102033548893962e-19j)
(np.int64(1), np.int64(4), np.int64(6), np.int64(5)): (-0.0024913442607053878+6.102033548893962e-19j)
(np.int64(1), np.int64(4), np.int64(7), np.int64(4)): (-0.0046506530434551+1.1390814727224367e-18j)
(np.int64(1), np.int64(5), np.int64(1), np.int64(1)): (0.015230702379167056-1.8652230917412914e-18j)
(np.int64(1), np.int64(5), np.int64(3), np.int64(7)): (-0.005153841819344595+1.2623271774744256e-18j)
(np.int64(1), np.int64(5), np.int64(4), np.int64(6)): (-0.002491344260705387+6.102033548893963e-19j)
(np.int64(1), np.int64(5), np.int64(5), np.int64(5)): (-0.0018675208824251097+4.574106942005504e-19j)
(np.int64(1), np.int64(5), np.int64(6), np.int64(4)): (-0.0024913442607053873+6.102033548893963e-19j)
(np.int64(1), np.int64(5), np.int64(7), np.int64(3)): (-0.005153841819344595+1.2623271774744256e-18j)
(np.int64(1), np.int64(6), np.int64(2), np.int64(7)): (-0.006971926233071468+1.7076294290444866e-18j)
(np.int64(1), np.int64(6), np.int64(3), np.int64(6)): (-0.0035945536314839284+8.804117198320573e-19j)
(np.int64(1), np.int64(6), np.int64(4), np.int64(5)): (-0.0024913442607053878+6.102033548893962e-19j)
(np.int64(1), np.int64(6), np.int64(5), np.int64(4)): (-0.0024913442607053878+6.102033548893962e-19j)
(np.int64(1), np.int64(6), np.int64(6), np.int64(3)): (-0.0035945536314839284+8.804117198320575e-19j)
(np.int64(1), np.int64(6), np.int64(7), np.int64(2)): (-0.006971926233071468+1.7076294290444866e-18j)
(np.int64(1), np.int64(7), np.int64(1), np.int64(7)): (-0.011616888007227376+2.8453169428208563e-18j)
(np.int64(1), np.int64(7), np.int64(2), np.int64(6)): (-0.006971926233071468+1.707629429044487e-18j)
(np.int64(1), np.int64(7), np.int64(3), np.int64(5)): (-0.005153841819344595+1.2623271774744256e-18j)
(np.int64(1), np.int64(7), np.int64(4), np.int64(4)): (-0.0046506530434551+1.1390814727224365e-18j)
(np.int64(1), np.int64(7), np.int64(5), np.int64(3)): (-0.005153841819344595+1.2623271774744256e-18j)
(np.int64(1), np.int64(7), np.int64(6), np.int64(2)): (-0.006971926233071468+1.707629429044487e-18j)
(np.int64(1), np.int64(7), np.int64(7), np.int64(1)): (-0.011616888007227376+2.8453169428208563e-18j)
(np.int64(2), np.int64(1), np.int64(1), np.int64(4)): (0.020177754584281497-2.4710622565621158e-18j)
(np.int64(2), np.int64(1), np.int64(2), np.int64(3)): (0.01429924969750224-1.7511530372254873e-18j)
(np.int64(2), np.int64(1), np.int64(3), np.int64(2)): (0.01429924969750224-1.751153037225487e-18j)
(np.int64(2), np.int64(1), np.int64(4), np.int64(1)): (0.020177754584281497-2.471062256562116e-18j)
(np.int64(2), np.int64(1), np.int64(6), np.int64(7)): (-0.006971926233071464+1.7076294290444864e-18j)
(np.int64(2), np.int64(1), np.int64(7), np.int64(6)): (-0.006971926233071465+1.7076294290444866e-18j)
(np.int64(2), np.int64(2), np.int64(1), np.int64(3)): (0.01429924969750224-1.751153037225488e-18j)
(np.int64(2), np.int64(2), np.int64(2), np.int64(2)): (0.011048543456039806-1.353056337867958e-18j)
(np.int64(2), np.int64(2), np.int64(3), np.int64(1)): (0.01429924969750224-1.7511530372254873e-18j)
(np.int64(2), np.int64(2), np.int64(5), np.int64(7)): (-0.005193338946989619+1.272001183663625e-18j)
(np.int64(2), np.int64(2), np.int64(6), np.int64(6)): (-0.0036828478186799333+9.020375585786383e-19j)
(np.int64(2), np.int64(2), np.int64(7), np.int64(5)): (-0.005193338946989619+1.272001183663625e-18j)
(np.int64(2), np.int64(3), np.int64(1), np.int64(2)): (0.014299249697502235-1.751153037225487e-18j)
(np.int64(2), np.int64(3), np.int64(2), np.int64(1)): (0.01429924969750224-1.7511530372254873e-18j)
(np.int64(2), np.int64(3), np.int64(4), np.int64(7)): (-0.004361973709697831+1.0683754283092709e-18j)
(np.int64(2), np.int64(3), np.int64(5), np.int64(6)): (-0.002214397015026895+5.423708432988281e-19j)
(np.int64(2), np.int64(3), np.int64(6), np.int64(5)): (-0.002214397015026896+5.423708432988282e-19j)
(np.int64(2), np.int64(3), np.int64(7), np.int64(4)): (-0.004361973709697831+1.0683754283092709e-18j)
(np.int64(2), np.int64(4), np.int64(1), np.int64(1)): (0.020177754584281497-2.471062256562116e-18j)
(np.int64(2), np.int64(4), np.int64(3), np.int64(7)): (-0.004361973709697831+1.0683754283092709e-18j)
(np.int64(2), np.int64(4), np.int64(4), np.int64(6)): (-0.0017872174505605188+4.377420260418465e-19j)
(np.int64(2), np.int64(4), np.int64(5), np.int64(5)): (-0.0011562916558354637+2.832097750399387e-19j)
(np.int64(2), np.int64(4), np.int64(6), np.int64(4)): (-0.0017872174505605188+4.377420260418465e-19j)
(np.int64(2), np.int64(4), np.int64(7), np.int64(3)): (-0.004361973709697831+1.0683754283092709e-18j)
(np.int64(2), np.int64(5), np.int64(2), np.int64(7)): (-0.005193338946989619+1.272001183663625e-18j)
(np.int64(2), np.int64(5), np.int64(3), np.int64(6)): (-0.002214397015026895+5.423708432988281e-19j)
(np.int64(2), np.int64(5), np.int64(4), np.int64(5)): (-0.001156291655835463+2.832097750399387e-19j)
(np.int64(2), np.int64(5), np.int64(5), np.int64(4)): (-0.001156291655835464+2.832097750399387e-19j)
(np.int64(2), np.int64(5), np.int64(6), np.int64(3)): (-0.002214397015026895+5.42370843298828e-19j)
(np.int64(2), np.int64(5), np.int64(7), np.int64(2)): (-0.00519333894698962+1.2720011836636247e-18j)
(np.int64(2), np.int64(6), np.int64(1), np.int64(7)): (-0.006971926233071465+1.7076294290444866e-18j)
(np.int64(2), np.int64(6), np.int64(2), np.int64(6)): (-0.0036828478186799337+9.020375585786385e-19j)
(np.int64(2), np.int64(6), np.int64(3), np.int64(5)): (-0.002214397015026895+5.423708432988282e-19j)
(np.int64(2), np.int64(6), np.int64(4), np.int64(4)): (-0.0017872174505605188+4.377420260418465e-19j)
(np.int64(2), np.int64(6), np.int64(5), np.int64(3)): (-0.002214397015026895+5.423708432988281e-19j)
(np.int64(2), np.int64(6), np.int64(6), np.int64(2)): (-0.0036828478186799337+9.020375585786385e-19j)
(np.int64(2), np.int64(6), np.int64(7), np.int64(1)): (-0.006971926233071465+1.7076294290444866e-18j)
(np.int64(2), np.int64(7), np.int64(1), np.int64(6)): (-0.006971926233071466+1.707629429044487e-18j)
(np.int64(2), np.int64(7), np.int64(2), np.int64(5)): (-0.005193338946989619+1.2720011836636247e-18j)
(np.int64(2), np.int64(7), np.int64(3), np.int64(4)): (-0.004361973709697831+1.0683754283092709e-18j)
(np.int64(2), np.int64(7), np.int64(4), np.int64(3)): (-0.004361973709697831+1.0683754283092709e-18j)
(np.int64(2), np.int64(7), np.int64(5), np.int64(2)): (-0.00519333894698962+1.2720011836636247e-18j)
(np.int64(2), np.int64(7), np.int64(6), np.int64(1)): (-0.006971926233071466+1.707629429044487e-18j)
(np.int64(3), np.int64(1), np.int64(1), np.int64(3)): (0.024401332079996365-2.9883013226699177e-18j)
(np.int64(3), np.int64(1), np.int64(2), np.int64(2)): (0.019669826743629222-2.4088590361368536e-18j)
(np.int64(3), np.int64(1), np.int64(3), np.int64(1)): (0.024401332079996365-2.9883013226699177e-18j)
(np.int64(3), np.int64(1), np.int64(5), np.int64(7)): (-0.005153841819344595+1.262327177474426e-18j)
(np.int64(3), np.int64(1), np.int64(6), np.int64(6)): (-0.004125064752549651+1.0103494690970998e-18j)
(np.int64(3), np.int64(1), np.int64(7), np.int64(5)): (-0.005153841819344595+1.262327177474426e-18j)
(np.int64(3), np.int64(2), np.int64(1), np.int64(2)): (0.01966982674362923-2.4088590361368544e-18j)
(np.int64(3), np.int64(2), np.int64(2), np.int64(1)): (0.019669826743629232-2.4088590361368544e-18j)
(np.int64(3), np.int64(2), np.int64(4), np.int64(7)): (-0.003989882377508639+9.772393365180771e-19j)
(np.int64(3), np.int64(2), np.int64(5), np.int64(6)): (-0.0022143970150268963+5.423708432988283e-19j)
(np.int64(3), np.int64(2), np.int64(6), np.int64(5)): (-0.0022143970150268963+5.423708432988283e-19j)
(np.int64(3), np.int64(2), np.int64(7), np.int64(4)): (-0.003989882377508638+9.772393365180771e-19j)
(np.int64(3), np.int64(3), np.int64(1), np.int64(1)): (0.024401332079996365-2.9883013226699177e-18j)
(np.int64(3), np.int64(3), np.int64(3), np.int64(7)): (-0.0036282364557188172+8.886616324091573e-19j)
(np.int64(3), np.int64(3), np.int64(4), np.int64(6)): (-0.0013957674987884095+3.418644399490265e-19j)
(np.int64(3), np.int64(3), np.int64(5), np.int64(5)): (-0.0008255868113599328+2.0221044919004232e-19j)
(np.int64(3), np.int64(3), np.int64(6), np.int64(4)): (-0.0013957674987884097+3.4186443994902654e-19j)
(np.int64(3), np.int64(3), np.int64(7), np.int64(3)): (-0.0036282364557188172+8.886616324091573e-19j)
(np.int64(3), np.int64(4), np.int64(2), np.int64(7)): (-0.003989882377508638+9.772393365180771e-19j)
(np.int64(3), np.int64(4), np.int64(3), np.int64(6)): (-0.0013957674987884095+3.4186443994902654e-19j)
(np.int64(3), np.int64(4), np.int64(4), np.int64(5)): (-0.0004121471864227087+1.0094694652603156e-19j)
(np.int64(3), np.int64(4), np.int64(5), np.int64(4)): (-0.0004121471864227087+1.0094694652603156e-19j)
(np.int64(3), np.int64(4), np.int64(6), np.int64(3)): (-0.001395767498788409+3.418644399490265e-19j)
(np.int64(3), np.int64(4), np.int64(7), np.int64(2)): (-0.003989882377508638+9.772393365180771e-19j)
(np.int64(3), np.int64(5), np.int64(1), np.int64(7)): (-0.005153841819344595+1.262327177474426e-18j)
(np.int64(3), np.int64(5), np.int64(2), np.int64(6)): (-0.0022143970150268963+5.423708432988283e-19j)
(np.int64(3), np.int64(5), np.int64(3), np.int64(5)): (-0.0008255868113599328+2.0221044919004232e-19j)
(np.int64(3), np.int64(5), np.int64(4), np.int64(4)): (-0.0004121471864227087+1.0094694652603156e-19j)
(np.int64(3), np.int64(5), np.int64(5), np.int64(3)): (-0.0008255868113599328+2.0221044919004232e-19j)
(np.int64(3), np.int64(5), np.int64(6), np.int64(2)): (-0.0022143970150268963+5.423708432988282e-19j)
(np.int64(3), np.int64(5), np.int64(7), np.int64(1)): (-0.005153841819344595+1.262327177474426e-18j)
(np.int64(3), np.int64(6), np.int64(1), np.int64(6)): (-0.004125064752549651+1.0103494690970998e-18j)
(np.int64(3), np.int64(6), np.int64(2), np.int64(5)): (-0.0022143970150268963+5.423708432988282e-19j)
(np.int64(3), np.int64(6), np.int64(3), np.int64(4)): (-0.0013957674987884095+3.418644399490265e-19j)
(np.int64(3), np.int64(6), np.int64(4), np.int64(3)): (-0.0013957674987884095+3.418644399490265e-19j)
(np.int64(3), np.int64(6), np.int64(5), np.int64(2)): (-0.0022143970150268963+5.423708432988282e-19j)
(np.int64(3), np.int64(6), np.int64(6), np.int64(1)): (-0.004125064752549651+1.0103494690970996e-18j)
(np.int64(3), np.int64(7), np.int64(1), np.int64(5)): (-0.005153841819344595+1.262327177474426e-18j)
(np.int64(3), np.int64(7), np.int64(2), np.int64(4)): (-0.003989882377508638+9.772393365180771e-19j)
(np.int64(3), np.int64(7), np.int64(3), np.int64(3)): (-0.0036282364557188172+8.886616324091573e-19j)
(np.int64(3), np.int64(7), np.int64(4), np.int64(2)): (-0.003989882377508638+9.772393365180771e-19j)
(np.int64(3), np.int64(7), np.int64(5), np.int64(1)): (-0.005153841819344595+1.262327177474426e-18j)
(np.int64(3), np.int64(7), np.int64(7), np.int64(7)): (0.040005850608390306-1.4697911068419714e-17j)
(np.int64(4), np.int64(1), np.int64(1), np.int64(2)): (0.029658793345994566-3.632154633774505e-18j)
(np.int64(4), np.int64(1), np.int64(2), np.int64(1)): (0.029658793345994566-3.632154633774505e-18j)
(np.int64(4), np.int64(1), np.int64(4), np.int64(7)): (-0.0046506530434551+1.1390814727224365e-18j)
(np.int64(4), np.int64(1), np.int64(5), np.int64(6)): (-0.003550970724963486+8.697369864384976e-19j)
(np.int64(4), np.int64(1), np.int64(6), np.int64(5)): (-0.0035509707249634865+8.697369864384974e-19j)
(np.int64(4), np.int64(1), np.int64(7), np.int64(4)): (-0.0046506530434551+1.1390814727224365e-18j)
(np.int64(4), np.int64(2), np.int64(1), np.int64(1)): (0.029658793345994566-3.632154633774505e-18j)
(np.int64(4), np.int64(2), np.int64(3), np.int64(7)): (-0.0035509707249634865+8.697369864384976e-19j)
(np.int64(4), np.int64(2), np.int64(4), np.int64(6)): (-0.0017872174505605195+4.377420260418467e-19j)
(np.int64(4), np.int64(2), np.int64(5), np.int64(5)): (-0.001311674765700737+3.212676606675524e-19j)
(np.int64(4), np.int64(2), np.int64(6), np.int64(4)): (-0.0017872174505605195+4.377420260418467e-19j)
(np.int64(4), np.int64(2), np.int64(7), np.int64(3)): (-0.0035509707249634865+8.697369864384978e-19j)
(np.int64(4), np.int64(3), np.int64(2), np.int64(7)): (-0.0035509707249634865+8.697369864384976e-19j)
(np.int64(4), np.int64(3), np.int64(3), np.int64(6)): (-0.001311674765700737+3.212676606675526e-19j)
(np.int64(4), np.int64(3), np.int64(4), np.int64(5)): (-0.00041214718642270873+1.0094694652603164e-19j)
