Shape: (8, 8, 8, 8)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(1)): (0.10669417382415901+1.076558557453464e-18j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(2)): (-0.033824756259137105+4.142337948469193e-18j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(1)): (-0.03382475625913709+4.142337948469192e-18j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(3)): (-0.044194173824159216+5.4122253514718346e-18j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(1)): (-0.044194173824159216+5.4122253514718346e-18j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(7)): (0.04419417382415923-7.758671311927939e-18j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(5)): (0.04419417382415923-7.758671311927939e-18j)
(np.int64(1), np.int64(4), np.int64(1), np.int64(4)): (-0.04783542904563622+5.858150506657873e-18j)
(np.int64(1), np.int64(4), np.int64(4), np.int64(1)): (-0.04783542904563622+5.858150506657873e-18j)
(np.int64(1), np.int64(5), np.int64(1), np.int64(5)): (-0.04419417382415924+5.412225351471833e-18j)
(np.int64(1), np.int64(5), np.int64(5), np.int64(1)): (-0.04419417382415924+5.412225351471833e-18j)
(np.int64(1), np.int64(6), np.int64(1), np.int64(6)): (-0.033824756259137306+4.142337948469192e-18j)
(np.int64(1), np.int64(6), np.int64(6), np.int64(1)): (-0.033824756259137306+4.142337948469192e-18j)
(np.int64(1), np.int64(7), np.int64(1), np.int64(7)): (-0.01830582617584079+2.2418171431991253e-18j)
(np.int64(1), np.int64(7), np.int64(7), np.int64(1)): (-0.01830582617584079+2.2418171431991253e-18j)
(np.int64(2), np.int64(1), np.int64(1), np.int64(2)): (-0.03382475625913709+4.142337948469193e-18j)
(np.int64(2), np.int64(1), np.int64(2), np.int64(1)): (-0.03382475625913708+4.142337948469192e-18j)
(np.int64(2), np.int64(2), np.int64(2), np.int64(2)): (0.06250000000000001+3.170408208272708e-18j)
(np.int64(2), np.int64(2), np.int64(6), np.int64(6)): (0.06249999999999999-1.0824450702943663e-17j)
(np.int64(2), np.int64(3), np.int64(2), np.int64(3)): (-0.08166018530477359+1.0000488455127065e-17j)
(np.int64(2), np.int64(3), np.int64(3), np.int64(2)): (-0.08166018530477359+1.0000488455127065e-17j)
(np.int64(2), np.int64(4), np.int64(2), np.int64(4)): (-0.08838834764831843+1.0824450702943665e-17j)
(np.int64(2), np.int64(4), np.int64(4), np.int64(2)): (-0.08838834764831843+1.0824450702943665e-17j)
(np.int64(2), np.int64(5), np.int64(2), np.int64(5)): (-0.08166018530477351+1.0000488455127062e-17j)
(np.int64(2), np.int64(5), np.int64(5), np.int64(2)): (-0.08166018530477351+1.0000488455127062e-17j)
(np.int64(2), np.int64(6), np.int64(2), np.int64(6)): (-0.06249999999999999+7.654042494670956e-18j)
(np.int64(2), np.int64(6), np.int64(6), np.int64(2)): (-0.06249999999999999+7.654042494670956e-18j)
(np.int64(2), np.int64(7), np.int64(2), np.int64(7)): (-0.03382475625913733+6.295455063376121e-18j)
(np.int64(2), np.int64(7), np.int64(7), np.int64(2)): (-0.03382475625913733+6.295455063376121e-18j)
(np.int64(3), np.int64(1), np.int64(1), np.int64(3)): (-0.044194173824159216+5.4122253514718346e-18j)
(np.int64(3), np.int64(1), np.int64(3), np.int64(1)): (-0.044194173824159216+5.4122253514718346e-18j)
(np.int64(3), np.int64(1), np.int64(5), np.int64(7)): (0.04419417382415923-7.758671311927939e-18j)
(np.int64(3), np.int64(1), np.int64(7), np.int64(5)): (0.04419417382415923-7.75867131192794e-18j)
(np.int64(3), np.int64(2), np.int64(2), np.int64(3)): (-0.08166018530477359+1.0000488455127065e-17j)
(np.int64(3), np.int64(2), np.int64(3), np.int64(2)): (-0.0816601853047736+1.0000488455127065e-17j)
(np.int64(3), np.int64(3), np.int64(3), np.int64(3)): (0.018305826175840777+3.6163333634587464e-18j)
(np.int64(3), np.int64(4), np.int64(3), np.int64(4)): (-0.11548494156391086+1.4142826403596256e-17j)
(np.int64(3), np.int64(4), np.int64(4), np.int64(3)): (-0.11548494156391086+1.4142826403596256e-17j)
(np.int64(3), np.int64(5), np.int64(3), np.int64(5)): (-0.10669417382415917+1.3066267846142784e-17j)
(np.int64(3), np.int64(5), np.int64(5), np.int64(3)): (-0.10669417382415917+1.3066267846142784e-17j)
(np.int64(3), np.int64(6), np.int64(3), np.int64(6)): (-0.08166018530477351+1.3801530065667191e-17j)
(np.int64(3), np.int64(6), np.int64(6), np.int64(3)): (-0.08166018530477352+1.3801530065667192e-17j)
(np.int64(3), np.int64(7), np.int64(3), np.int64(7)): (-0.04419417382415922+9.213266962011965e-18j)
(np.int64(3), np.int64(7), np.int64(7), np.int64(3)): (-0.04419417382415922+9.213266962011965e-18j)
(np.int64(4), np.int64(1), np.int64(1), np.int64(4)): (-0.04783542904563622+5.858150506657873e-18j)
(np.int64(4), np.int64(1), np.int64(4), np.int64(1)): (-0.04783542904563622+5.858150506657873e-18j)
(np.int64(4), np.int64(2), np.int64(2), np.int64(4)): (-0.08838834764831843+1.0824450702943665e-17j)
(np.int64(4), np.int64(2), np.int64(4), np.int64(2)): (-0.08838834764831843+1.0824450702943665e-17j)
(np.int64(4), np.int64(3), np.int64(3), np.int64(4)): (-0.11548494156391086+1.4142826403596256e-17j)
(np.int64(4), np.int64(3), np.int64(4), np.int64(3)): (-0.11548494156391086+1.4142826403596256e-17j)
(np.int64(4), np.int64(5), np.int64(4), np.int64(5)): (-0.11548494156391086+1.8835718324508472e-17j)
(np.int64(4), np.int64(5), np.int64(5), np.int64(4)): (-0.11548494156391086+1.8835718324508472e-17j)
(np.int64(4), np.int64(6), np.int64(4), np.int64(6)): (-0.08838834764831843+1.7165267119489086e-17j)
(np.int64(4), np.int64(6), np.int64(6), np.int64(4)): (-0.08838834764831843+1.7165267119489086e-17j)
(np.int64(4), np.int64(7), np.int64(4), np.int64(7)): (-0.04783542904563622+1.0551042427570088e-17j)
(np.int64(4), np.int64(7), np.int64(7), np.int64(4)): (-0.04783542904563622+1.0551042427570088e-17j)
(np.int64(5), np.int64(1), np.int64(1), np.int64(5)): (-0.04419417382415924+5.412225351471833e-18j)
(np.int64(5), np.int64(1), np.int64(5), np.int64(1)): (-0.04419417382415924+5.412225351471833e-18j)
(np.int64(5), np.int64(2), np.int64(2), np.int64(5)): (-0.08166018530477351+1.0000488455127062e-17j)
(np.int64(5), np.int64(2), np.int64(5), np.int64(2)): (-0.08166018530477351+1.0000488455127062e-17j)
(np.int64(5), np.int64(3), np.int64(3), np.int64(5)): (-0.10669417382415917+1.3066267846142784e-17j)
(np.int64(5), np.int64(3), np.int64(5), np.int64(3)): (-0.10669417382415917+1.3066267846142784e-17j)
(np.int64(5), np.int64(4), np.int64(4), np.int64(5)): (-0.11548494156391086+1.8835718324508472e-17j)
(np.int64(5), np.int64(4), np.int64(5), np.int64(4)): (-0.11548494156391086+1.8835718324508472e-17j)
(np.int64(5), np.int64(5), np.int64(5), np.int64(5)): (0.018305826175840773-8.673009229394995e-19j)
(np.int64(5), np.int64(6), np.int64(5), np.int64(6)): (-0.08166018530477348+1.7233155182044535e-17j)
(np.int64(5), np.int64(6), np.int64(6), np.int64(5)): (-0.08166018530477347+1.7233155182044535e-17j)
(np.int64(5), np.int64(7), np.int64(1), np.int64(3)): (0.04419417382415923-7.758671311927939e-18j)
(np.int64(5), np.int64(7), np.int64(3), np.int64(1)): (0.04419417382415923-7.758671311927939e-18j)
(np.int64(5), np.int64(7), np.int64(5), np.int64(7)): (-0.04419417382415915+1.0105117272384027e-17j)
(np.int64(5), np.int64(7), np.int64(7), np.int64(5)): (-0.04419417382415915+1.0105117272384027e-17j)
(np.int64(6), np.int64(1), np.int64(1), np.int64(6)): (-0.033824756259137306+4.142337948469192e-18j)
(np.int64(6), np.int64(1), np.int64(6), np.int64(1)): (-0.033824756259137306+4.142337948469192e-18j)
(np.int64(6), np.int64(2), np.int64(2), np.int64(6)): (-0.06249999999999999+7.654042494670956e-18j)
(np.int64(6), np.int64(2), np.int64(6), np.int64(2)): (-0.06249999999999999+7.654042494670956e-18j)
(np.int64(6), np.int64(3), np.int64(3), np.int64(6)): (-0.08166018530477352+1.3801530065667192e-17j)
(np.int64(6), np.int64(3), np.int64(6), np.int64(3)): (-0.08166018530477354+1.3801530065667194e-17j)
(np.int64(6), np.int64(4), np.int64(4), np.int64(6)): (-0.08838834764831843+1.7165267119489086e-17j)
(np.int64(6), np.int64(4), np.int64(6), np.int64(4)): (-0.08838834764831843+1.7165267119489086e-17j)
(np.int64(6), np.int64(5), np.int64(5), np.int64(6)): (-0.08166018530477348+1.7233155182044535e-17j)
(np.int64(6), np.int64(5), np.int64(6), np.int64(5)): (-0.08166018530477345+1.7233155182044535e-17j)
(np.int64(6), np.int64(6), np.int64(2), np.int64(2)): (0.062499999999999986-1.0824450702943663e-17j)
(np.int64(6), np.int64(6), np.int64(6), np.int64(6)): (0.06249999999999999-1.2137676781069202e-17j)
(np.int64(6), np.int64(7), np.int64(6), np.int64(7)): (-0.033824756259137105+7.943379559009283e-18j)
(np.int64(6), np.int64(7), np.int64(7), np.int64(6)): (-0.033824756259137105+7.94337955900928e-18j)
(np.int64(7), np.int64(1), np.int64(1), np.int64(7)): (-0.01830582617584079+2.2418171431991253e-18j)
(np.int64(7), np.int64(1), np.int64(7), np.int64(1)): (-0.01830582617584079+2.2418171431991253e-18j)
(np.int64(7), np.int64(2), np.int64(2), np.int64(7)): (-0.03382475625913733+6.295455063376121e-18j)
(np.int64(7), np.int64(2), np.int64(7), np.int64(2)): (-0.03382475625913733+6.295455063376121e-18j)
(np.int64(7), np.int64(3), np.int64(3), np.int64(7)): (-0.04419417382415922+9.213266962011965e-18j)
(np.int64(7), np.int64(3), np.int64(7), np.int64(3)): (-0.04419417382415922+9.213266962011965e-18j)
(np.int64(7), np.int64(4), np.int64(4), np.int64(7)): (-0.04783542904563622+1.0551042427570088e-17j)
(np.int64(7), np.int64(4), np.int64(7), np.int64(4)): (-0.04783542904563622+1.0551042427570088e-17j)
(np.int64(7), np.int64(5), np.int64(1), np.int64(3)): (0.04419417382415923-7.75867131192794e-18j)
(np.int64(7), np.int64(5), np.int64(3), np.int64(1)): (0.04419417382415922-7.75867131192794e-18j)
(np.int64(7), np.int64(5), np.int64(5), np.int64(7)): (-0.04419417382415915+1.0105117272384027e-17j)
(np.int64(7), np.int64(5), np.int64(7), np.int64(5)): (-0.04419417382415915+1.0105117272384027e-17j)
(np.int64(7), np.int64(6), np.int64(6), np.int64(7)): (-0.0338247562591371+7.94337955900928e-18j)
(np.int64(7), np.int64(6), np.int64(7), np.int64(6)): (-0.0338247562591371+7.943379559009277e-18j)
(np.int64(7), np.int64(7), np.int64(7), np.int64(7)): (0.10669417382415892-2.5055977134832048e-17j)
