Shape: (8, 8, 8)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(6)): (3.3454573361810256e-18+0.02731773225153786j)
(np.int64(1), np.int64(2), np.int64(5)): (3.8010416105401326e-18+0.03103786016659307j)
(np.int64(1), np.int64(3), np.int64(4)): (3.946235993468197e-18+0.032223462276761934j)
(np.int64(1), np.int64(4), np.int64(3)): (3.946235993468197e-18+0.032223462276761934j)
(np.int64(1), np.int64(5), np.int64(2)): (3.8010416105401326e-18+0.031037860166593063j)
(np.int64(1), np.int64(6), np.int64(1)): (3.3454573361810256e-18+0.02731773225153786j)
(np.int64(2), np.int64(1), np.int64(5)): (3.801041610540133e-18+0.031037860166593063j)
(np.int64(2), np.int64(2), np.int64(4)): (4.483634286398248e-18+0.03661165235168156j)
(np.int64(2), np.int64(3), np.int64(3)): (4.654902738625531e-18+0.03801016539516909j)
(np.int64(2), np.int64(4), np.int64(2)): (4.483634286398248e-18+0.03661165235168156j)
(np.int64(2), np.int64(5), np.int64(1)): (3.801041610540133e-18+0.031037860166593063j)
(np.int64(2), np.int64(7), np.int64(7)): (-6.690914672362052e-18-0.027317732251537864j)
(np.int64(3), np.int64(1), np.int64(4)): (3.946235993468198e-18+0.032223462276761934j)
(np.int64(3), np.int64(2), np.int64(3)): (4.654902738625532e-18+0.03801016539516909j)
(np.int64(3), np.int64(3), np.int64(2)): (4.6549027386255305e-18+0.038010165395169083j)
(np.int64(3), np.int64(4), np.int64(1)): (3.946235993468198e-18+0.032223462276761934j)
(np.int64(3), np.int64(6), np.int64(7)): (-7.602083221080264e-18-0.031037860166593063j)
(np.int64(3), np.int64(7), np.int64(6)): (-7.602083221080267e-18-0.031037860166593063j)
(np.int64(4), np.int64(1), np.int64(3)): (3.946235993468197e-18+0.032223462276761934j)
(np.int64(4), np.int64(2), np.int64(2)): (4.483634286398248e-18+0.03661165235168156j)
(np.int64(4), np.int64(3), np.int64(1)): (3.946235993468198e-18+0.032223462276761934j)
(np.int64(4), np.int64(5), np.int64(7)): (-7.892471986936396e-18-0.032223462276761934j)
(np.int64(4), np.int64(6), np.int64(6)): (-8.9672685727965e-18-0.03661165235168157j)
(np.int64(4), np.int64(7), np.int64(5)): (-7.892471986936396e-18-0.032223462276761934j)
(np.int64(5), np.int64(1), np.int64(2)): (3.801041610540132e-18+0.031037860166593063j)
(np.int64(5), np.int64(2), np.int64(1)): (3.8010416105401326e-18+0.03103786016659307j)
(np.int64(5), np.int64(4), np.int64(7)): (-7.892471986936396e-18-0.032223462276761934j)
(np.int64(5), np.int64(5), np.int64(6)): (-9.309805477251063e-18-0.03801016539516909j)
(np.int64(5), np.int64(6), np.int64(5)): (-9.309805477251063e-18-0.03801016539516909j)
(np.int64(5), np.int64(7), np.int64(4)): (-7.892471986936396e-18-0.032223462276761934j)
(np.int64(6), np.int64(1), np.int64(1)): (3.3454573361810256e-18+0.02731773225153786j)
(np.int64(6), np.int64(3), np.int64(7)): (-7.602083221080267e-18-0.03103786016659307j)
(np.int64(6), np.int64(4), np.int64(6)): (-8.9672685727965e-18-0.03661165235168157j)
(np.int64(6), np.int64(5), np.int64(5)): (-9.309805477251063e-18-0.03801016539516909j)
(np.int64(6), np.int64(6), np.int64(4)): (-8.9672685727965e-18-0.03661165235168157j)
(np.int64(6), np.int64(7), np.int64(3)): (-7.602083221080267e-18-0.03103786016659307j)
(np.int64(7), np.int64(2), np.int64(7)): (-6.6909146723620535e-18-0.02731773225153787j)
(np.int64(7), np.int64(3), np.int64(6)): (-7.602083221080267e-18-0.031037860166593063j)
(np.int64(7), np.int64(4), np.int64(5)): (-7.892471986936396e-18-0.032223462276761934j)
(np.int64(7), np.int64(5), np.int64(4)): (-7.892471986936396e-18-0.032223462276761934j)
(np.int64(7), np.int64(6), np.int64(3)): (-7.602083221080265e-18-0.031037860166593056j)
(np.int64(7), np.int64(7), np.int64(2)): (-6.6909146723620535e-18-0.02731773225153787j)
