Shape: (16, 16, 16, 16)
(np.int64(1), np.int64(5), np.int64(7), np.int64(15)): (-0.00880878257289183+1.0787647382276967e-18j)
(np.int64(1), np.int64(5), np.int64(8), np.int64(14)): (-0.012457499782579382+1.5256037234114689e-18j)
(np.int64(1), np.int64(5), np.int64(9), np.int64(13)): (-0.014865088937534012+1.820448358639176e-18j)
(np.int64(1), np.int64(5), np.int64(10), np.int64(12)): (-0.016276507850873728+1.993297324086928e-18j)
(np.int64(1), np.int64(5), np.int64(11), np.int64(11)): (-0.016743931540408714+2.0505402166103944e-18j)
(np.int64(1), np.int64(5), np.int64(12), np.int64(10)): (-0.016276507850873728+1.993297324086928e-18j)
(np.int64(1), np.int64(5), np.int64(13), np.int64(9)): (-0.01486508893753401+1.8204483586391755e-18j)
(np.int64(1), np.int64(5), np.int64(14), np.int64(8)): (-0.012457499782579382+1.5256037234114689e-18j)
(np.int64(1), np.int64(5), np.int64(15), np.int64(7)): (-0.00880878257289183+1.0787647382276967e-18j)
(np.int64(1), np.int64(6), np.int64(1), np.int64(6)): (0.00901199777508685+0j)
(np.int64(1), np.int64(6), np.int64(2), np.int64(5)): (0.011973980904624556+0j)
(np.int64(1), np.int64(6), np.int64(3), np.int64(4)): (0.013304774722709063+0j)
(np.int64(1), np.int64(6), np.int64(4), np.int64(3)): (0.013304774722709061+0j)
(np.int64(1), np.int64(6), np.int64(5), np.int64(2)): (0.011973980904624556+0j)
(np.int64(1), np.int64(6), np.int64(6), np.int64(1)): (0.00901199777508685+0j)
(np.int64(1), np.int64(6), np.int64(8), np.int64(15)): (-0.009375909417092104+1.148217745673737e-18j)
(np.int64(1), np.int64(6), np.int64(9), np.int64(14)): (-0.013004759947637888+1.5926237643554441e-18j)
(np.int64(1), np.int64(6), np.int64(10), np.int64(13)): (-0.01520802078187131+1.8624453971885127e-18j)
(np.int64(1), np.int64(6), np.int64(11), np.int64(12)): (-0.01627650785087373+1.9932973240869283e-18j)
(np.int64(1), np.int64(6), np.int64(12), np.int64(11)): (-0.01627650785087373+1.9932973240869283e-18j)
(np.int64(1), np.int64(6), np.int64(13), np.int64(10)): (-0.01520802078187131+1.8624453971885127e-18j)
(np.int64(1), np.int64(6), np.int64(14), np.int64(9)): (-0.013004759947637888+1.5926237643554441e-18j)
(np.int64(1), np.int64(6), np.int64(15), np.int64(8)): (-0.009375909417092104+1.148217745673737e-18j)
(np.int64(1), np.int64(7), np.int64(1), np.int64(7)): (0.009567085809127242+0j)
(np.int64(1), np.int64(7), np.int64(2), np.int64(6)): (0.013004759947637888+0j)
(np.int64(1), np.int64(7), np.int64(3), np.int64(5)): (0.014865088937534014+0j)
(np.int64(1), np.int64(7), np.int64(4), np.int64(4)): (0.015465353058633386+0j)
(np.int64(1), np.int64(7), np.int64(5), np.int64(3)): (0.014865088937534014+0j)
(np.int64(1), np.int64(7), np.int64(6), np.int64(2)): (0.01300475994763789+0j)
(np.int64(1), np.int64(7), np.int64(7), np.int64(1)): (0.009567085809127242+0j)
(np.int64(1), np.int64(7), np.int64(9), np.int64(15)): (-0.009567085809127253+1.1716301013315753e-18j)
(np.int64(1), np.int64(7), np.int64(10), np.int64(14)): (-0.01300475994763789+1.5926237643554441e-18j)
(np.int64(1), np.int64(7), np.int64(11), np.int64(13)): (-0.014865088937534016+1.820448358639176e-18j)
(np.int64(1), np.int64(7), np.int64(12), np.int64(12)): (-0.015465353058633391+1.893959512093911e-18j)
(np.int64(1), np.int64(7), np.int64(13), np.int64(11)): (-0.014865088937534016+1.820448358639176e-18j)
(np.int64(1), np.int64(7), np.int64(14), np.int64(10)): (-0.01300475994763789+1.5926237643554441e-18j)
(np.int64(1), np.int64(7), np.int64(15), np.int64(9)): (-0.009567085809127253+1.1716301013315753e-18j)
(np.int64(1), np.int64(8), np.int64(1), np.int64(8)): (0.009754516100806413+0j)
(np.int64(1), np.int64(8), np.int64(2), np.int64(7)): (0.013529902503654927+0j)
(np.int64(1), np.int64(8), np.int64(3), np.int64(6)): (0.01582213276375397+0j)
(np.int64(1), np.int64(8), np.int64(4), np.int64(5)): (0.0169337661909165+0j)
(np.int64(1), np.int64(8), np.int64(5), np.int64(4)): (0.0169337661909165+0j)
(np.int64(1), np.int64(8), np.int64(6), np.int64(3)): (0.01582213276375397+0j)
(np.int64(1), np.int64(8), np.int64(7), np.int64(2)): (0.013529902503654925+0j)
(np.int64(1), np.int64(8), np.int64(8), np.int64(1)): (0.009754516100806413+0j)
(np.int64(1), np.int64(8), np.int64(10), np.int64(15)): (-0.009375909417092104+1.148217745673737e-18j)
(np.int64(1), np.int64(8), np.int64(11), np.int64(14)): (-0.012457499782579385+1.525603723411469e-18j)
(np.int64(1), np.int64(8), np.int64(12), np.int64(13)): (-0.013842032114098542+1.6951600322225647e-18j)
(np.int64(1), np.int64(8), np.int64(13), np.int64(12)): (-0.013842032114098542+1.6951600322225647e-18j)
(np.int64(1), np.int64(8), np.int64(14), np.int64(11)): (-0.012457499782579384+1.525603723411469e-18j)
(np.int64(1), np.int64(8), np.int64(15), np.int64(10)): (-0.009375909417092104+1.1482177456737371e-18j)
(np.int64(1), np.int64(9), np.int64(1), np.int64(9)): (0.009567085809127242+0j)
(np.int64(1), np.int64(9), np.int64(2), np.int64(8)): (0.013529902503654925+0j)
(np.int64(1), np.int64(9), np.int64(3), np.int64(7)): (0.016144748749202957+0j)
(np.int64(1), np.int64(9), np.int64(4), np.int64(6)): (0.01767766952966369+0j)
(np.int64(1), np.int64(9), np.int64(5), np.int64(5)): (0.018185331344448604+0j)
(np.int64(1), np.int64(9), np.int64(6), np.int64(4)): (0.01767766952966369+0j)
(np.int64(1), np.int64(9), np.int64(7), np.int64(3)): (0.016144748749202957+0j)
(np.int64(1), np.int64(9), np.int64(8), np.int64(2)): (0.013529902503654925+0j)
(np.int64(1), np.int64(9), np.int64(9), np.int64(1)): (0.009567085809127242+0j)
(np.int64(1), np.int64(9), np.int64(11), np.int64(15)): (-0.00880878257289183+1.0787647382276968e-18j)
(np.int64(1), np.int64(9), np.int64(12), np.int64(14)): (-0.011377246514055686+1.393310852654868e-18j)
(np.int64(1), np.int64(9), np.int64(13), np.int64(13)): (-0.012151049927844803+1.4880744400414815e-18j)
(np.int64(1), np.int64(9), np.int64(14), np.int64(12)): (-0.011377246514055687+1.3933108526548678e-18j)
(np.int64(1), np.int64(9), np.int64(15), np.int64(11)): (-0.00880878257289183+1.0787647382276967e-18j)
(np.int64(1), np.int64(10), np.int64(1), np.int64(10)): (0.00901199777508685+0j)
(np.int64(1), np.int64(10), np.int64(2), np.int64(9)): (0.013004759947637886+0j)
(np.int64(1), np.int64(10), np.int64(3), np.int64(8)): (0.01582213276375397+0j)
(np.int64(1), np.int64(10), np.int64(4), np.int64(7)): (0.017677669529663688+0j)
(np.int64(1), np.int64(10), np.int64(5), np.int64(6)): (0.01860485989513827+0j)
(np.int64(1), np.int64(10), np.int64(6), np.int64(5)): (0.018604859895138274+0j)
(np.int64(1), np.int64(10), np.int64(7), np.int64(4)): (0.01767766952966369+0j)
(np.int64(1), np.int64(10), np.int64(8), np.int64(3)): (0.01582213276375397+0j)
(np.int64(1), np.int64(10), np.int64(9), np.int64(2)): (0.013004759947637886+0j)
(np.int64(1), np.int64(10), np.int64(10), np.int64(1)): (0.00901199777508685+0j)
(np.int64(1), np.int64(10), np.int64(12), np.int64(15)): (-0.007884168618576295+9.65532186267747e-19j)
(np.int64(1), np.int64(10), np.int64(13), np.int64(14)): (-0.009787794773281044+1.1986591539809824e-18j)
(np.int64(1), np.int64(10), np.int64(14), np.int64(13)): (-0.009787794773281044+1.1986591539809824e-18j)
(np.int64(1), np.int64(10), np.int64(15), np.int64(12)): (-0.007884168618576297+9.655321862677468e-19j)
(np.int64(1), np.int64(11), np.int64(1), np.int64(11)): (0.008110583720536444+0j)
(np.int64(1), np.int64(11), np.int64(2), np.int64(10)): (0.011973980904624554+0j)
(np.int64(1), np.int64(11), np.int64(3), np.int64(9)): (0.014865088937534012+0j)
(np.int64(1), np.int64(11), np.int64(4), np.int64(8)): (0.016933766190916504+0j)
(np.int64(1), np.int64(11), np.int64(5), np.int64(7)): (0.018185331344448608+0j)
(np.int64(1), np.int64(11), np.int64(6), np.int64(6)): (0.018604859895138274+0j)
(np.int64(1), np.int64(11), np.int64(7), np.int64(5)): (0.018185331344448608+0j)
(np.int64(1), np.int64(11), np.int64(8), np.int64(4)): (0.016933766190916504+0j)
(np.int64(1), np.int64(11), np.int64(9), np.int64(3)): (0.014865088937534014+0j)
(np.int64(1), np.int64(11), np.int64(10), np.int64(2)): (0.011973980904624556+0j)
(np.int64(1), np.int64(11), np.int64(11), np.int64(1)): (0.008110583720536444+0j)
(np.int64(1), np.int64(11), np.int64(13), np.int64(15)): (-0.006629769128616637+8.1191255424463035e-19j)
(np.int64(1), np.int64(11), np.int64(14), np.int64(14)): (-0.007706385294617555+9.43760008404962e-19j)
(np.int64(1), np.int64(11), np.int64(15), np.int64(13)): (-0.006629769128616637+8.119125542446303e-19j)
(np.int64(1), np.int64(12), np.int64(1), np.int64(12)): (0.006897484482073575+0j)
(np.int64(1), np.int64(12), np.int64(2), np.int64(11)): (0.010475466910194929+0j)
(np.int64(1), np.int64(12), np.int64(3), np.int64(10)): (0.013304774722709061+0j)
(np.int64(1), np.int64(12), np.int64(4), np.int64(9)): (0.01546535305863339+0j)
(np.int64(1), np.int64(12), np.int64(5), np.int64(8)): (0.016933766190916504+0j)
(np.int64(1), np.int64(12), np.int64(6), np.int64(7)): (0.017677669529663684+0j)
(np.int64(1), np.int64(12), np.int64(7), np.int64(6)): (0.01767766952966369+0j)
(np.int64(1), np.int64(12), np.int64(8), np.int64(5)): (0.016933766190916504+0j)
(np.int64(1), np.int64(12), np.int64(9), np.int64(4)): (0.015465353058633387+0j)
(np.int64(1), np.int64(12), np.int64(10), np.int64(3)): (0.013304774722709061+0j)
(np.int64(1), np.int64(12), np.int64(11), np.int64(2)): (0.010475466910194929+0j)
(np.int64(1), np.int64(12), np.int64(12), np.int64(1)): (0.006897484482073576+0j)
(np.int64(1), np.int64(12), np.int64(14), np.int64(15)): (-0.0050742056118542505+6.214109660772846e-19j)
(np.int64(1), np.int64(12), np.int64(15), np.int64(14)): (-0.0050742056118542505+6.214109660772846e-19j)
(np.int64(1), np.int64(13), np.int64(1), np.int64(13)): (0.00541931878311848+0j)
(np.int64(1), np.int64(13), np.int64(2), np.int64(12)): (0.00856287654773902+0j)
(np.int64(1), np.int64(13), np.int64(3), np.int64(11)): (0.011187937370084283+0j)
(np.int64(1), np.int64(13), np.int64(4), np.int64(10)): (0.013304774722709058+0j)
(np.int64(1), np.int64(13), np.int64(5), np.int64(9)): (0.01486508893753401+0j)
(np.int64(1), np.int64(13), np.int64(6), np.int64(8)): (0.01582213276375397+0j)
