Shape: (16, 16, 16, 16)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(13)): (0.48888701807127666-5.987139218256832e-17j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(12)): (0.2992525680512896-3.664786996006372e-17j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(11)): (0.22221588233710463-2.7213596902384002e-17j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(10)): (0.18214977243745745-2.2306913578095102e-17j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(9)): (0.1598964482620938-1.9581667355920353e-17j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(8)): (0.1484112312262367-1.8175133927872845e-17j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(7)): (0.14484543515320358-1.773844985314762e-17j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(6)): (0.1484112312262367-1.8175133927872845e-17j)
(np.int64(1), np.int64(1), np.int64(9), np.int64(5)): (0.1598964482620938-1.9581667355920353e-17j)
(np.int64(1), np.int64(1), np.int64(10), np.int64(4)): (0.18214977243745745-2.2306913578095108e-17j)
(np.int64(1), np.int64(1), np.int64(11), np.int64(3)): (0.2222158823371046-2.7213596902384002e-17j)
(np.int64(1), np.int64(1), np.int64(12), np.int64(2)): (0.2992525680512896-3.664786996006373e-17j)
(np.int64(1), np.int64(1), np.int64(13), np.int64(1)): (0.48888701807127666-5.987139218256831e-17j)
(np.int64(1), np.int64(1), np.int64(15), np.int64(15)): (-0.4121143623014772+1.0093890693503135e-16j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(12)): (0.2992525680512895-3.664786996006371e-17j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(11)): (0.1844413178177909-2.258754694960773e-17j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(10)): (0.136760420149719-1.6748321078640055e-17j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(9)): (0.11192861534145047-1.3707302051090267e-17j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(8)): (0.09861788271490625-1.2077207440549901e-17j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(7)): (0.09270678647504765-1.1353306931590422e-17j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(6)): (0.09270678647504763-1.135330693159042e-17j)
