Shape: (16, 16, 16)
(np.int64(6), np.int64(1), np.int64(5)): 0.3871227788731338j
(np.int64(6), np.int64(2), np.int64(4)): 0.5j
(np.int64(6), np.int64(3), np.int64(3)): 0.5340066207070906j
(np.int64(6), np.int64(4), np.int64(2)): 0.5000000000000001j
(np.int64(6), np.int64(5), np.int64(1)): 0.3871227788731338j
(np.int64(6), np.int64(7), np.int64(15)): (-5.149005516774729e-17-0.4204482076268576j)
(np.int64(6), np.int64(8), np.int64(14)): (-7.281793434556704e-17-0.5946035575013606j)
(np.int64(6), np.int64(9), np.int64(13)): (-8.689103665954402e-17-0.7095191586671434j)
(np.int64(6), np.int64(10), np.int64(12)): (-9.514121619471739e-17-0.7768869870150186j)
(np.int64(6), np.int64(11), np.int64(11)): (-9.787345204702848e-17-0.7991973858517559j)
(np.int64(6), np.int64(12), np.int64(10)): (-9.514121619471739e-17-0.7768869870150187j)
(np.int64(6), np.int64(13), np.int64(9)): (-8.689103665954402e-17-0.7095191586671434j)
(np.int64(6), np.int64(14), np.int64(8)): (-7.281793434556704e-17-0.5946035575013606j)
(np.int64(6), np.int64(15), np.int64(7)): (-5.149005516774729e-17-0.42044820762685764j)
(np.int64(7), np.int64(1), np.int64(6)): 0.4204482076268572j
(np.int64(7), np.int64(2), np.int64(5)): 0.5586373782098599j
(np.int64(7), np.int64(3), np.int64(4)): 0.6207245967710231j
(np.int64(7), np.int64(4), np.int64(3)): 0.620724596771023j
(np.int64(7), np.int64(5), np.int64(2)): 0.5586373782098599j
(np.int64(7), np.int64(6), np.int64(1)): 0.4204482076268573j
(np.int64(7), np.int64(8), np.int64(15)): (-5.356926457177483e-17-0.43742624084815174j)
(np.int64(7), np.int64(9), np.int64(14)): (-7.430270444565567e-17-0.6067276254458683j)
(np.int64(7), np.int64(10), np.int64(13)): (-8.689103665954402e-17-0.7095191586671434j)
(np.int64(7), np.int64(11), np.int64(12)): (-9.299583822541314e-17-0.7593686464551287j)
(np.int64(7), np.int64(12), np.int64(11)): (-9.299583822541314e-17-0.7593686464551287j)
(np.int64(7), np.int64(13), np.int64(10)): (-8.689103665954402e-17-0.7095191586671434j)
(np.int64(7), np.int64(14), np.int64(9)): (-7.430270444565567e-17-0.6067276254458683j)
(np.int64(7), np.int64(15), np.int64(8)): (-5.356926457177483e-17-0.43742624084815174j)
(np.int64(8), np.int64(1), np.int64(7)): 0.4374262408481513j
(np.int64(8), np.int64(2), np.int64(6)): 0.5946035575013606j
(np.int64(8), np.int64(3), np.int64(5)): 0.6796615085876523j
(np.int64(8), np.int64(4), np.int64(4)): 0.7071067811865475j
(np.int64(8), np.int64(5), np.int64(3)): 0.6796615085876523j
(np.int64(8), np.int64(6), np.int64(2)): 0.5946035575013606j
(np.int64(8), np.int64(7), np.int64(1)): 0.43742624084815124j
(np.int64(8), np.int64(9), np.int64(15)): (-5.356926457177483e-17-0.43742624084815174j)
(np.int64(8), np.int64(10), np.int64(14)): (-7.281793434556704e-17-0.5946035575013606j)
