Shape: (16, 16, 16, 16)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(13)): (-0.0032113901944537315+3.9328187224509593e-19j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(12)): (-0.005074205611854245+6.214109660772839e-19j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(11)): (-0.006629769128616631+8.119125542446294e-19j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(10)): (-0.007884168618576286+9.655321862677459e-19j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(9)): (-0.00880878257289182+1.0787647382276953e-18j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(8)): (-0.009375909417092093+1.148217745673736e-18j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(7)): (-0.009567085809127242+1.1716301013315743e-18j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(6)): (-0.009375909417092093+1.148217745673736e-18j)
(np.int64(1), np.int64(1), np.int64(9), np.int64(5)): (-0.008808782572891818+1.0787647382276953e-18j)
(np.int64(1), np.int64(1), np.int64(10), np.int64(4)): (-0.007884168618576286+9.655321862677457e-19j)
(np.int64(1), np.int64(1), np.int64(11), np.int64(3)): (-0.006629769128616631+8.119125542446295e-19j)
(np.int64(1), np.int64(1), np.int64(12), np.int64(2)): (-0.005074205611854245+6.214109660772839e-19j)
(np.int64(1), np.int64(1), np.int64(13), np.int64(1)): (-0.003211390194453732+3.932818722450959e-19j)
(np.int64(1), np.int64(1), np.int64(15), np.int64(15)): (0.001903011687217834-4.661034342982648e-19j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(12)): (-0.005074205611854245+6.214109660772839e-19j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(11)): (-0.007706385294617554+9.43760008404962e-19j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(10)): (-0.00978779477328104+1.198659153980982e-18j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(9)): (-0.01137724651405568+1.3933108526548674e-18j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(8)): (-0.012457499782579384+1.5256037234114689e-18j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(7)): (-0.013004759947637888+1.5926237643554437e-18j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(6)): (-0.013004759947637888+1.5926237643554437e-18j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(5)): (-0.012457499782579384+1.5256037234114689e-18j)
(np.int64(1), np.int64(2), np.int64(9), np.int64(4)): (-0.01137724651405568+1.3933108526548674e-18j)
(np.int64(1), np.int64(2), np.int64(10), np.int64(3)): (-0.00978779477328104+1.198659153980982e-18j)
(np.int64(1), np.int64(2), np.int64(11), np.int64(2)): (-0.007706385294617554+9.43760008404962e-19j)
(np.int64(1), np.int64(2), np.int64(12), np.int64(1)): (-0.005074205611854245+6.214109660772838e-19j)
