Shape: (16, 16, 16, 16)
(np.int64(1), np.int64(5), np.int64(3), np.int64(9)): (0.06717699934117051-8.226809721948831e-18j)
(np.int64(1), np.int64(5), np.int64(4), np.int64(8)): (0.051446924360043125-6.30043112435028e-18j)
(np.int64(1), np.int64(5), np.int64(5), np.int64(7)): (0.04360098946001615-5.339581218186626e-18j)
(np.int64(1), np.int64(5), np.int64(6), np.int64(6)): (0.04119821048616734-5.045325660248377e-18j)
(np.int64(1), np.int64(5), np.int64(7), np.int64(5)): (0.043600989460016164-5.339581218186626e-18j)
(np.int64(1), np.int64(5), np.int64(8), np.int64(4)): (0.05144692436004311-6.30043112435028e-18j)
(np.int64(1), np.int64(5), np.int64(9), np.int64(3)): (0.06717699934117051-8.226809721948831e-18j)
(np.int64(1), np.int64(5), np.int64(10), np.int64(2)): (0.09776979756875188-1.1973346964585664e-17j)
(np.int64(1), np.int64(5), np.int64(11), np.int64(1)): (0.17037187100086193-2.086453664859513e-17j)
(np.int64(1), np.int64(5), np.int64(13), np.int64(15)): (-0.28472622504780565+6.973781202762085e-17j)
(np.int64(1), np.int64(5), np.int64(14), np.int64(14)): (-0.23578116413358222+5.774972959108564e-17j)
(np.int64(1), np.int64(5), np.int64(15), np.int64(13)): (-0.28472622504780565+6.973781202762083e-17j)
(np.int64(1), np.int64(6), np.int64(1), np.int64(10)): (0.1503222754045793-1.840916934147649e-17j)
(np.int64(1), np.int64(6), np.int64(2), np.int64(9)): (0.0866822338277979-1.0615512020015514e-17j)
(np.int64(1), np.int64(6), np.int64(3), np.int64(8)): (0.060039690916941356-7.352741530322862e-18j)
(np.int64(1), np.int64(6), np.int64(4), np.int64(7)): (0.04685819633703425-5.738474015796721e-18j)
(np.int64(1), np.int64(6), np.int64(5), np.int64(6)): (0.04119821048616734-5.0453256602483764e-18j)
(np.int64(1), np.int64(6), np.int64(6), np.int64(5)): (0.04119821048616734-5.045325660248374e-18j)
(np.int64(1), np.int64(6), np.int64(7), np.int64(4)): (0.04685819633703426-5.7384740157967235e-18j)
(np.int64(1), np.int64(6), np.int64(8), np.int64(3)): (0.060039690916941356-7.352741530322862e-18j)
(np.int64(1), np.int64(6), np.int64(9), np.int64(2)): (0.0866822338277979-1.0615512020015514e-17j)
(np.int64(1), np.int64(6), np.int64(10), np.int64(1)): (0.1503222754045793-1.840916934147649e-17j)
