Shape: (16, 16, 16, 16)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(3)): (16.432711109035253+4.0387244296078795e-16j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(4)): (3.3145911218293893+2.9329210169812362e-16j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(5)): (0.7028054490904191+2.2627228801936636e-16j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(6)): (-0.06780795240015172+1.8384265980153375e-16j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(7)): (-0.33333690947993466+1.5527007565759612e-16j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(8)): (-0.4262150948830577+1.3530506766724152e-16j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(9)): (-0.45361319218649365+1.2128811767220044e-16j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(10)): (-0.45689674595238505+1.1192860876243586e-16j)
(np.int64(1), np.int64(1), np.int64(9), np.int64(11)): (-0.45530574165904625+1.068556688147775e-16j)
(np.int64(1), np.int64(1), np.int64(10), np.int64(12)): (-0.46124761290466915+1.0663829194760515e-16j)
(np.int64(1), np.int64(1), np.int64(11), np.int64(13)): (-0.4888586085091003+1.134571791578791e-16j)
(np.int64(1), np.int64(1), np.int64(12), np.int64(14)): (-0.567732840282195+1.3386819746007412e-16j)
(np.int64(1), np.int64(1), np.int64(13), np.int64(15)): (-0.8084679536071302+1.9461237516052224e-16j)
(np.int64(1), np.int64(1), np.int64(15), np.int64(1)): (0.09022927393245932-1.1049899151077603e-17j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(4)): (3.3145911218293884+2.9329210169812387e-16j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(5)): (0.17627379309741525+2.3216359309397923e-16j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(6)): (-0.4345526207563062+1.874265310318078e-16j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(7)): (-0.5707932595578314+1.5673444139737758e-16j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(8)): (-0.5813827322139349+1.3521346281409434e-16j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(9)): (-0.5559960879100216+1.1997068968914517e-16j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(10)): (-0.5235461736816183+1.0947434642687716e-16j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(11)): (-0.49562942724707126+1.0311198264779845e-16j)
(np.int64(1), np.int64(2), np.int64(9), np.int64(12)): (-0.47943898858987943+1.0112206370130496e-16j)
(np.int64(1), np.int64(2), np.int64(10), np.int64(13)): (-0.484186211157151+1.0505313534329217e-16j)
(np.int64(1), np.int64(2), np.int64(11), np.int64(14)): (-0.5312142179725378+1.198211208151323e-16j)
(np.int64(1), np.int64(2), np.int64(12), np.int64(15)): (-0.7031886358135998+1.6565384429384139e-16j)
(np.int64(1), np.int64(2), np.int64(14), np.int64(1)): (1.3967922388088443-1.7105771443311162e-16j)
(np.int64(1), np.int64(2), np.int64(15), np.int64(2)): (0.17699108746885406-2.7590134701473927e-17j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(5)): (0.7028054490904186+2.262722880193662e-16j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(6)): (-0.4345526207563061+1.8742653103180776e-16j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(7)): (-0.6108877185031714+1.5573128507158845e-16j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(8)): (-0.6114281885499808+1.330121588032214e-16j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(9)): (-0.5725291071649338+1.1681697197663052e-16j)
(np.int64(1), np.int64(3), np.int64(6), np.int64(10)): (-0.5288080937922685+1.0547797163908456e-16j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(11)): (-0.4914228072406819+9.818450279618359e-17j)
(np.int64(1), np.int64(3), np.int64(8), np.int64(12)): (-0.4659984754769222+9.491774399500347e-17j)
(np.int64(1), np.int64(3), np.int64(9), np.int64(13)): (-0.4593693136389609+9.677605833875467e-17j)
(np.int64(1), np.int64(3), np.int64(10), np.int64(14)): (-0.4879638536452697+1.0758493061973901e-16j)
(np.int64(1), np.int64(3), np.int64(11), np.int64(15)): (-0.6171419563250508+1.434571076499984e-16j)
(np.int64(1), np.int64(3), np.int64(13), np.int64(1)): (0.990205497068874-1.21265199248351e-16j)
(np.int64(1), np.int64(3), np.int64(14), np.int64(2)): (0.9294932470183608-1.1736817783305772e-16j)
(np.int64(1), np.int64(3), np.int64(15), np.int64(3)): (0.25695123277156584-4.295421558161406e-17j)
(np.int64(1), np.int64(4), np.int64(1), np.int64(6)): (-0.06780795240015233+1.838426598015338e-16j)
(np.int64(1), np.int64(4), np.int64(2), np.int64(7)): (-0.5707932595578306+1.5673444139737756e-16j)
(np.int64(1), np.int64(4), np.int64(3), np.int64(8)): (-0.611428188549981+1.330121588032214e-16j)
(np.int64(1), np.int64(4), np.int64(4), np.int64(9)): (-0.5748006437245868+1.1564920274199406e-16j)
(np.int64(1), np.int64(4), np.int64(5), np.int64(10)): (-0.5271144905179678+1.0334553822059968e-16j)
(np.int64(1), np.int64(4), np.int64(6), np.int64(11)): (-0.4848466181131321+9.515982973420457e-17j)
