,0,1,2,3,4
0,-0.31902598493485784,-1.6153362986325555,-1.4015654667346447,-1.9015580736242672,-2.4023326682496458
1,-0.1805122280346294,-1.5830714810762525,-1.60695183234086,-1.8138112449141186,-2.4554717058177298
2,-0.1343227202494836,-1.601071392840952,-1.6326902558163539,-1.7998573267983706,-2.4718767964138615
3,-0.11122796416296461,-1.5920357743446123,-1.6680001463809861,-1.7885039675921948,-2.4800506396372186
4,-0.097371110510566,-1.5907182977173522,-1.6835084935906366,-1.7832662147295366,-2.484954375565345
5,-0.08813320807563368,-1.588650236145833,-1.6955521889856937,-1.7792593381691166,-2.48822352073631
6,-0.08153470633639617,-1.5874153024903639,-1.7037193259856172,-1.7765905331280247,-2.4905586241719067
7,-0.0765858300319681,-1.5864522179548362,-1.7099583204231337,-1.7745121719592225,-2.492309951739491
8,-0.07273670401741293,-1.5856956213129347,-1.7148092498681438,-1.7729048215043102,-2.4936720954041283
9,-0.06965740320576878,-1.5851005478910147,-1.7187097511496798,-1.7715889795232234,-2.494761810334005
10,-0.06713797526896904,-1.5846070260226497,-1.7219283955609805,-1.7704916999719067,-2.4956533952755904
11,-0.0650384519883026,-1.5841993092793218,-1.724634211686397,-1.7695501364162023,-2.4963963827269495
12,-0.06326193228927716,-1.5838525770278682,-1.7269518684991765,-1.7687270498617589,-2.4970250644169787
13,-0.06173920111868392,-1.5835561893921473,-1.7289648539543911,-1.7679943131909892,-2.4975639344353824
14,-0.060419500770836465,-1.5832989539909736,-1.7307365260680239,-1.76733255614077,-2.498030955119508
15,-0.05926476296646988,-1.5830740344761256,-1.732312739128699,-1.766727357299364,-2.4984395982217475
16,-0.0582458766684994,-1.5828755060715496,-1.7337288001415636,-1.7661681435477368,-2.4988001656606698
17,-0.05734019995919229,-1.5826990663349285,-1.7350116007584062,-1.7656469549847356,-2.499120670053318
18,-0.05652985764033856,-1.582541186520978,-1.7361822083168177,-1.7651578024714571,-2.4994074371392636
19,-0.0558005495533702,-1.5823991000085251,-1.7372571603664309,-1.7646961546424602,-2.4996655275221658
20,-0.05514069937944644,-1.5822705433302426,-1.7382496035509147,-1.7642586079672657,-2.499899037866187
21,-0.05454083558497029,-1.5821536745383469,-1.7391700171210516,-1.7638426448538242,-2.5001113199950806
22,-0.05399313385957901,-1.5820469678738591,-1.740026781322104,-1.763446466228536,-2.500305142812391
23,-0.053491073944637015,-1.5819491535850867,-1.7408265801319411,-1.763068870709336,-2.5004828137268587
24,-0.053029178822890405,-1.5818591643769941,-1.7415747103318346,-1.7627091675992839,-2.50064627096514
25,-0.0526028140951243,-1.5817760974409416,-1.7422753147314556,-1.7623671112572867,-2.500797154570303
