,0,1,2,3,4,5,6,7,8,9,10,11
0,-1.4050955985586755,-2.155141199645572,-1.9582758234036242,-2.2686952318004407,-2.3661217505393006,-2.442469104985118,-2.5131195875973087,-2.7296487486254923,-2.663632284046237,-2.8816058330997567,-3.2123633586812232,-3.295700481887584
1,-1.2938092723081671,-2.095832858158962,-2.021416016030076,-2.2474603993739715,-2.425588868445637,-2.5403854531301935,-2.4917046923204875,-2.610796543643954,-2.5909075838866316,-3.066399070936633,-3.227043392284715,-3.2805248530274644
2,-1.2559603244005855,-2.0960994690240713,-2.0392779410320743,-2.222795109248575,-2.4215337302474707,-2.5155345158738616,-2.509456715723816,-2.6043928722499685,-2.5887767879040657,-3.129019781017309,-3.2326524047834653,-3.2763693521796955
3,-1.2370359820443606,-2.0901398565857647,-2.0532295356439714,-2.211143182657884,-2.429101422026452,-2.504124716662532,-2.5245495336056396,-2.6047155329268774,-2.5679345808158693,-3.159384276873485,-3.2354935291467712,-3.2750168546464256
4,-1.2256814626628745,-2.0868098129980606,-2.0602773821519595,-2.2057829496798282,-2.443194075876618,-2.494546878864242,-2.5073956396779353,-2.601088118541278,-2.578084473675877,-3.1771052766590797,-3.237193342931696,-3.274709589928608
5,-1.2181117822458676,-2.0886669466767924,-2.060194884457589,-2.202702835868891,-2.4318745098516104,-2.487845259196113,-2.5331665502923615,-2.6089145177583433,-2.5586413129924432,-3.188586654322409,-3.238308571675597,-3.2748551782719546
6,-1.212704867663195,-2.0863912915034573,-2.0636128550301978,-2.2006742192057276,-2.4274433227612215,-2.4856948039730784,-2.5311221763043887,-2.5994069876331216,-2.573966503421616,-3.196565748576056,-3.2390831667544626,-3.2752030608255516
7,-1.208649681726258,-2.0838715440668922,-2.0670943862269495,-2.1990457781792503,-2.434894846735596,-2.4751507852537684,-2.538765574303458,-2.6064667914031325,-2.5602514609093814,-3.202401158093031,-3.239642991393393,-3.275634005317108
8,-1.2054956482197507,-2.0851328483749327,-2.06667207433442,-2.1976862512919864,-2.440776324586631,-2.464452283506177,-2.5385143085548756,-2.5970666580097177,-2.57308520183029,-3.206838993835867,-3.2400602557942126,-3.276088155195839
9,-1.2029724214145454,-2.084433304557508,-2.0680651070468263,-2.1965771693569147,-2.432990020937826,-2.4695783942925185,-2.5433026075014156,-2.5989207372934056,-2.567794436228233,-3.210320191394999,-3.2403794190294577,-3.2765351944843837
