,0,1,2,3,4,5,6,7
0,-0.2817089993508167,-1.294601017778328,-1.4774788291007552,-1.8024121833837197,-2.244065554881324,-2.6432730151027752,-2.629193378969818,-20.0
1,-0.14567654933180615,-1.3754329640354621,-1.4060733761483184,-1.8618681306658156,-2.1175833746730284,-2.6985927772964287,-2.708512301316014,-20.0
2,-0.10032304221129486,-1.4024049349647083,-1.3810630439825433,-1.8712178839043967,-2.0914453985892214,-2.7129922796211345,-2.7346324591865194,-20.0
3,-0.07764631882693057,-1.4112026661891053,-1.3731780564992269,-1.9014696105490212,-2.0526872089636057,-2.72083608021054,-2.7472288863111145,-20.0
4,-0.06404028480625665,-1.4177471949334461,-1.3671850573704871,-1.9353998588188481,-2.0136519552401912,-2.7259390580044913,-2.754387289369217,-20.0
5,-0.0549695954591653,-1.41250973650577,-1.3727892389367466,-1.927407913838102,-2.0182415129457856,-2.7296655473715994,-2.758835067821233,-20.0
6,-0.04849053163981458,-1.408281547053972,-1.377279403236413,-1.9240976116485353,-2.0191215082713194,-2.7325892442554904,-2.761750134069236,-20.0
7,-0.04363123377530161,-1.3992878689907788,-1.3864695631010517,-1.934435357014785,-2.0069610321063807,-2.734994951778143,-2.7637234987138024,-20.0
8,-0.03985177988068016,-1.3931451462702595,-1.3927651048073364,-1.9487965420687194,-1.9911821677301103,-2.7370413792480845,-2.7650830164184037,-20.0
9,-0.0368282167649829,-1.38694498086836,-1.3990875254151716,-1.9406961344319391,-1.998148431894433,-2.7388250168852424,-2.7660241349284993,-20.0
10,-0.034354392397594385,-1.3822886487514785,-1.4038438845180752,-1.9387042966366905,-1.9992123341200054,-2.740408649909793,-2.7666698477867673,-20.0
11,-0.03229287209143726,-1.378130670032162,-1.408085219059078,-1.9455930282282548,-1.9915503228858942,-2.741835406207396,-2.767100879885085,-20.0
12,-0.03054850875545811,-1.3747344467081877,-1.4115519742321185,-1.953323793056563,-1.9831652445174066,-2.7431362426268064,-2.767372018109872,-20.0
13,-0.029053340181761755,-1.371756084408651,-1.4145907924022547,-1.9465335386264102,-1.989394658770056,-2.7443342042541436,-2.767521463270783,-20.0
14,-0.027757527417891635,-1.3692077941021272,-1.4171914777965904,-1.9456550603912914,-1.9897870755175286,-2.74544698062517,-2.767576439563375,-20.0
15,-0.026623691249505185,-1.3669607094946838,-1.419484408105858,-1.9512839509520894,-1.9837328811559134,-2.746488514522828,-2.767556689193683,-20.0
16,-0.02562324757151711,-1.3649868048762865,-1.4214987648141382,-1.9552940706785369,-1.9793474933686799,-2.7474700565184214,-2.767476721003776,-20.0
17,-0.024733964302194406,-1.3632276299935684,-1.4232938971101614,-1.9498930537680188,-1.984414938671217,-2.748400880323638,-2.767347295999264,-20.0
18,-0.023938289798063648,-1.3616560050003026,-1.4248976945259073,-1.949785890470128,-1.9842236431604827,-2.7492887858813564,-2.767176431576945,-20.0
19,-0.02322218274434595,-1.360240305003708,-1.4263423497026255,-1.9547618599294636,-1.9789790607743882,-2.7501404621006413,-2.7669700923094678,-20.0
20,-0.022574276362410866,-1.35896007824349,-1.4276487740068045,-1.9562851251454472,-1.9772127648143911,-2.7509617579237573,-2.766732672761224,-20.0
21,-0.02198527056065167,-1.357795898527128,-1.4288367696722555,-1.9521269702733333,-1.981149982646879,-2.7517578897617043,-2.7664673375371307,-20.0
22,-0.021447482654697668,-1.3567331284030562,-1.4299212847932414,-1.9525691323159855,-1.9805060954806024,-2.75253360527849,-2.7661762624428277,-20.0
23,-0.020954510407573155,-1.3557588297703465,-1.4309155163398266,-1.9570904154326012,-1.975799897666828,-2.753293316000242,-2.7658608054617404,-20.0
24,-0.02050097594021859,-1.3548625237501994,-1.4318301606407686,-1.9568726892629937,-1.9758475023152533,-2.7540412069825804,-2.7655216279331825,-20.0
25,-0.02008232873958365,-1.354035138690143,-1.4326744733446442,-1.9537539806921544,-1.9788091756356385,-2.754781327281485,-2.765158781576643,-20.0
26,-0.01969469244269943,-1.3532690549419473,-1.4334562308370589,-1.95460486763458,-1.9778128856846418,-2.7555176606609257,-2.7647717759154156,-20.0
