,0,1,2,3
0,-1.6822439788795003,-2.3804899868144074,-2.6710997932594975,-20.0
1,-1.6066040973840814,-2.44291811605372,-2.5960082313758326,-20.0
2,-1.5800066519465255,-2.5168706355482526,-2.5192186994204615,-20.0
3,-1.5666976722605228,-2.482859777384789,-2.551821308322644,-20.0
4,-1.5587122649857377,-2.484945290662142,-2.548890864951659,-20.0
5,-1.5533886603623195,-2.514407329737166,-2.5188655389222796,-20.0
6,-1.549586085633465,-2.4983229781548895,-2.534547542675065,-20.0
7,-1.5467341545868387,-2.4956483574116777,-2.536920402547313,-20.0
8,-1.544515985995009,-2.5130349417028333,-2.5192991153563615,-20.0
9,-1.5427414511215536,-2.5046771187681665,-2.527469175971091,-20.0
10,-1.5412895589523552,-2.5006491508392945,-2.5313435201847394,-20.0
11,-1.5400796488113635,-2.512136082024633,-2.5197285692370994,-20.0
12,-1.5390558786920567,-2.5082272859948374,-2.523529040852499,-20.0
13,-1.5381783614469422,-2.503611349818841,-2.5280521275286363,-20.0
14,-1.5374178465011707,-2.511552850164497,-2.5200301576173514,-20.0
15,-1.536752395923626,-2.5105439073912956,-2.5209686895205663,-20.0
16,-1.5361652336493168,-2.5056131516154037,-2.525837318057775,-20.0
17,-1.5356433116277133,-2.5111944484472932,-2.520200797015534,-20.0
18,-1.5351763287662745,-2.5121961061230347,-2.519149728202836,-20.0
19,-1.5347560441909835,-2.5070864061069784,-2.5242149581955315,-20.0
20,-1.5343757867180972,-2.5109962700801898,-2.520264859439209,-20.0
21,-1.5340300981063861,-2.513428055857258,-2.5177964965860813,-20.0
22,-1.5337144693739506,-2.5082381524698327,-2.5229530035133982,-20.0
23,-1.5334251430358883,-2.5109116979336843,-2.5202488446285827,-20.0
24,-1.5331589628048679,-2.5143462664266982,-2.516786111787417,-20.0
25,-1.5329132579762366,-2.5091803138571125,-2.521926066497385,-20.0
26,-1.5326857535052785,-2.5109075915200068,-2.5201747167420083,-20.0
27,-1.5324744993536776,-2.514987407625038,-2.51607254797969,-20.0
28,-1.5322778144539084,-2.5099788814597392,-2.521060263050839,-20.0
29,-1.5320942418807932,-2.5109606377227833,-2.5200590830999774,-20.0
30,-1.5319225126994893,-2.5153554743051694,-2.515646075970667,-20.0
31,-1.5317615165920195,-2.51067541485409,-2.5203091005338196,-20.0
32,-1.5316102778243939,-2.5110544998737687,-2.5199140130433406,-20.0
33,-1.5314679354548661,-2.5154569424626487,-2.515496509305877,-20.0
34,-1.5313337269350236,-2.5112974530601764,-2.5196417981967323,-20.0
35,-1.5312069744440633,-2.5111777270415834,-2.519748112621398,-20.0
36,-1.5310870734390987,-2.5153312280959126,-2.515581924923811,-20.0
37,-1.530973483013345,-2.5118639370833447,-2.519037197011197,-20.0
38,-1.5308657177376277,-2.511322278790204,-2.519567452734234,-20.0
39,-1.5307633407256982,-2.515053757141424,-2.5158251419410322,-20.0
40,-1.5306659577143489,-2.512388152021537,-2.5184804430310055,-20.0
41,-1.530573211989256,-2.5114825035192316,-2.5193762781717717,-20.0
42,-1.5304847800188168,-2.5147086074995615,-2.5161408172652435,-20.0
43,-1.5304003676833995,-2.5128792932272224,-2.5179611999262117,-20.0
44,-1.5303197070073322,-2.5116544355388326,-2.519177522963503,-20.0
45,-1.5302425533171828,-2.5143604065832017,-2.516463388339747,-20.0
46,-1.5301686827627827,-2.513343139681142,-2.5174728390487844,-20.0
47,-1.530097890148151,-2.511835311141436,-2.518973177070461,-20.0
48,-1.530029987027992,-2.5140461356848416,-2.5167551677442614,-20.0
49,-1.5299648000326413,-2.513782001451341,-2.517012404586516,-20.0
50,-1.5299021693900479,-2.5120232338040056,-2.518764545328355,-20.0
51,-1.529841947618325,-2.513781245282065,-2.5170001618257567,-20.0
52,-1.529783998366288,-2.5141939369484096,-2.516581338588499,-20.0
53,-1.5297281953828465,-2.5122169406243393,-2.5185524304373352,-20.0
54,-1.5296744215988016,-2.5135685793858773,-2.517195101908714,-20.0
55,-1.5296225683070455,-2.5145712304841155,-2.516186964249247,-20.0
56,-1.5295725344290336,-2.512415637245594,-2.518337263437306,-20.0
57,-1.5295242258571615,-2.51340493761494,-2.517342851570742,-20.0
58,-1.5294775548639956,-2.5148985311375944,-2.515844319822271,-20.0
59,-1.5294324395706032,-2.5126188784245005,-2.5181191989170233,-20.0
60,-1.5293888034671568,-2.5132848356467536,-2.5174486245885346,-20.0
61,-1.529346574979952,-2.5151523662390476,-2.5155766258290204,-20.0
62,-1.529305687079641,-2.5128264774871787,-2.5178981882601876,-20.0
63,-1.5292660769262163,-2.5132023741094014,-2.517518100514488,-20.0
64,-1.5292276855467417,-2.5153057768010982,-2.5154106356571724,-20.0
65,-1.529190457542404,-2.5130384309317826,-2.5176740424567354,-20.0
66,-1.529154340821777,-2.513152058260247,-2.5175565936428934,-20.0
67,-1.5291192863576397,-2.5153409861387837,-2.515363956675647,-20.0
68,-1.5290852479649257,-2.51325484469983,-2.5174464965355416,-20.0
69,-1.529052182097719,-2.5131290926309364,-2.5175687499275177,-20.0
70,-1.5290200476633902,-2.5152637940934315,-2.515430648342467,-20.0
71,-1.5289888058522383,-2.513475845611793,-2.517215291149492,-20.0
72,-1.5289584199811168,-2.513129432658839,-2.517558488994245,-20.0
73,-1.5289288553497564,-2.5151046575800504,-2.515580135859895,-20.0
74,-1.5289000791085647,-2.5137014539058606,-2.516980294739846,-20.0
75,-1.528872060136879,-2.5131497343382816,-2.5175290496390805,-20.0
76,-1.5288447689306905,-2.5149035456885245,-2.515772350624853,-20.0
77,-1.5288181774990208,-2.5139313782866073,-2.5167417044055114,-20.0
78,-1.528792259268152,-2.5131872689040455,-2.5174830713977685,-20.0
79,-1.5287669889930557,-2.5146939424075674,-2.515973724063983,-20.0
80,-1.5287423426753681,-2.514164670374027,-2.516500388287464,-20.0
81,-1.5287182974873814,-2.513239832666891,-2.5174226817896854,-20.0
82,-1.5286948317015139,-2.514496942597262,-2.5161630889605067,-20.0
83,-1.5286719246248348,-2.5143991404180723,-2.5162584673575084,-20.0
84,-1.528649556538194,-2.513305664237645,-2.5173495767860707,-20.0
85,-1.5286277086396156,-2.514323039837232,-2.5163298894754544,-20.0
86,-1.5286063629915783,-2.5146304067478282,-2.516020263996582,-20.0
87,-1.5285855024719064,-2.513383372966278,-2.517265090540827,-20.0
88,-1.5285651107279565,-2.5141759632690968,-2.5164703426014214,-20.0
89,-1.5285451721338732,-2.514850502882489,-2.5157936932989333,-20.0
90,-1.528525671750648,-2.5134718784688177,-2.517170254390505,-20.0
91,-1.528506595288798,-2.5140557948601945,-2.516584319531859,-20.0
92,-1.5284879290734386,-2.5150463209626013,-2.515591818370009,-20.0
93,-1.5284696600115983,-2.513570359221731,-2.5170658470740634,-20.0
94,-1.5284517755615854,-2.5139609089356667,-2.51667340501861,-20.0
95,-1.528434263704282,-2.5151991995808767,-2.5154332614556725,-20.0
96,-1.5284171129162003,-2.5136782069595682,-2.5169524393639096,-20.0
97,-1.528400312144203,-2.5138890342459694,-2.5167398343995457,-20.0
98,-1.52838385078174,-2.5152884252974994,-2.515338701582577,-20.0
99,-1.5283677186465272,-2.5137949822779295,-2.516830437672004,-20.0
100,-1.5283519059595356,-2.513837789622856,-2.5167859571973783,-20.0
101,-1.528336403325231,-2.5153004303227333,-2.5153216761743478,-20.0
102,-1.5283212017129506,-2.513920364602047,-2.5167001334229386,-20.0
