Shape: (10, 10, 10)
(np.int64(6), np.int64(6), np.int64(8)): (-4.4647436087067006e-17-0.18228699131109594j)
(np.int64(6), np.int64(7), np.int64(7)): (-4.8310514581364246e-17-0.19724264422607363j)
(np.int64(6), np.int64(8), np.int64(6)): (-4.4647436087067006e-17-0.18228699131109596j)
(np.int64(6), np.int64(9), np.int64(5)): (-3.319519321810774e-17-0.13552966145512127j)
(np.int64(7), np.int64(1), np.int64(2)): (1.1736273113660838e-17+0.09583394266683332j)
(np.int64(7), np.int64(2), np.int64(1)): (1.1736273113660838e-17+0.09583394266683332j)
(np.int64(7), np.int64(4), np.int64(9)): (-2.98575400252805e-17-0.12190265816261671j)
(np.int64(7), np.int64(5), np.int64(8)): (-4.2224938042849206e-17-0.17239639246290384j)
(np.int64(7), np.int64(6), np.int64(7)): (-4.8310514581364246e-17-0.19724264422607365j)
(np.int64(7), np.int64(7), np.int64(6)): (-4.8310514581364246e-17-0.19724264422607363j)
(np.int64(7), np.int64(8), np.int64(5)): (-4.2224938042849206e-17-0.17239639246290384j)
(np.int64(7), np.int64(9), np.int64(4)): (-2.98575400252805e-17-0.12190265816261672j)
(np.int64(8), np.int64(1), np.int64(1)): (7.253415685493956e-18+0.05922863384401172j)
(np.int64(8), np.int64(3), np.int64(9)): (-2.3472546227321682e-17-0.09583394266683334j)
(np.int64(8), np.int64(4), np.int64(8)): (-3.5099643393184225e-17-0.14330516936647356j)
(np.int64(8), np.int64(5), np.int64(7)): (-4.2224938042849206e-17-0.1723963924629038j)
(np.int64(8), np.int64(6), np.int64(6)): (-4.464743608706701e-17-0.18228699131109596j)
(np.int64(8), np.int64(7), np.int64(5)): (-4.2224938042849206e-17-0.1723963924629038j)
(np.int64(8), np.int64(8), np.int64(4)): (-3.509964339318423e-17-0.14330516936647356j)
(np.int64(8), np.int64(9), np.int64(3)): (-2.347254622732168e-17-0.09583394266683333j)
(np.int64(9), np.int64(2), np.int64(9)): (-1.4506831370987912e-17-0.059228633844011745j)
(np.int64(9), np.int64(3), np.int64(8)): (-2.3472546227321685e-17-0.09583394266683333j)
(np.int64(9), np.int64(4), np.int64(7)): (-2.98575400252805e-17-0.1219026581626167j)
(np.int64(9), np.int64(5), np.int64(6)): (-3.319519321810774e-17-0.1355296614551213j)
(np.int64(9), np.int64(6), np.int64(5)): (-3.319519321810774e-17-0.1355296614551213j)
(np.int64(9), np.int64(7), np.int64(4)): (-2.98575400252805e-17-0.1219026581626167j)
(np.int64(9), np.int64(8), np.int64(3)): (-2.347254622732168e-17-0.09583394266683332j)
(np.int64(9), np.int64(9), np.int64(2)): (-1.4506831370987912e-17-0.059228633844011745j)
