Shape: (10, 10, 10, 10, 10)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(8)): (1.738166915232737e-18+0.014955972808958702j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(7)): (7.015167661631342e-19+0.0062049063953062075j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(6)): (4.2102103751368843e-19+0.003781371586735626j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(4), np.int64(5)): (3.292115676031828e-19+0.0029779456212814625j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(5), np.int64(4)): (3.292115676031828e-19+0.0029779456212814625j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(6), np.int64(3)): (4.2102103751368843e-19+0.003781371586735626j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(7), np.int64(2)): (7.015167661631342e-19+0.006204906395306208j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(8), np.int64(1)): (1.738166915232737e-18+0.014955972808958702j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(7)): (7.015167661631342e-19+0.0062049063953062075j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(2), np.int64(6)): (2.7909424539348443e-19+0.0025936910035501987j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(3), np.int64(5)): (1.6841324495279252e-19+0.0016068764716956952j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(4), np.int64(4)): (1.4227138255377885e-19+0.0013685153275755657j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(5), np.int64(3)): (1.6841324495279252e-19+0.0016068764716956952j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(6), np.int64(2)): (2.790942453934845e-19+0.0025936910035501996j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(7), np.int64(1)): (7.015167661631342e-19+0.0062049063953062075j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(9), np.int64(9)): (-1.7530557255677964e-18-0.007177156972514238j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(6)): (4.210210375136884e-19+0.0037813715867356253j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(2), np.int64(5)): (1.6841324495279252e-19+0.0016068764716956952j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(4)): (1.0945337141582392e-19+0.0010723864467667458j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(4), np.int64(3)): (1.0945337141582392e-19+0.001072386446766746j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(5), np.int64(2)): (1.684132449527925e-19+0.0016068764716956952j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(6), np.int64(1)): (4.210210375136883e-19+0.0037813715867356253j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(8), np.int64(9)): (-6.433375386591945e-19-0.0026578673740930443j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(9), np.int64(8)): (-6.433375386591945e-19-0.0026578673740930443j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(1), np.int64(5)): (3.292115676031828e-19+0.0029779456212814625j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(2), np.int64(4)): (1.4227138255377885e-19+0.0013685153275755657j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(3), np.int64(3)): (1.0945337141582397e-19+0.0010723864467667463j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(4), np.int64(2)): (1.422713825537789e-19+0.001368515327575566j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(5), np.int64(1)): (3.292115676031828e-19+0.002977945621281463j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(7), np.int64(9)): (-3.4802949374931843e-19-0.0014647718157750629j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(8), np.int64(8)): (-2.6448189348047567e-19-0.0011138032864566939j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(9), np.int64(7)): (-3.480294937493184e-19-0.0014647718157750629j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(1), np.int64(4)): (3.292115676031828e-19+0.002977945621281463j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(2), np.int64(3)): (1.6841324495279252e-19+0.0016068764716956952j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(3), np.int64(2)): (1.684132449527925e-19+0.0016068764716956952j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(4), np.int64(1)): (3.292115676031828e-19+0.002977945621281463j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(6), np.int64(9)): (-2.521126334484522e-19-0.0010804368650284034j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(7), np.int64(8)): (-1.520980663800161e-19-0.0006593059977310931j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(8), np.int64(7)): (-1.5209806638001607e-19-0.0006593059977310931j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(9), np.int64(6)): (-2.521126334484522e-19-0.0010804368650284037j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(1), np.int64(3)): (4.2102103751368843e-19+0.003781371586735626j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(2), np.int64(2)): (2.790942453934845e-19+0.0025936910035501996j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(3), np.int64(1)): (4.210210375136883e-19+0.0037813715867356253j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(5), np.int64(9)): (-2.521126334484522e-19-0.0010804368650284034j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(6), np.int64(8)): (-1.2404505889514737e-19-0.0005463983619558665j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(7), np.int64(7)): (-9.875107711524307e-20-0.0004386027389748151j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(8), np.int64(6)): (-1.240450588951474e-19-0.0005463983619558662j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(9), np.int64(5)): (-2.521126334484522e-19-0.0010804368650284034j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(1), np.int64(2)): (7.015167661631342e-19+0.006204906395306208j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(2), np.int64(1)): (7.015167661631342e-19+0.0062049063953062075j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(4), np.int64(9)): (-3.4802949374931843e-19-0.0014647718157750629j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(5), np.int64(8)): (-1.520980663800161e-19-0.0006593059977310931j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(6), np.int64(7)): (-9.875107711524307e-20-0.0004386027389748151j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(7), np.int64(6)): (-9.875107711524307e-20-0.0004386027389748151j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(8), np.int64(5)): (-1.520980663800161e-19-0.0006593059977310931j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(9), np.int64(4)): (-3.4802949374931843e-19-0.0014647718157750629j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(1), np.int64(1)): (1.738166915232737e-18+0.014955972808958702j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(3), np.int64(9)): (-6.433375386591945e-19-0.0026578673740930443j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(4), np.int64(8)): (-2.6448189348047567e-19-0.0011138032864566939j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(5), np.int64(7)): (-1.5209806638001607e-19-0.0006593059977310931j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(6), np.int64(6)): (-1.240450588951474e-19-0.0005463983619558662j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(7), np.int64(5)): (-1.5209806638001607e-19-0.0006593059977310931j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(8), np.int64(4)): (-2.6448189348047567e-19-0.0011138032864566943j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(9), np.int64(3)): (-6.433375386591945e-19-0.0026578673740930443j)
(np.int64(1), np.int64(1), np.int64(9), np.int64(2), np.int64(9)): (-1.7530557255677968e-18-0.00717715697251424j)
(np.int64(1), np.int64(1), np.int64(9), np.int64(3), np.int64(8)): (-6.433375386591945e-19-0.0026578673740930443j)
(np.int64(1), np.int64(1), np.int64(9), np.int64(4), np.int64(7)): (-3.480294937493184e-19-0.0014647718157750629j)
(np.int64(1), np.int64(1), np.int64(9), np.int64(5), np.int64(6)): (-2.521126334484522e-19-0.0010804368650284037j)
(np.int64(1), np.int64(1), np.int64(9), np.int64(6), np.int64(5)): (-2.521126334484522e-19-0.0010804368650284037j)
(np.int64(1), np.int64(1), np.int64(9), np.int64(7), np.int64(4)): (-3.480294937493184e-19-0.0014647718157750629j)
(np.int64(1), np.int64(1), np.int64(9), np.int64(8), np.int64(3)): (-6.433375386591945e-19-0.0026578673740930443j)
(np.int64(1), np.int64(1), np.int64(9), np.int64(9), np.int64(2)): (-1.7530557255677968e-18-0.00717715697251424j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(7)): (7.015167661631344e-19+0.00620490639530621j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(2), np.int64(6)): (2.7909424539348443e-19+0.0025936910035501987j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(3), np.int64(5)): (1.6841324495279252e-19+0.0016068764716956952j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(4), np.int64(4)): (1.422713825537789e-19+0.001368515327575566j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(5), np.int64(3)): (1.6841324495279252e-19+0.0016068764716956952j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(6), np.int64(2)): (2.790942453934845e-19+0.002593691003550199j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(7), np.int64(1)): (7.015167661631344e-19+0.00620490639530621j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(9), np.int64(9)): (-1.7530557255677968e-18-0.00717715697251424j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(1), np.int64(6)): (2.7909424539348443e-19+0.0025936910035501987j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(2), np.int64(5)): (1.187110330995225e-19+0.001192004570200469j)
