Shape: (10, 10, 10, 10, 10)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(6)): (-1.4957604879042264e-18-0.012864282026695336j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(5)): (-7.449316217404014e-19-0.006576041165649394j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(4)): (-5.546039518879673e-19-0.004953011407458459j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(4), np.int64(3)): (-5.546039518879673e-19-0.004953011407458459j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(5), np.int64(2)): (-7.449316217404013e-19-0.006576041165649394j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(6), np.int64(1)): (-1.4957604879042266e-18-0.012864282026695336j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(8), np.int64(9)): (1.1579182287189427e-18+0.004745093427514884j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(9), np.int64(8)): (1.1579182287189427e-18+0.004745093427514884j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(5)): (-7.449316217404013e-19-0.006576041165649392j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(2), np.int64(4)): (-3.8053913582471264e-19-0.003511161643614629j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(3), np.int64(3)): (-3.115354012518739e-19-0.0029165398904085122j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(4), np.int64(2)): (-3.8053913582471264e-19-0.00351116164361463j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(5), np.int64(1)): (-7.449316217404013e-19-0.006576041165649392j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(7), np.int64(9)): (4.704160820106864e-19+0.0019510015730520034j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(8), np.int64(8)): (3.618806675014713e-19+0.0014983167912286685j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(9), np.int64(7)): (4.704160820106863e-19+0.001951001573052003j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(4)): (-5.546039518879673e-19-0.004953011407458459j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(2), np.int64(3)): (-3.115354012518739e-19-0.0029165398904085114j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(2)): (-3.115354012518739e-19-0.002916539890408511j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(4), np.int64(1)): (-5.546039518879673e-19-0.004953011407458457j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(6), np.int64(9)): (2.6635953772807086e-19+0.001127876830074793j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(7), np.int64(8)): (1.6776029116259129e-19+0.0007107462672829226j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(8), np.int64(7)): (1.6776029116259126e-19+0.0007107462672829226j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(9), np.int64(6)): (2.6635953772807086e-19+0.0011278768300747933j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(1), np.int64(3)): (-5.546039518879673e-19-0.004953011407458459j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(2), np.int64(2)): (-3.8053913582471264e-19-0.0035111616436146295j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(3), np.int64(1)): (-5.546039518879673e-19-0.004953011407458458j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(5), np.int64(9)): (1.9650760893690353e-19+0.0008484279128191821j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(6), np.int64(8)): (1.0153534524005817e-19+0.0004424971840253041j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(7), np.int64(7)): (8.24612327069551e-20+0.00035906294492320836j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(8), np.int64(6)): (1.0153534524005817e-19+0.0004424971840253041j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(9), np.int64(5)): (1.9650760893690353e-19+0.0008484279128191821j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(1), np.int64(2)): (-7.449316217404014e-19-0.006576041165649392j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(2), np.int64(1)): (-7.449316217404013e-19-0.006576041165649392j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(4), np.int64(9)): (1.9650760893690353e-19+0.0008484279128191821j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(5), np.int64(8)): (8.445356623351578e-20+0.00037334809425135256j)
