Shape: (9, 9, 9, 9, 9)
Non-zero entries (indices: value):
(np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(1)): (-1.189567273778749e-18+0.5687706789654867j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(3), np.int64(8)): (-1.4252696599224016e-18-0.014225458189459167j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(4), np.int64(7)): (-1.5095316636415091e-18-0.013920986699708643j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(5), np.int64(6)): (-1.4997912343796144e-18-0.01358001714213939j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(6), np.int64(5)): (-1.4997912343796144e-18-0.01358001714213939j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(7), np.int64(4)): (-1.5095316636415107e-18-0.01392098669970865j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(8), np.int64(3)): (-1.4252696599224016e-18-0.01422545818945916j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(2), np.int64(8)): (-1.6504747129151117e-18-0.016478310834914495j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(3), np.int64(7)): (-1.6974134300718821e-19-0.0023663152729595863j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(4), np.int64(6)): (-1.0023895686791324e-19-0.0016334583803746076j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(5), np.int64(5)): (-6.585375543631323e-20-0.0013060082181646955j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(6), np.int64(4)): (-1.0023895686791363e-19-0.001633458380374611j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(7), np.int64(3)): (-1.6974134300718821e-19-0.0023663152729595897j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(8), np.int64(2)): (-1.6504747129151113e-18-0.016478310834914495j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(1), np.int64(8)): (-1.4252696599224016e-18-0.014225458189459167j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(2), np.int64(7)): (-1.697413430071886e-19-0.0023663152729595863j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(3), np.int64(6)): (3.340033921252362e-19+0.002709302286373016j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)): (2.611762102188002e-19+0.002099373126614651j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(4)): (2.611762102188002e-19+0.002099373126614651j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(6), np.int64(3)): (3.340033921252358e-19+0.002709302286373016j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(7), np.int64(2)): (-1.6974134300718899e-19-0.0023663152729595863j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(8), np.int64(1)): (-1.4252696599224008e-18-0.01422545818945916j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(1), np.int64(7)): (-1.5095316636415091e-18-0.013920986699708643j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(2), np.int64(6)): (-1.0023895686791324e-19-0.0016334583803746076j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(3), np.int64(5)): (2.611762102188002e-19+0.002099373126614651j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(4), np.int64(4)): (2.050926638363574e-19+0.001626558838058706j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(3)): (2.611762102188006e-19+0.002099373126614658j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(6), np.int64(2)): (-1.0023895686791363e-19-0.0016334583803746076j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(7), np.int64(1)): (-1.50953166364151e-18-0.013920986699708643j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(1), np.int64(6)): (-1.4997912343796144e-18-0.013580017142139387j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(2), np.int64(5)): (-6.585375543631323e-20-0.0013060082181646938j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(3), np.int64(4)): (2.611762102188006e-19+0.002099373126614651j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(4), np.int64(3)): (2.611762102188006e-19+0.002099373126614658j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(5), np.int64(2)): (-6.585375543631323e-20-0.0013060082181646955j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(6), np.int64(1)): (-1.4997912343796142e-18-0.01358001714213939j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(8), np.int64(8)): (2.06176700124486e-18+0.008446662548963459j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(1), np.int64(5)): (-1.4997912343796142e-18-0.01358001714213939j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(2), np.int64(4)): (-1.0023895686791363e-19-0.001633458380374611j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(3), np.int64(3)): (3.340033921252354e-19+0.002709302286373016j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(4), np.int64(2)): (-1.0023895686791363e-19-0.001633458380374611j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(5), np.int64(1)): (-1.4997912343796142e-18-0.01358001714213939j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)): (1.258987611273657e-18+0.0051687184686993026j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(8), np.int64(7)): (1.258987611273657e-18+0.005168718468699303j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(1), np.int64(4)): (-1.5095316636415107e-18-0.01392098669970865j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(2), np.int64(3)): (-1.6974134300718821e-19-0.0023663152729595897j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(3), np.int64(2)): (-1.6974134300718899e-19-0.0023663152729595897j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(4), np.int64(1)): (-1.5095316636415107e-18-0.01392098669970865j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(6), np.int64(8)): (1.258987611273657e-18+0.0051687184686993026j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(7), np.int64(7)): (9.402061647888883e-19+0.0038663075753544j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(8), np.int64(6)): (1.258987611273657e-18+0.0051687184686993026j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(1), np.int64(3)): (-1.4252696599224016e-18-0.01422545818945916j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(2), np.int64(2)): (-1.6504747129151113e-18-0.016478310834914495j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(3), np.int64(1)): (-1.4252696599224008e-18-0.01422545818945916j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(5), np.int64(8)): (2.06176700124486e-18+0.008446662548963459j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(6), np.int64(7)): (1.258987611273657e-18+0.005168718468699303j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(7), np.int64(6)): (1.258987611273657e-18+0.005168718468699303j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(8), np.int64(5)): (2.06176700124486e-18+0.008446662548963459j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(1), np.int64(2)): (-4.9194978264986475e-18+0.40935946356115616j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(2), np.int64(1)): (-4.9194978264986475e-18+0.40935946356115616j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(4), np.int64(8)): (-3.4498891640073064e-19-0.0048572836347523796j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(5), np.int64(7)): (-4.840766593591545e-19-0.005331550548765603j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(6), np.int64(6)): (-4.967473371530183e-19-0.00528623087782862j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(7), np.int64(5)): (-4.840766593591534e-19-0.005331550548765603j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(8), np.int64(4)): (-3.4498891640073103e-19-0.0048572836347523796j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(1), np.int64(1)): (-4.9194978264986475e-18+0.40935946356115616j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(3), np.int64(8)): (-9.00681567817788e-19-0.015244745277094768j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(4), np.int64(7)): (-3.5510850184648325e-19-0.007143164211190416j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(5), np.int64(6)): (-4.0891611268783746e-19-0.00689248402401876j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(6), np.int64(5)): (-4.0891611268783707e-19-0.00689248402401876j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(7), np.int64(4)): (-3.5510850184648325e-19-0.00714316421119042j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(8), np.int64(3)): (-9.00681567817788e-19-0.015244745277094768j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(2), np.int64(8)): (-9.00681567817788e-19-0.015244745277094768j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(7)): (1.102547482162904e-19-0.0007084401958681701j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(4), np.int64(6)): (3.716126401277485e-19+0.0023504315626203982j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(5), np.int64(5)): (3.314397696990552e-19+0.002030698114734098j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(6), np.int64(4)): (3.716126401277481e-19+0.0023504315626203948j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(7), np.int64(3)): (1.102547482162904e-19-0.0007084401958681701j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(8), np.int64(2)): (-9.00681567817788e-19-0.015244745277094768j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(1), np.int64(8)): (-3.4498891640073064e-19-0.0048572836347523796j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(2), np.int64(7)): (-3.5510850184648325e-19-0.007143164211190416j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(3), np.int64(6)): (3.716126401277485e-19+0.0023504315626203982j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(4), np.int64(5)): (4.893429470560475e-19+0.003958879514452895j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(5), np.int64(4)): (4.893429470560475e-19+0.003958879514452892j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(6), np.int64(3)): (3.716126401277485e-19+0.0023504315626203982j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(7), np.int64(2)): (-3.5510850184648325e-19-0.007143164211190406j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(8), np.int64(1)): (-3.4498891640073064e-19-0.0048572836347523796j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(1), np.int64(7)): (-4.840766593591545e-19-0.005331550548765603j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(2), np.int64(6)): (-4.0891611268783707e-19-0.00689248402401876j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(3), np.int64(5)): (3.314397696990554e-19+0.002030698114734098j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(4), np.int64(4)): (4.893429470560475e-19+0.003958879514452892j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(5), np.int64(3)): (3.314397696990554e-19+0.0020306981147340964j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(6), np.int64(2)): (-4.0891611268783707e-19-0.0068924840240187565j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(7), np.int64(1)): (-4.840766593591542e-19-0.005331550548765603j)
(np.int64(1), np.int64(3), np.int64(6), np.int64(1), np.int64(6)): (-4.9674733715301815e-19-0.005286230877828618j)
(np.int64(1), np.int64(3), np.int64(6), np.int64(2), np.int64(5)): (-4.0891611268783707e-19-0.0068924840240187565j)
(np.int64(1), np.int64(3), np.int64(6), np.int64(3), np.int64(4)): (3.716126401277481e-19+0.0023504315626203948j)
