Shape: (9, 9, 9, 9)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(3)): (0.28978312466689676+1.4121868758190082e-17j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(4)): (0.10889455905490825+1.0319666937746952e-17j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(5)): (0.056004566700824106+8.118547625545982e-18j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(6)): (0.02941899135048053+6.942432277525322e-18j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(7)): (0.010113384924955653+6.6466023045983026e-18j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(8)): (-0.01142400215623521+7.971097141427192e-18j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(1)): (-0.014963381270498004+1.8324856977336838e-18j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(4)): (0.10889455905490826+1.031966693774695e-17j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(5)): (0.05262070648400137+8.295814276012209e-18j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(6)): (0.028039568704188507+6.975078274266627e-18j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(7)): (0.010721678706811191+6.456045737081978e-18j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(8)): (-0.008140638248196407+7.28732696354853e-18j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(1)): (0.03365298831888985-4.1213024426471715e-18j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(2)): (-0.028121957923786103+2.8098353218378683e-18j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(5)): (0.05600456670082412+8.118547625545982e-18j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(6)): (0.028039568704188507+6.975078274266627e-18j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(7)): (0.011082120520390322+6.339826405167702e-18j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(8)): (-0.006399657423490998+6.889417138637775e-18j)
(np.int64(1), np.int64(3), np.int64(6), np.int64(1)): (0.021121010553853632-2.5865777969534304e-18j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(2)): (0.0052135939055160336-1.0480723195733735e-18j)
(np.int64(1), np.int64(3), np.int64(8), np.int64(3)): (-0.03788861141556921+3.488973185151159e-18j)
(np.int64(1), np.int64(4), np.int64(1), np.int64(6)): (0.029418991350480525+6.942432277525321e-18j)
(np.int64(1), np.int64(4), np.int64(2), np.int64(7)): (0.010721678706811191+6.456045737081978e-18j)
(np.int64(1), np.int64(4), np.int64(3), np.int64(8)): (-0.006399657423490998+6.889417138637775e-18j)
(np.int64(1), np.int64(4), np.int64(5), np.int64(1)): (0.016768700350931524-2.0535735210629396e-18j)
(np.int64(1), np.int64(4), np.int64(6), np.int64(2)): (0.0002399482244774584-3.6287571364076687e-19j)
(np.int64(1), np.int64(4), np.int64(7), np.int64(3)): (-0.00964896365273858+3.3139658802219705e-19j)
(np.int64(1), np.int64(4), np.int64(8), np.int64(4)): (-0.043085339194284096+3.787985238350589e-18j)
(np.int64(1), np.int64(5), np.int64(1), np.int64(7)): (0.010113384924955653+6.6466023045983026e-18j)
(np.int64(1), np.int64(5), np.int64(2), np.int64(8)): (-0.008140638248196407+7.28732696354853e-18j)
(np.int64(1), np.int64(5), np.int64(4), np.int64(1)): (0.016768700350931524-2.0535735210629396e-18j)
(np.int64(1), np.int64(5), np.int64(5), np.int64(2)): (-0.0010636353504763104-1.830833829668581e-19j)
(np.int64(1), np.int64(5), np.int64(6), np.int64(3)): (-0.01188038149957443+7.075400661578988e-19j)
(np.int64(1), np.int64(5), np.int64(7), np.int64(4)): (-0.017880016069147676+9.432898307657908e-19j)
(np.int64(1), np.int64(5), np.int64(8), np.int64(5)): (-0.04308533919428415+3.670806214872402e-18j)
(np.int64(1), np.int64(6), np.int64(1), np.int64(8)): (-0.01142400215623521+7.971097141427192e-18j)
(np.int64(1), np.int64(6), np.int64(3), np.int64(1)): (0.02112101055385363-2.58657779695343e-18j)
(np.int64(1), np.int64(6), np.int64(4), np.int64(2)): (0.00023994822447744946-3.628757136407659e-19j)
(np.int64(1), np.int64(6), np.int64(5), np.int64(3)): (-0.01188038149957443+7.075400661578988e-19j)
(np.int64(1), np.int64(6), np.int64(6), np.int64(4)): (-0.019109323459866514+1.1629664001153226e-18j)
(np.int64(1), np.int64(6), np.int64(7), np.int64(5)): (-0.019066822272831404+8.23603556815329e-19j)
(np.int64(1), np.int64(6), np.int64(8), np.int64(6)): (-0.03788861141556922+3.151569634326255e-18j)
(np.int64(1), np.int64(7), np.int64(2), np.int64(1)): (0.03365298831888986-4.121302442647173e-18j)
(np.int64(1), np.int64(7), np.int64(3), np.int64(2)): (0.0052135939055160336-1.0480723195733754e-18j)
(np.int64(1), np.int64(7), np.int64(4), np.int64(3)): (-0.009648963652738575+3.3139658802219705e-19j)
(np.int64(1), np.int64(7), np.int64(5), np.int64(4)): (-0.017880016069147676+9.432898307657893e-19j)
