Shape: (9, 9, 9, 9)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(6)): (-0.01861413429212271+2.2795739979747065e-18j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(5)): (-0.027212043874267504+3.3325142428879033e-18j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(4)): (-0.03158586173743194+3.8681524475056894e-18j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(3)): (-0.03158586173743194+3.8681524475056894e-18j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(2)): (-0.027212043874267504+3.3325142428879033e-18j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(1)): (-0.018614134292122712+2.2795739979747065e-18j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(8)): (0.011697777844051103-2.865129238770802e-18j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(5)): (-0.027212043874267507+3.3325142428879033e-18j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(4)): (-0.03730517387797634+4.568566178129918e-18j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(3)): (-0.040606001132186806+4.9728009312706374e-18j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(2)): (-0.03730517387797634+4.568566178129918e-18j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(1)): (-0.027212043874267504+3.3325142428879033e-18j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(8)): (0.021984631039295422-5.384681606541738e-18j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(7)): (0.021984631039295426-5.3846816065417374e-18j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(4)): (-0.03158586173743195+3.868152447505689e-18j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(3)): (-0.0406060011321868+4.9728009312706374e-18j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(2)): (-0.040606001132186806+4.9728009312706374e-18j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(1)): (-0.03158586173743195+3.8681524475056894e-18j)
(np.int64(1), np.int64(3), np.int64(6), np.int64(8)): (0.029619813272602394-7.254761903126962e-18j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(7)): (0.0349831292732513-8.568395457729056e-18j)
(np.int64(1), np.int64(3), np.int64(8), np.int64(6)): (0.02961981327260239-7.254761903126962e-18j)
(np.int64(1), np.int64(4), np.int64(1), np.int64(3)): (-0.03158586173743194+3.868152447505689e-18j)
(np.int64(1), np.int64(4), np.int64(2), np.int64(2)): (-0.03730517387797634+4.568566178129918e-18j)
(np.int64(1), np.int64(4), np.int64(3), np.int64(1)): (-0.03158586173743194+3.868152447505689e-18j)
(np.int64(1), np.int64(4), np.int64(5), np.int64(8)): (0.03368240888334652-8.249810845312539e-18j)
(np.int64(1), np.int64(4), np.int64(6), np.int64(7)): (0.04330127018922193-1.0605752387249071e-17j)
(np.int64(1), np.int64(4), np.int64(7), np.int64(6)): (0.04330127018922193-1.060575238724907e-17j)
(np.int64(1), np.int64(4), np.int64(8), np.int64(5)): (0.03368240888334652-8.249810845312539e-18j)
(np.int64(1), np.int64(5), np.int64(1), np.int64(2)): (-0.027212043874267504+3.3325142428879033e-18j)
(np.int64(1), np.int64(5), np.int64(2), np.int64(1)): (-0.027212043874267504+3.3325142428879033e-18j)
(np.int64(1), np.int64(5), np.int64(4), np.int64(8)): (0.03368240888334652-8.249810845312539e-18j)
(np.int64(1), np.int64(5), np.int64(5), np.int64(7)): (0.04617544076542322-1.1309721146518753e-17j)
(np.int64(1), np.int64(5), np.int64(6), np.int64(6)): (0.050261124800893474-1.2310425121791968e-17j)
(np.int64(1), np.int64(5), np.int64(7), np.int64(5)): (0.0461754407654232-1.1309721146518749e-17j)
(np.int64(1), np.int64(5), np.int64(8), np.int64(4)): (0.03368240888334652-8.249810845312539e-18j)
(np.int64(1), np.int64(6), np.int64(1), np.int64(1)): (-0.018614134292122712+2.2795739979747065e-18j)
(np.int64(1), np.int64(6), np.int64(3), np.int64(8)): (0.029619813272602394-7.254761903126962e-18j)
(np.int64(1), np.int64(6), np.int64(4), np.int64(7)): (0.04330127018922194-1.0605752387249071e-17j)
(np.int64(1), np.int64(6), np.int64(5), np.int64(6)): (0.050261124800893474-1.2310425121791968e-17j)
(np.int64(1), np.int64(6), np.int64(6), np.int64(5)): (0.05026112480089347-1.2310425121791968e-17j)
(np.int64(1), np.int64(6), np.int64(7), np.int64(4)): (0.043301270189221946-1.0605752387249073e-17j)
(np.int64(1), np.int64(6), np.int64(8), np.int64(3)): (0.029619813272602394-7.254761903126962e-18j)
(np.int64(1), np.int64(7), np.int64(2), np.int64(8)): (0.021984631039295426-5.384681606541738e-18j)
(np.int64(1), np.int64(7), np.int64(3), np.int64(7)): (0.0349831292732513-8.568395457729054e-18j)
(np.int64(1), np.int64(7), np.int64(4), np.int64(6)): (0.04330127018922193-1.060575238724907e-17j)
(np.int64(1), np.int64(7), np.int64(5), np.int64(5)): (0.0461754407654232-1.1309721146518747e-17j)
(np.int64(1), np.int64(7), np.int64(6), np.int64(4)): (0.04330127018922193-1.0605752387249068e-17j)
(np.int64(1), np.int64(7), np.int64(7), np.int64(3)): (0.0349831292732513-8.568395457729054e-18j)
(np.int64(1), np.int64(7), np.int64(8), np.int64(2)): (0.021984631039295426-5.3846816065417374e-18j)
(np.int64(1), np.int64(8), np.int64(1), np.int64(8)): (0.011697777844051101-2.865129238770802e-18j)
(np.int64(1), np.int64(8), np.int64(2), np.int64(7)): (0.021984631039295426-5.384681606541739e-18j)
(np.int64(1), np.int64(8), np.int64(3), np.int64(6)): (0.02961981327260239-7.25476190312696e-18j)
(np.int64(1), np.int64(8), np.int64(4), np.int64(5)): (0.03368240888334652-8.249810845312539e-18j)
(np.int64(1), np.int64(8), np.int64(5), np.int64(4)): (0.03368240888334652-8.249810845312539e-18j)
(np.int64(1), np.int64(8), np.int64(6), np.int64(3)): (0.029619813272602394-7.254761903126962e-18j)
(np.int64(1), np.int64(8), np.int64(7), np.int64(2)): (0.021984631039295422-5.3846816065417374e-18j)
(np.int64(1), np.int64(8), np.int64(8), np.int64(1)): (0.011697777844051103-2.8651292387708025e-18j)
(np.int64(2), np.int64(1), np.int64(1), np.int64(5)): (-0.0272120438742675+3.3325142428879037e-18j)
(np.int64(2), np.int64(1), np.int64(2), np.int64(4)): (-0.03730517387797634+4.568566178129918e-18j)
(np.int64(2), np.int64(1), np.int64(3), np.int64(3)): (-0.040606001132186806+4.9728009312706374e-18j)
(np.int64(2), np.int64(1), np.int64(4), np.int64(2)): (-0.03730517387797634+4.568566178129918e-18j)
(np.int64(2), np.int64(1), np.int64(5), np.int64(1)): (-0.0272120438742675+3.3325142428879037e-18j)
(np.int64(2), np.int64(1), np.int64(7), np.int64(8)): (0.021984631039295426-5.384681606541737e-18j)
(np.int64(2), np.int64(1), np.int64(8), np.int64(7)): (0.021984631039295426-5.3846816065417374e-18j)
(np.int64(2), np.int64(2), np.int64(1), np.int64(4)): (-0.03730517387797634+4.568566178129918e-18j)
(np.int64(2), np.int64(2), np.int64(2), np.int64(3)): (-0.04795860709193028+5.8732354666697956e-18j)
(np.int64(2), np.int64(2), np.int64(3), np.int64(2)): (-0.04795860709193026+5.873235466669795e-18j)
(np.int64(2), np.int64(2), np.int64(4), np.int64(1)): (-0.03730517387797634+4.568566178129918e-18j)
(np.int64(2), np.int64(2), np.int64(6), np.int64(8)): (0.034983129273251284-8.568395457729054e-18j)
(np.int64(2), np.int64(2), np.int64(7), np.int64(7)): (0.04131759111665349-1.0119891141897763e-17j)
(np.int64(2), np.int64(2), np.int64(8), np.int64(6)): (0.03498312927325129-8.568395457729053e-18j)
(np.int64(2), np.int64(3), np.int64(1), np.int64(3)): (-0.040606001132186806+4.9728009312706374e-18j)
(np.int64(2), np.int64(3), np.int64(2), np.int64(2)): (-0.047958607091930276+5.8732354666697956e-18j)
(np.int64(2), np.int64(3), np.int64(3), np.int64(1)): (-0.040606001132186806+4.972800931270637e-18j)
(np.int64(2), np.int64(3), np.int64(5), np.int64(8)): (0.04330127018922194-1.060575238724907e-17j)
(np.int64(2), np.int64(3), np.int64(6), np.int64(7)): (0.05566703992264195-1.363449245185428e-17j)
(np.int64(2), np.int64(3), np.int64(7), np.int64(6)): (0.055667039922641944-1.363449245185428e-17j)
(np.int64(2), np.int64(3), np.int64(8), np.int64(5)): (0.04330127018922194-1.0605752387249071e-17j)
(np.int64(2), np.int64(4), np.int64(1), np.int64(2)): (-0.03730517387797634+4.568566178129918e-18j)
(np.int64(2), np.int64(4), np.int64(2), np.int64(1)): (-0.03730517387797634+4.568566178129918e-18j)
(np.int64(2), np.int64(4), np.int64(4), np.int64(8)): (0.04617544076542322-1.130972114651875e-17j)
(np.int64(2), np.int64(4), np.int64(5), np.int64(7)): (0.06330222215594891-1.5504572748439498e-17j)
(np.int64(2), np.int64(4), np.int64(6), np.int64(6)): (0.06890331386585241-1.6876444555292316e-17j)
(np.int64(2), np.int64(4), np.int64(7), np.int64(5)): (0.06330222215594891-1.5504572748439498e-17j)
(np.int64(2), np.int64(4), np.int64(8), np.int64(4)): (0.04617544076542322-1.130972114651875e-17j)
(np.int64(2), np.int64(5), np.int64(1), np.int64(1)): (-0.0272120438742675+3.3325142428879037e-18j)
(np.int64(2), np.int64(5), np.int64(3), np.int64(8)): (0.04330127018922194-1.0605752387249073e-17j)
(np.int64(2), np.int64(5), np.int64(4), np.int64(7)): (0.06330222215594891-1.5504572748439498e-17j)
(np.int64(2), np.int64(5), np.int64(5), np.int64(6)): (0.0734768489249992-1.799663756948678e-17j)
(np.int64(2), np.int64(5), np.int64(6), np.int64(5)): (0.0734768489249992-1.799663756948678e-17j)
(np.int64(2), np.int64(5), np.int64(7), np.int64(4)): (0.06330222215594891-1.5504572748439498e-17j)
(np.int64(2), np.int64(5), np.int64(8), np.int64(3)): (0.04330127018922194-1.060575238724907e-17j)
(np.int64(2), np.int64(6), np.int64(2), np.int64(8)): (0.034983129273251284-8.568395457729053e-18j)
(np.int64(2), np.int64(6), np.int64(3), np.int64(7)): (0.05566703992264195-1.3634492451854279e-17j)
(np.int64(2), np.int64(6), np.int64(4), np.int64(6)): (0.0689033138658524-1.6876444555292316e-17j)
(np.int64(2), np.int64(6), np.int64(5), np.int64(5)): (0.0734768489249992-1.799663756948678e-17j)
(np.int64(2), np.int64(6), np.int64(6), np.int64(4)): (0.0689033138658524-1.6876444555292316e-17j)
(np.int64(2), np.int64(6), np.int64(7), np.int64(3)): (0.05566703992264195-1.3634492451854279e-17j)
(np.int64(2), np.int64(6), np.int64(8), np.int64(2)): (0.0349831292732513-8.568395457729054e-18j)
(np.int64(2), np.int64(7), np.int64(1), np.int64(8)): (0.021984631039295426-5.384681606541738e-18j)
(np.int64(2), np.int64(7), np.int64(2), np.int64(7)): (0.04131759111665349-1.0119891141897763e-17j)
(np.int64(2), np.int64(7), np.int64(3), np.int64(6)): (0.055667039922641944-1.3634492451854277e-17j)
(np.int64(2), np.int64(7), np.int64(4), np.int64(5)): (0.06330222215594891-1.5504572748439498e-17j)
(np.int64(2), np.int64(7), np.int64(5), np.int64(4)): (0.06330222215594891-1.5504572748439498e-17j)
(np.int64(2), np.int64(7), np.int64(6), np.int64(3)): (0.05566703992264195-1.3634492451854279e-17j)
(np.int64(2), np.int64(7), np.int64(7), np.int64(2)): (0.04131759111665349-1.0119891141897763e-17j)
(np.int64(2), np.int64(7), np.int64(8), np.int64(1)): (0.021984631039295426-5.3846816065417374e-18j)
(np.int64(2), np.int64(8), np.int64(1), np.int64(7)): (0.02198463103929543-5.3846816065417374e-18j)
(np.int64(2), np.int64(8), np.int64(2), np.int64(6)): (0.03498312927325129-8.568395457729053e-18j)
(np.int64(2), np.int64(8), np.int64(3), np.int64(5)): (0.04330127018922194-1.060575238724907e-17j)
(np.int64(2), np.int64(8), np.int64(4), np.int64(4)): (0.046175440765423216-1.1309721146518749e-17j)
(np.int64(2), np.int64(8), np.int64(5), np.int64(3)): (0.04330127018922194-1.060575238724907e-17j)
(np.int64(2), np.int64(8), np.int64(6), np.int64(2)): (0.03498312927325129-8.568395457729054e-18j)
(np.int64(2), np.int64(8), np.int64(7), np.int64(1)): (0.021984631039295426-5.3846816065417374e-18j)
(np.int64(3), np.int64(1), np.int64(1), np.int64(4)): (-0.03158586173743195+3.868152447505689e-18j)
(np.int64(3), np.int64(1), np.int64(2), np.int64(3)): (-0.0406060011321868+4.972800931270638e-18j)
(np.int64(3), np.int64(1), np.int64(3), np.int64(2)): (-0.040606001132186806+4.972800931270638e-18j)
(np.int64(3), np.int64(1), np.int64(4), np.int64(1)): (-0.03158586173743195+3.8681524475056894e-18j)
(np.int64(3), np.int64(1), np.int64(6), np.int64(8)): (0.029619813272602394-7.254761903126962e-18j)
(np.int64(3), np.int64(1), np.int64(7), np.int64(7)): (0.0349831292732513-8.568395457729056e-18j)
(np.int64(3), np.int64(1), np.int64(8), np.int64(6)): (0.02961981327260239-7.254761903126962e-18j)
(np.int64(3), np.int64(2), np.int64(1), np.int64(3)): (-0.040606001132186806+4.9728009312706374e-18j)
(np.int64(3), np.int64(2), np.int64(2), np.int64(2)): (-0.047958607091930276+5.8732354666697956e-18j)
(np.int64(3), np.int64(2), np.int64(3), np.int64(1)): (-0.040606001132186806+4.972800931270637e-18j)
(np.int64(3), np.int64(2), np.int64(5), np.int64(8)): (0.043301270189221946-1.0605752387249073e-17j)
(np.int64(3), np.int64(2), np.int64(6), np.int64(7)): (0.05566703992264195-1.3634492451854279e-17j)
(np.int64(3), np.int64(2), np.int64(7), np.int64(6)): (0.055667039922641944-1.3634492451854277e-17j)
(np.int64(3), np.int64(2), np.int64(8), np.int64(5)): (0.043301270189221946-1.0605752387249073e-17j)
(np.int64(3), np.int64(3), np.int64(1), np.int64(2)): (-0.040606001132186806+4.9728009312706374e-18j)
(np.int64(3), np.int64(3), np.int64(2), np.int64(1)): (-0.040606001132186806+4.972800931270638e-18j)
