Shape: (9, 9, 9, 9, 9)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(8)): (5.620684699075496e-18+0.043807434791187594j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(7)): (2.6158727560135105e-18+0.020684607513540437j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(4), np.int64(6)): (1.9432891716420054e-18+0.015611894625840823j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(5), np.int64(5)): (1.789595200980665e-18+0.014462223372926832j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(6), np.int64(4)): (1.9432891716420054e-18+0.015611894625840818j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(7), np.int64(3)): (2.615872756013511e-18+0.020684607513540437j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(8), np.int64(2)): (5.620684699075498e-18+0.043807434791187594j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(8)): (5.620684699075498e-18+0.043807434791187594j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(2), np.int64(7)): (1.0700001180927086e-17+0.07278676174010956j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(3), np.int64(6)): (6.768171968944705e-18+0.04716645018667111j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(4), np.int64(5)): (5.8111636865586126e-18+0.04102726070036731j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(5), np.int64(4)): (5.8111636865586126e-18+0.04102726070036731j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(6), np.int64(3)): (6.768171968944705e-18+0.04716645018667111j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(7), np.int64(2)): (1.0700001180927086e-17+0.07278676174010955j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(8), np.int64(1)): (5.620684699075498e-18+0.043807434791187594j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(7)): (2.615872756013511e-18+0.020684607513540437j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(2), np.int64(6)): (6.768171968944705e-18+0.047166450186671115j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(5)): (4.7005473962518e-18+0.03376274829537554j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(4), np.int64(4)): (4.32306616370261e-18+0.03135951381592522j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(5), np.int64(3)): (4.7005473962518e-18+0.03376274829537554j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(6), np.int64(2)): (6.768171968944705e-18+0.04716645018667111j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(7), np.int64(1)): (2.615872756013511e-18+0.020684607513540437j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(1), np.int64(6)): (1.9432891716420054e-18+0.015611894625840823j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(2), np.int64(5)): (5.811163686558611e-18+0.041027260700367295j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(3), np.int64(4)): (4.323066163702612e-18+0.03135951381592522j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(4), np.int64(3)): (4.323066163702612e-18+0.03135951381592523j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(5), np.int64(2)): (5.811163686558611e-18+0.041027260700367295j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(6), np.int64(1)): (1.943289171642005e-18+0.015611894625840818j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(8), np.int64(8)): (-4.551312901047862e-18-0.01756940196377221j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(1), np.int64(5)): (1.789595200980665e-18+0.014462223372926832j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(2), np.int64(4)): (5.811163686558611e-18+0.041027260700367295j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(3), np.int64(3)): (4.700547396251799e-18+0.03376274829537553j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(4), np.int64(2)): (5.811163686558611e-18+0.041027260700367295j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(5), np.int64(1)): (1.789595200980665e-18+0.01446222337292683j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(7), np.int64(8)): (-2.5329369047381403e-18-0.009659397207946823j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(8), np.int64(7)): (-2.5329369047381415e-18-0.009659397207946827j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(1), np.int64(4)): (1.9432891716420054e-18+0.015611894625840818j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(2), np.int64(3)): (6.768171968944705e-18+0.0471664501866711j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(3), np.int64(2)): (6.768171968944705e-18+0.04716645018667111j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(4), np.int64(1)): (1.9432891716420054e-18+0.015611894625840818j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(6), np.int64(8)): (-6.212618490308251e-18-0.027877130504483837j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(7), np.int64(7)): (-7.165181514116785e-18-0.03243440303694619j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(8), np.int64(6)): (-6.21261849030825e-18-0.027877130504483837j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(1), np.int64(3)): (2.615872756013511e-18+0.020684607513540437j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(2), np.int64(2)): (1.0700001180927086e-17+0.07278676174010955j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(3), np.int64(1)): (2.615872756013511e-18+0.020684607513540437j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(5), np.int64(8)): (-2.532936904738141e-18-0.009659397207946825j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(6), np.int64(7)): (-7.165181514116783e-18-0.03243440303694619j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(7), np.int64(6)): (-7.165181514116783e-18-0.03243440303694619j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(8), np.int64(5)): (-2.5329369047381403e-18-0.009659397207946825j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(1), np.int64(2)): (5.620684699075498e-18+0.043807434791187594j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(2), np.int64(1)): (5.620684699075498e-18+0.043807434791187594j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(4), np.int64(8)): (-4.551312901047862e-18-0.017569401963772224j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(5), np.int64(7)): (-2.532936904738141e-18-0.009659397207946823j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(6), np.int64(6)): (-6.2126184903082504e-18-0.02787713050448384j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(7), np.int64(5)): (-2.532936904738141e-18-0.009659397207946827j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(8), np.int64(4)): (-4.5513129010478615e-18-0.017569401963772227j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(1)): (-8.335135661767242e-17-0.36182179066926146j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(3), np.int64(8)): (-7.698327061015734e-18+0.007266112997508426j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(4), np.int64(7)): (-5.3535429923361884e-18+0.010856968336720316j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(5), np.int64(6)): (-4.76283076065039e-18+0.011692077201080429j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(6), np.int64(5)): (-4.76283076065039e-18+0.011692077201080434j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(7), np.int64(4)): (-5.3535429923361884e-18+0.010856968336720316j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(8), np.int64(3)): (-7.698327061015734e-18+0.007266112997508419j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(2), np.int64(8)): (1.6634516398979764e-18+0.010587007021672139j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(3), np.int64(7)): (3.067848902777043e-18+0.02336713759277228j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(4), np.int64(6)): (2.2679394356074865e-18+0.01787570005026133j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(5), np.int64(5)): (2.1179433726112174e-18+0.01687700848828395j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(6), np.int64(4)): (2.267939435607486e-18+0.01787570005026133j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(7), np.int64(3)): (3.067848902777043e-18+0.02336713759277228j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(8), np.int64(2)): (1.663451639897976e-18+0.010587007021672135j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(1), np.int64(8)): (-7.698327061015737e-18+0.0072661129975084065j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(2), np.int64(7)): (3.067848902777043e-18+0.02336713759277228j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(3), np.int64(6)): (7.09861046085491e-18+0.03388690266381173j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)): (5.3268741984522466e-18+0.028222128160418254j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(4)): (5.3268741984522466e-18+0.028222128160418258j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(6), np.int64(3)): (7.09861046085491e-18+0.03388690266381173j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(7), np.int64(2)): (3.067848902777043e-18+0.02336713759277228j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(8), np.int64(1)): (-7.698327061015737e-18+0.0072661129975084065j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(1), np.int64(7)): (-5.353542992336186e-18+0.010856968336720322j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(2), np.int64(6)): (2.267939435607486e-18+0.01787570005026133j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(3), np.int64(5)): (5.326874198452247e-18+0.028222128160418258j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(4), np.int64(4)): (4.46121939140203e-18+0.02548076665617312j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(3)): (5.326874198452248e-18+0.028222128160418258j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(6), np.int64(2)): (2.267939435607486e-18+0.01787570005026133j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(7), np.int64(1)): (-5.353542992336185e-18+0.010856968336720322j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(1), np.int64(6)): (-4.76283076065039e-18+0.011692077201080429j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(2), np.int64(5)): (2.1179433726112166e-18+0.016877008488283947j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(3), np.int64(4)): (5.3268741984522466e-18+0.02822212816041826j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(4), np.int64(3)): (5.326874198452247e-18+0.028222128160418258j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(5), np.int64(2)): (2.117943372611217e-18+0.01687700848828395j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(6), np.int64(1)): (-4.762830760650391e-18+0.011692077201080429j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(8), np.int64(8)): (1.0219033827529272e-17+0.04980239986937592j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(1), np.int64(5)): (-4.76283076065039e-18+0.011692077201080434j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(2), np.int64(4)): (2.267939435607486e-18+0.01787570005026133j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(3), np.int64(3)): (7.098610460854909e-18+0.033886902663811724j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(4), np.int64(2)): (2.267939435607486e-18+0.01787570005026133j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(5), np.int64(1)): (-4.76283076065039e-18+0.01169207720108043j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)): (-1.9069821245653565e-18-0.00891636438521477j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(8), np.int64(7)): (-1.906982124565354e-18-0.008916364385214781j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(1), np.int64(4)): (-5.3535429923361846e-18+0.010856968336720318j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(2), np.int64(3)): (3.067848902777043e-18+0.02336713759277228j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(3), np.int64(2)): (3.067848902777043e-18+0.02336713759277228j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(4), np.int64(1)): (-5.3535429923361846e-18+0.010856968336720322j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(6), np.int64(8)): (-1.906982124565356e-18-0.008916364385214771j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(7), np.int64(7)): (-6.6994054860541914e-18-0.03124181410051499j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(8), np.int64(6)): (-1.9069821245653542e-18-0.008916364385214771j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(1), np.int64(3)): (-7.698327061015734e-18+0.007266112997508419j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(2), np.int64(2)): (1.663451639897976e-18+0.010587007021672137j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(3), np.int64(1)): (-7.698327061015737e-18+0.0072661129975084005j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(5), np.int64(8)): (1.0219033827529272e-17+0.04980239986937592j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(6), np.int64(7)): (-1.9069821245653557e-18-0.008916364385214783j)
