Shape: (9, 9, 9, 9)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(6)): (0.02200919429712359-2.6953489347784585e-18j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(5)): (0.016525833716601834-2.023830936427784e-18j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(4)): (0.014913765450793507-1.8264095122548653e-18j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(3)): (0.014913765450793507-1.8264095122548653e-18j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(2)): (0.016525833716601834-2.0238309364277845e-18j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(1)): (0.0220091942971236-2.6953489347784585e-18j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(8)): (-0.01772204479593237+4.340649086736918e-18j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(5)): (0.016525833716601834-2.023830936427784e-18j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(4)): (0.013715182578098803-1.6796254443990244e-18j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(3)): (0.013133082563643273-1.6083387524503652e-18j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(2)): (0.013715182578098803-1.6796254443990244e-18j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(1)): (0.016525833716601834-2.0238309364277845e-18j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(8)): (-0.013832911704404195+3.388086208337311e-18j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(7)): (-0.013832911704404198+3.3880862083373115e-18j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(4)): (0.014913765450793509-1.8264095122548653e-18j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(3)): (0.013133082563643273-1.6083387524503652e-18j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(2)): (0.013133082563643273-1.6083387524503652e-18j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(1)): (0.014913765450793509-1.8264095122548653e-18j)
(np.int64(1), np.int64(3), np.int64(6), np.int64(8)): (-0.01219839997272722+2.9877462962639096e-18j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(7)): (-0.011482229065398383+2.8123350144033667e-18j)
(np.int64(1), np.int64(3), np.int64(8), np.int64(6)): (-0.012198399972727219+2.9877462962639096e-18j)
(np.int64(1), np.int64(4), np.int64(1), np.int64(3)): (0.014913765450793507-1.8264095122548653e-18j)
(np.int64(1), np.int64(4), np.int64(2), np.int64(2)): (0.013715182578098803-1.6796254443990244e-18j)
(np.int64(1), np.int64(4), np.int64(3), np.int64(1)): (0.014913765450793507-1.8264095122548653e-18j)
(np.int64(1), np.int64(4), np.int64(5), np.int64(8)): (-0.011552880875605218+2.8296397170481208e-18j)
(np.int64(1), np.int64(4), np.int64(6), np.int64(7)): (-0.010696811865950371+2.6199632825435104e-18j)
(np.int64(1), np.int64(4), np.int64(7), np.int64(6)): (-0.010696811865950371+2.6199632825435096e-18j)
(np.int64(1), np.int64(4), np.int64(8), np.int64(5)): (-0.011552880875605218+2.82963971704812e-18j)
(np.int64(1), np.int64(5), np.int64(1), np.int64(2)): (0.016525833716601834-2.0238309364277845e-18j)
(np.int64(1), np.int64(5), np.int64(2), np.int64(1)): (0.016525833716601834-2.0238309364277845e-18j)
(np.int64(1), np.int64(5), np.int64(4), np.int64(8)): (-0.011552880875605218+2.82963971704812e-18j)
(np.int64(1), np.int64(5), np.int64(5), np.int64(7)): (-0.010487729358423443+2.5687528378233994e-18j)
(np.int64(1), np.int64(5), np.int64(6), np.int64(6)): (-0.01029570101602214+2.521719458849933e-18j)
(np.int64(1), np.int64(5), np.int64(7), np.int64(5)): (-0.01048772935842344+2.5687528378233982e-18j)
(np.int64(1), np.int64(5), np.int64(8), np.int64(4)): (-0.011552880875605218+2.82963971704812e-18j)
(np.int64(1), np.int64(6), np.int64(1), np.int64(1)): (0.0220091942971236-2.695348934778458e-18j)
(np.int64(1), np.int64(6), np.int64(3), np.int64(8)): (-0.01219839997272722+2.9877462962639096e-18j)
(np.int64(1), np.int64(6), np.int64(4), np.int64(7)): (-0.010696811865950374+2.6199632825435104e-18j)
(np.int64(1), np.int64(6), np.int64(5), np.int64(6)): (-0.01029570101602214+2.521719458849933e-18j)
(np.int64(1), np.int64(6), np.int64(6), np.int64(5)): (-0.010295701016022138+2.521719458849933e-18j)
(np.int64(1), np.int64(6), np.int64(7), np.int64(4)): (-0.010696811865950374+2.6199632825435108e-18j)
(np.int64(1), np.int64(6), np.int64(8), np.int64(3)): (-0.012198399972727219+2.9877462962639096e-18j)
(np.int64(1), np.int64(7), np.int64(2), np.int64(8)): (-0.013832911704404196+3.388086208337311e-18j)
(np.int64(1), np.int64(7), np.int64(3), np.int64(7)): (-0.011482229065398383+2.8123350144033663e-18j)
(np.int64(1), np.int64(7), np.int64(4), np.int64(6)): (-0.010696811865950373+2.6199632825435104e-18j)
(np.int64(1), np.int64(7), np.int64(5), np.int64(5)): (-0.01048772935842344+2.5687528378233982e-18j)
(np.int64(1), np.int64(7), np.int64(6), np.int64(4)): (-0.010696811865950373+2.6199632825435096e-18j)
(np.int64(1), np.int64(7), np.int64(7), np.int64(3)): (-0.011482229065398383+2.8123350144033663e-18j)
(np.int64(1), np.int64(7), np.int64(8), np.int64(2)): (-0.013832911704404196+3.3880862083373107e-18j)
(np.int64(1), np.int64(8), np.int64(1), np.int64(8)): (-0.01772204479593237+4.340649086736918e-18j)
(np.int64(1), np.int64(8), np.int64(2), np.int64(7)): (-0.013832911704404198+3.3880862083373123e-18j)
(np.int64(1), np.int64(8), np.int64(3), np.int64(6)): (-0.012198399972727219+2.9877462962639096e-18j)
(np.int64(1), np.int64(8), np.int64(4), np.int64(5)): (-0.01155288087560522+2.8296397170481208e-18j)
(np.int64(1), np.int64(8), np.int64(5), np.int64(4)): (-0.01155288087560522+2.8296397170481208e-18j)
