Shape: (9, 9, 9)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(7)): (3.16367384318818e-18+0.02583335738427482j)
(np.int64(1), np.int64(2), np.int64(6)): (3.6089303471686765e-18+0.02946915265431106j)
(np.int64(1), np.int64(3), np.int64(5)): (3.770319668415844e-18+0.030786996471479675j)
(np.int64(1), np.int64(4), np.int64(4)): (3.8139832606178336e-18+0.031143536759115173j)
(np.int64(1), np.int64(5), np.int64(3)): (3.770319668415843e-18+0.03078699647147967j)
(np.int64(1), np.int64(6), np.int64(2)): (3.6089303471686765e-18+0.02946915265431106j)
(np.int64(1), np.int64(7), np.int64(1)): (3.16367384318818e-18+0.02583335738427482j)
(np.int64(2), np.int64(1), np.int64(6)): (3.6089303471686765e-18+0.02946915265431106j)
(np.int64(2), np.int64(2), np.int64(5)): (4.30095570666054e-18+0.035119968546482395j)
(np.int64(2), np.int64(3), np.int64(4)): (4.545328252935481e-18+0.03711542181876534j)
(np.int64(2), np.int64(4), np.int64(3)): (4.545328252935481e-18+0.03711542181876534j)
(np.int64(2), np.int64(5), np.int64(2)): (4.300955706660539e-18+0.035119968546482395j)
(np.int64(2), np.int64(6), np.int64(1)): (3.6089303471686765e-18+0.029469152654311055j)
(np.int64(2), np.int64(8), np.int64(8)): (-6.327347686376359e-18-0.025833357384274818j)
(np.int64(3), np.int64(1), np.int64(5)): (3.770319668415845e-18+0.030786996471479675j)
(np.int64(3), np.int64(2), np.int64(4)): (4.5453282529354805e-18+0.037115421818765336j)
(np.int64(3), np.int64(3), np.int64(3)): (4.748592758209833e-18+0.03877520246258748j)
(np.int64(3), np.int64(4), np.int64(2)): (4.545328252935481e-18+0.037115421818765336j)
(np.int64(3), np.int64(5), np.int64(1)): (3.770319668415843e-18+0.03078699647147966j)
(np.int64(3), np.int64(7), np.int64(8)): (-7.217860694337355e-18-0.029469152654311066j)
(np.int64(3), np.int64(8), np.int64(7)): (-7.217860694337355e-18-0.029469152654311062j)
(np.int64(4), np.int64(1), np.int64(4)): (3.8139832606178336e-18+0.031143536759115173j)
(np.int64(4), np.int64(2), np.int64(3)): (4.545328252935481e-18+0.037115421818765336j)
(np.int64(4), np.int64(3), np.int64(2)): (4.545328252935481e-18+0.037115421818765336j)
(np.int64(4), np.int64(4), np.int64(1)): (3.813983260617833e-18+0.031143536759115173j)
(np.int64(4), np.int64(6), np.int64(8)): (-7.540639336831691e-18-0.03078699647147968j)
(np.int64(4), np.int64(7), np.int64(7)): (-8.601911413321078e-18-0.035119968546482395j)
(np.int64(4), np.int64(8), np.int64(6)): (-7.540639336831691e-18-0.03078699647147968j)
(np.int64(5), np.int64(1), np.int64(3)): (3.770319668415844e-18+0.03078699647147967j)
(np.int64(5), np.int64(2), np.int64(2)): (4.300955706660539e-18+0.035119968546482395j)
(np.int64(5), np.int64(3), np.int64(1)): (3.770319668415843e-18+0.03078699647147966j)
(np.int64(5), np.int64(5), np.int64(8)): (-7.627966521235667e-18-0.03114353675911517j)
(np.int64(5), np.int64(6), np.int64(7)): (-9.090656505870963e-18-0.03711542181876534j)
(np.int64(5), np.int64(7), np.int64(6)): (-9.090656505870961e-18-0.03711542181876535j)
(np.int64(5), np.int64(8), np.int64(5)): (-7.627966521235667e-18-0.03114353675911517j)
(np.int64(6), np.int64(1), np.int64(2)): (3.6089303471686765e-18+0.029469152654311062j)
(np.int64(6), np.int64(2), np.int64(1)): (3.608930347168676e-18+0.02946915265431106j)
(np.int64(6), np.int64(4), np.int64(8)): (-7.54063933683169e-18-0.03078699647147968j)
(np.int64(6), np.int64(5), np.int64(7)): (-9.090656505870963e-18-0.03711542181876534j)
(np.int64(6), np.int64(6), np.int64(6)): (-9.497185516419667e-18-0.038775202462587484j)
(np.int64(6), np.int64(7), np.int64(5)): (-9.090656505870961e-18-0.03711542181876534j)
(np.int64(6), np.int64(8), np.int64(4)): (-7.54063933683169e-18-0.03078699647147968j)
(np.int64(7), np.int64(1), np.int64(1)): (3.1636738431881796e-18+0.025833357384274815j)
(np.int64(7), np.int64(3), np.int64(8)): (-7.217860694337355e-18-0.029469152654311066j)
(np.int64(7), np.int64(4), np.int64(7)): (-8.60191141332108e-18-0.03511996854648241j)
(np.int64(7), np.int64(5), np.int64(6)): (-9.090656505870961e-18-0.03711542181876534j)
(np.int64(7), np.int64(6), np.int64(5)): (-9.090656505870961e-18-0.03711542181876534j)
(np.int64(7), np.int64(7), np.int64(4)): (-8.601911413321081e-18-0.03511996854648241j)
(np.int64(7), np.int64(8), np.int64(3)): (-7.217860694337355e-18-0.029469152654311066j)
(np.int64(8), np.int64(2), np.int64(8)): (-6.327347686376359e-18-0.025833357384274818j)
(np.int64(8), np.int64(3), np.int64(7)): (-7.217860694337355e-18-0.029469152654311066j)
(np.int64(8), np.int64(4), np.int64(6)): (-7.540639336831691e-18-0.03078699647147968j)
(np.int64(8), np.int64(5), np.int64(5)): (-7.627966521235669e-18-0.031143536759115173j)
(np.int64(8), np.int64(6), np.int64(4)): (-7.540639336831691e-18-0.03078699647147968j)
(np.int64(8), np.int64(7), np.int64(3)): (-7.217860694337355e-18-0.029469152654311066j)
(np.int64(8), np.int64(8), np.int64(2)): (-6.327347686376358e-18-0.025833357384274818j)
