Shape: (9, 9, 9, 9)
(np.int64(4), np.int64(8), np.int64(8), np.int64(4)): (0.058944215545856465+9.228762724527791e-18j)
(np.int64(5), np.int64(1), np.int64(1), np.int64(5)): (0.058944215545856396+5.1561317783203354e-18j)
(np.int64(5), np.int64(1), np.int64(5), np.int64(1)): (0.05894421554585637+5.1561317783203354e-18j)
(np.int64(5), np.int64(2), np.int64(2), np.int64(5)): (0.11077888877291062+9.690357967774685e-18j)
(np.int64(5), np.int64(2), np.int64(5), np.int64(2)): (0.11077888877291056+9.690357967774685e-18j)
(np.int64(5), np.int64(3), np.int64(3), np.int64(5)): (0.14925199309167758+1.3055783971863272e-17j)
(np.int64(5), np.int64(3), np.int64(5), np.int64(3)): (0.14925199309167758+1.3055783971863272e-17j)
(np.int64(5), np.int64(4), np.int64(4), np.int64(5)): (0.169723104318767+1.4846489746095014e-17j)
(np.int64(5), np.int64(4), np.int64(5), np.int64(4)): (0.169723104318767+1.4846489746095014e-17j)
(np.int64(5), np.int64(5), np.int64(5), np.int64(5)): (0.29472310431876697+1.2734353322290348e-18j)
(np.int64(5), np.int64(6), np.int64(5), np.int64(6)): (0.14925199309167764+1.9786635980040426e-17j)
(np.int64(5), np.int64(6), np.int64(6), np.int64(5)): (0.14925199309167764+1.9786635980040426e-17j)
(np.int64(5), np.int64(7), np.int64(5), np.int64(7)): (0.11077888877291071+1.6421209975951836e-17j)
(np.int64(5), np.int64(7), np.int64(7), np.int64(5)): (0.11077888877291074+1.6421209975951836e-17j)
(np.int64(5), np.int64(8), np.int64(5), np.int64(8)): (0.058944215545856465+9.54938341576597e-18j)
(np.int64(5), np.int64(8), np.int64(8), np.int64(5)): (0.05894421554585649+9.54938341576597e-18j)
(np.int64(6), np.int64(1), np.int64(1), np.int64(6)): (0.05183467322705419+4.53422618945435e-18j)
(np.int64(6), np.int64(1), np.int64(6), np.int64(1)): (0.05183467322705419+4.534226189454351e-18j)
(np.int64(6), np.int64(2), np.int64(2), np.int64(6)): (0.09741731986462339+8.521557782408922e-18j)
(np.int64(6), np.int64(2), np.int64(6), np.int64(2)): (0.09741731986462339+8.521557782408922e-18j)
(np.int64(6), np.int64(3), np.int64(3), np.int64(6)): (0.13125000000000006+1.1481063742006434e-17j)
(np.int64(6), np.int64(3), np.int64(6), np.int64(3)): (0.13125000000000006+1.1481063742006434e-17j)
(np.int64(6), np.int64(4), np.int64(4), np.int64(6)): (0.14925199309167753+1.712841491807073e-17j)
(np.int64(6), np.int64(4), np.int64(6), np.int64(4)): (0.14925199309167753+1.7128414918070727e-17j)
(np.int64(6), np.int64(5), np.int64(5), np.int64(6)): (0.14925199309167764+1.9786635980040426e-17j)
(np.int64(6), np.int64(5), np.int64(6), np.int64(5)): (0.14925199309167764+1.9786635980040426e-17j)
(np.int64(6), np.int64(6), np.int64(6), np.int64(6)): (0.25625000000000003-3.827021247335475e-18j)
(np.int64(6), np.int64(7), np.int64(6), np.int64(7)): (0.0974173198646236+1.5252409790586062e-17j)
(np.int64(6), np.int64(7), np.int64(7), np.int64(6)): (0.09741731986462357+1.5252409790586062e-17j)
