Shape: (9, 9, 9, 9, 9)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(2)): (-5.9946313035216525e-15-181.11759164086163j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(1)): (-5.994631303521653e-15-181.11759164086163j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(4), np.int64(8)): (-1.279583206146301e-16-1.5842032562062744j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(5), np.int64(7)): (-9.740163626916559e-17-1.2075892715566439j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(6), np.int64(6)): (-9.518297861266252e-17-1.1591859336129615j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(7), np.int64(5)): (-9.740163626916559e-17-1.2075892715566443j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(8), np.int64(4)): (-1.279583206146301e-16-1.5842032562062744j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(3)): (1.58686443996194e-15+11.694448224628374j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(2), np.int64(2)): (-1.028357978730486e-15-17.90954453154347j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(3), np.int64(1)): (1.58686443996194e-15+11.694448224628374j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(5), np.int64(8)): (5.381288967185839e-15+27.944460423141606j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(6), np.int64(7)): (3.8702808293129055e-17-1.258262753851799j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(7), np.int64(6)): (3.870280829312892e-17-1.258262753851799j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(8), np.int64(5)): (5.381288967185839e-15+27.944460423141614j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(4)): (6.956794604538949e-16+3.9225305668663815j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(2), np.int64(3)): (4.589418216506298e-15+44.56281704056257j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(2)): (4.589418216506298e-15+44.56281704056257j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(4), np.int64(1)): (6.956794604538949e-16+3.9225305668663815j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(6), np.int64(8)): (-1.0853815353311133e-15-5.440856906894602j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(7), np.int64(7)): (-2.394057993972053e-15-12.511379360021957j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(8), np.int64(6)): (-1.0853815353311133e-15-5.440856906894603j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(1), np.int64(5)): (4.321993322822362e-16+2.1953832097179564j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(2), np.int64(4)): (4.3997603284263135e-15+27.493467105305758j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(3), np.int64(3)): (-5.8340095463909665e-15-34.277359708944346j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(4), np.int64(2)): (4.399760328426316e-15+27.493467105305758j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(5), np.int64(1)): (4.321993322822362e-16+2.1953832097179564j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(7), np.int64(8)): (3.952303895542532e-16+1.9094773475337652j)
