Shape: (9, 9, 9, 9)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(6)): (-0.009307067146061354+1.1397869989873532e-18j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(5)): (-0.013606021937133752+1.6662571214439517e-18j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(4)): (-0.01579293086871597+1.9340762237528447e-18j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(3)): (-0.01579293086871597+1.9340762237528447e-18j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(2)): (-0.013606021937133752+1.6662571214439517e-18j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(1)): (-0.009307067146061356+1.1397869989873532e-18j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(8)): (0.005848888922025551-1.432564619385401e-18j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(5)): (-0.013606021937133754+1.6662571214439517e-18j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(4)): (-0.01865258693898817+2.284283089064959e-18j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(3)): (-0.020303000566093403+2.4864004656353187e-18j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(2)): (-0.01865258693898817+2.284283089064959e-18j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(1)): (-0.013606021937133752+1.6662571214439517e-18j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(8)): (0.010992315519647711-2.692340803270869e-18j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(7)): (0.010992315519647713-2.6923408032708687e-18j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(4)): (-0.015792930868715974+1.9340762237528443e-18j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(3)): (-0.0203030005660934+2.4864004656353187e-18j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(2)): (-0.020303000566093403+2.4864004656353187e-18j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(1)): (-0.015792930868715974+1.9340762237528447e-18j)
(np.int64(1), np.int64(3), np.int64(6), np.int64(8)): (0.014809906636301197-3.627380951563481e-18j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(7)): (0.01749156463662565-4.284197728864528e-18j)
(np.int64(1), np.int64(3), np.int64(8), np.int64(6)): (0.014809906636301195-3.627380951563481e-18j)
(np.int64(1), np.int64(4), np.int64(1), np.int64(3)): (-0.01579293086871597+1.9340762237528443e-18j)
(np.int64(1), np.int64(4), np.int64(2), np.int64(2)): (-0.01865258693898817+2.284283089064959e-18j)
(np.int64(1), np.int64(4), np.int64(3), np.int64(1)): (-0.01579293086871597+1.9340762237528443e-18j)
(np.int64(1), np.int64(4), np.int64(5), np.int64(8)): (0.01684120444167326-4.1249054226562696e-18j)
(np.int64(1), np.int64(4), np.int64(6), np.int64(7)): (0.021650635094610966-5.3028761936245355e-18j)
(np.int64(1), np.int64(4), np.int64(7), np.int64(6)): (0.021650635094610966-5.302876193624535e-18j)
(np.int64(1), np.int64(4), np.int64(8), np.int64(5)): (0.01684120444167326-4.1249054226562696e-18j)
(np.int64(1), np.int64(5), np.int64(1), np.int64(2)): (-0.013606021937133752+1.6662571214439517e-18j)
(np.int64(1), np.int64(5), np.int64(2), np.int64(1)): (-0.013606021937133752+1.6662571214439517e-18j)
(np.int64(1), np.int64(5), np.int64(4), np.int64(8)): (0.01684120444167326-4.1249054226562696e-18j)
(np.int64(1), np.int64(5), np.int64(5), np.int64(7)): (0.02308772038271161-5.654860573259377e-18j)
(np.int64(1), np.int64(5), np.int64(6), np.int64(6)): (0.025130562400446737-6.155212560895984e-18j)
(np.int64(1), np.int64(5), np.int64(7), np.int64(5)): (0.0230877203827116-5.654860573259374e-18j)
(np.int64(1), np.int64(5), np.int64(8), np.int64(4)): (0.01684120444167326-4.1249054226562696e-18j)
(np.int64(1), np.int64(6), np.int64(1), np.int64(1)): (-0.009307067146061356+1.1397869989873532e-18j)
(np.int64(1), np.int64(6), np.int64(3), np.int64(8)): (0.014809906636301197-3.627380951563481e-18j)
(np.int64(1), np.int64(6), np.int64(4), np.int64(7)): (0.02165063509461097-5.3028761936245355e-18j)
(np.int64(1), np.int64(6), np.int64(5), np.int64(6)): (0.025130562400446737-6.155212560895984e-18j)
(np.int64(1), np.int64(6), np.int64(6), np.int64(5)): (0.025130562400446733-6.155212560895984e-18j)
(np.int64(1), np.int64(6), np.int64(7), np.int64(4)): (0.021650635094610973-5.302876193624536e-18j)
(np.int64(1), np.int64(6), np.int64(8), np.int64(3)): (0.014809906636301197-3.627380951563481e-18j)
(np.int64(1), np.int64(7), np.int64(2), np.int64(8)): (0.010992315519647713-2.692340803270869e-18j)
(np.int64(1), np.int64(7), np.int64(3), np.int64(7)): (0.01749156463662565-4.284197728864527e-18j)
(np.int64(1), np.int64(7), np.int64(4), np.int64(6)): (0.021650635094610966-5.302876193624535e-18j)
(np.int64(1), np.int64(7), np.int64(5), np.int64(5)): (0.0230877203827116-5.6548605732593736e-18j)
(np.int64(1), np.int64(7), np.int64(6), np.int64(4)): (0.021650635094610966-5.302876193624534e-18j)
(np.int64(1), np.int64(7), np.int64(7), np.int64(3)): (0.01749156463662565-4.284197728864527e-18j)
(np.int64(1), np.int64(7), np.int64(8), np.int64(2)): (0.010992315519647713-2.6923408032708687e-18j)
(np.int64(1), np.int64(8), np.int64(1), np.int64(8)): (0.0058488889220255505-1.432564619385401e-18j)
(np.int64(1), np.int64(8), np.int64(2), np.int64(7)): (0.010992315519647713-2.6923408032708695e-18j)
(np.int64(1), np.int64(8), np.int64(3), np.int64(6)): (0.014809906636301195-3.62738095156348e-18j)
(np.int64(1), np.int64(8), np.int64(4), np.int64(5)): (0.01684120444167326-4.1249054226562696e-18j)
(np.int64(1), np.int64(8), np.int64(5), np.int64(4)): (0.01684120444167326-4.1249054226562696e-18j)
(np.int64(1), np.int64(8), np.int64(6), np.int64(3)): (0.014809906636301197-3.627380951563481e-18j)
(np.int64(1), np.int64(8), np.int64(7), np.int64(2)): (0.010992315519647711-2.6923408032708687e-18j)
(np.int64(1), np.int64(8), np.int64(8), np.int64(1)): (0.005848888922025551-1.4325646193854013e-18j)
(np.int64(2), np.int64(1), np.int64(1), np.int64(5)): (-0.01360602193713375+1.6662571214439519e-18j)
(np.int64(2), np.int64(1), np.int64(2), np.int64(4)): (-0.01865258693898817+2.284283089064959e-18j)
(np.int64(2), np.int64(1), np.int64(3), np.int64(3)): (-0.020303000566093403+2.4864004656353187e-18j)
(np.int64(2), np.int64(1), np.int64(4), np.int64(2)): (-0.01865258693898817+2.284283089064959e-18j)
(np.int64(2), np.int64(1), np.int64(5), np.int64(1)): (-0.01360602193713375+1.6662571214439519e-18j)
(np.int64(2), np.int64(1), np.int64(7), np.int64(8)): (0.010992315519647713-2.6923408032708683e-18j)
(np.int64(2), np.int64(1), np.int64(8), np.int64(7)): (0.010992315519647713-2.6923408032708687e-18j)
(np.int64(2), np.int64(2), np.int64(1), np.int64(4)): (-0.01865258693898817+2.284283089064959e-18j)
(np.int64(2), np.int64(2), np.int64(2), np.int64(3)): (-0.02397930354596514+2.9366177333348978e-18j)
