Shape: (8, 8, 8, 8)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(7)): (0.014644660940672627-1.7934537145593e-18j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(6)): (0.027059805007309853-3.3138703587753527e-18j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(5)): (0.035355339059327376-4.329780281177466e-18j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(4)): (0.03826834323650898-4.6865204053262995e-18j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(3)): (0.035355339059327376-4.329780281177466e-18j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(2)): (0.02705980500730985-3.3138703587753527e-18j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(1)): (0.014644660940672629-1.7934537145593002e-18j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(6)): (0.027059805007309853-3.313870358775354e-18j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(5)): (0.04204482076268573-5.1490055167747255e-18j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(4)): (0.05000000000000001-6.123233995736767e-18j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(3)): (0.05000000000000001-6.123233995736767e-18j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(2)): (0.042044820762685724-5.1490055167747255e-18j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(1)): (0.027059805007309853-3.313870358775354e-18j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(5)): (0.03535533905932738-4.329780281177466e-18j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(4)): (0.05-6.123233995736766e-18j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(3)): (0.05493420567339049-6.727499914162004e-18j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(2)): (0.05-6.123233995736766e-18j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(1)): (0.03535533905932738-4.329780281177466e-18j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(7)): (-0.022754493028111375+5.573243410619472e-18j)
(np.int64(1), np.int64(4), np.int64(1), np.int64(4)): (0.03826834323650898-4.6865204053262995e-18j)
(np.int64(1), np.int64(4), np.int64(2), np.int64(3)): (0.05000000000000001-6.123233995736767e-18j)
(np.int64(1), np.int64(4), np.int64(3), np.int64(2)): (0.05-6.123233995736766e-18j)
(np.int64(1), np.int64(4), np.int64(4), np.int64(1)): (0.03826834323650898-4.6865204053262995e-18j)
(np.int64(1), np.int64(4), np.int64(6), np.int64(7)): (-0.03217971264527914+7.881756417704542e-18j)
(np.int64(1), np.int64(4), np.int64(7), np.int64(6)): (-0.03217971264527914+7.881756417704542e-18j)
(np.int64(1), np.int64(5), np.int64(1), np.int64(3)): (0.03535533905932738-4.329780281177466e-18j)
(np.int64(1), np.int64(5), np.int64(2), np.int64(2)): (0.042044820762685724-5.149005516774725e-18j)
(np.int64(1), np.int64(5), np.int64(3), np.int64(1)): (0.03535533905932738-4.329780281177466e-18j)
(np.int64(1), np.int64(5), np.int64(5), np.int64(7)): (-0.035355339059327376+8.659560562354932e-18j)
(np.int64(1), np.int64(5), np.int64(6), np.int64(6)): (-0.04204482076268574+1.0298011033549454e-17j)
(np.int64(1), np.int64(5), np.int64(7), np.int64(5)): (-0.03535533905932738+8.659560562354932e-18j)
