Shape: (8, 8, 8, 8)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(1)): (-0.4759504390421407-1.8278061553747268e-19j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(7)): (0.015766807786007163-3.0609335007094527e-18j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(6)): (0.007263545222224929-1.6555676017005283e-18j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(5)): (0.0052436914024665895-1.3341224212271105e-18j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(4)): (0.007263545222224929-1.6555676017005268e-18j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(3)): (0.015766807786007163-3.0609335007094543e-18j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(2)): (0.33251454443370476+5.566496560774849e-19j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(1)): (0.3325145444337047+5.566496560774849e-19j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(7)): (-0.058972137584598294+3.8536808408795684e-18j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(6)): (-0.03953449507867489+2.6912946023771704e-18j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(5)): (-0.039534495078674875+2.6912946023771704e-18j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(4)): (-0.0589721375845983+3.8536808408795684e-18j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(3)): (0.08166018530477352+3.596667152798107e-19j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(2)): (0.11108048862095476+5.055055988365755e-17j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(1)): (0.08166018530477352+3.596667152798107e-19j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(7)): (0.03382475625913732-3.888015175127745e-18j)
(np.int64(1), np.int64(3), np.int64(6), np.int64(6)): (-0.31330341390454636+2.598601939187587e-17j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(5)): (0.03382475625913732-3.888015175127745e-18j)
(np.int64(1), np.int64(4), np.int64(1), np.int64(4)): (0.03125+3.153167011337123e-19j)
(np.int64(1), np.int64(4), np.int64(2), np.int64(3)): (0.07855461156373317+2.932749328799088e-17j)
(np.int64(1), np.int64(4), np.int64(3), np.int64(2)): (0.07855461156373311+2.932749328799088e-17j)
(np.int64(1), np.int64(4), np.int64(4), np.int64(1)): (0.03125+3.153167011337123e-19j)
(np.int64(1), np.int64(4), np.int64(6), np.int64(7)): (0.13329758227226834-1.2465991750276864e-17j)
(np.int64(1), np.int64(4), np.int64(7), np.int64(6)): (0.13329758227226834-1.2465991750276874e-17j)
(np.int64(1), np.int64(5), np.int64(1), np.int64(5)): (0.014010672786498904+3.336870784844649e-19j)
(np.int64(1), np.int64(5), np.int64(2), np.int64(4)): (0.03960635647284026+2.2464243055236142e-17j)
(np.int64(1), np.int64(5), np.int64(3), np.int64(3)): (0.03626100349536189+1.7688783372187717e-17j)
(np.int64(1), np.int64(5), np.int64(4), np.int64(2)): (0.039606356472840235+2.2464243055236145e-17j)
(np.int64(1), np.int64(5), np.int64(5), np.int64(1)): (0.014010672786498904+3.336870784844649e-19j)
(np.int64(1), np.int64(5), np.int64(7), np.int64(7)): (0.08934524412070684-9.396236943252562e-18j)
(np.int64(1), np.int64(6), np.int64(1), np.int64(6)): (0.005873803214612153+4.3120887308378307e-19j)
(np.int64(1), np.int64(6), np.int64(2), np.int64(5)): (-0.0006901457279239187+2.0791957800840737e-17j)
(np.int64(1), np.int64(6), np.int64(3), np.int64(4)): (0.006587620152724138+1.45887515587823e-17j)
(np.int64(1), np.int64(6), np.int64(4), np.int64(3)): (0.006587620152724138+1.45887515587823e-17j)
(np.int64(1), np.int64(6), np.int64(5), np.int64(2)): (-0.0006901457279239812+2.0791957800840737e-17j)
(np.int64(1), np.int64(6), np.int64(6), np.int64(1)): (0.005873803214612153+4.3120887308378307e-19j)
(np.int64(1), np.int64(7), np.int64(1), np.int64(7)): (4.336808689942018e-19+7.926020520681775e-19j)
(np.int64(1), np.int64(7), np.int64(2), np.int64(6)): (-0.05983334855465245+2.588689243810786e-17j)
(np.int64(1), np.int64(7), np.int64(3), np.int64(5)): (-0.029161405925284656+1.610466923865128e-17j)
(np.int64(1), np.int64(7), np.int64(4), np.int64(4)): (-0.023501069944727806+1.429941449444393e-17j)
(np.int64(1), np.int64(7), np.int64(5), np.int64(3)): (-0.029161405925284645+1.610466923865128e-17j)
(np.int64(1), np.int64(7), np.int64(6), np.int64(2)): (-0.059833348554652444+2.5886892438107864e-17j)
(np.int64(1), np.int64(7), np.int64(7), np.int64(1)): (4.336808689942018e-19+7.926020520681775e-19j)
(np.int64(2), np.int64(1), np.int64(1), np.int64(2)): (-0.6144067637292305-1.0285544480588701e-18j)
(np.int64(2), np.int64(1), np.int64(2), np.int64(1)): (-0.6144067637292305-1.0285544480588701e-18j)
(np.int64(2), np.int64(1), np.int64(4), np.int64(7)): (-0.02746710283669529-4.5731552249892855e-21j)
(np.int64(2), np.int64(1), np.int64(5), np.int64(6)): (-0.015421585410456976-2.616851619540655e-19j)
(np.int64(2), np.int64(1), np.int64(6), np.int64(5)): (-0.015421585410456962-2.6168516195406706e-19j)
(np.int64(2), np.int64(1), np.int64(7), np.int64(4)): (-0.027467102836695304-4.573155224987745e-21j)
(np.int64(2), np.int64(2), np.int64(1), np.int64(3)): (0.296129697982956-4.8223108514344795e-17j)
(np.int64(2), np.int64(2), np.int64(2), np.int64(2)): (-0.04419417382415924-3.28306519531385e-19j)
(np.int64(2), np.int64(2), np.int64(3), np.int64(1)): (0.2961296979829563-4.82231085143448e-17j)
(np.int64(2), np.int64(2), np.int64(5), np.int64(7)): (0.39430255614304327-3.532764053831928e-17j)
(np.int64(2), np.int64(2), np.int64(6), np.int64(6)): (0.04419417382415922-5.083918831940449e-18j)
(np.int64(2), np.int64(2), np.int64(7), np.int64(5)): (0.39430255614304344-3.5327640538319266e-17j)
(np.int64(2), np.int64(3), np.int64(1), np.int64(4)): (0.03131844165320034-2.775964822218209e-17j)
(np.int64(2), np.int64(3), np.int64(2), np.int64(3)): (0.11362279712877207+2.3086105402840385e-18j)
(np.int64(2), np.int64(3), np.int64(3), np.int64(2)): (0.11362279712877207+2.3086105402840385e-18j)
(np.int64(2), np.int64(3), np.int64(4), np.int64(1)): (0.03131844165320034-2.775964822218209e-17j)
(np.int64(2), np.int64(3), np.int64(6), np.int64(7)): (0.12053363731717123-1.203291574882053e-17j)
(np.int64(2), np.int64(3), np.int64(7), np.int64(6)): (0.12053363731717123-1.2032915748820539e-17j)
(np.int64(2), np.int64(4), np.int64(1), np.int64(5)): (0.0026171842258187056-2.1009647405152117e-17j)
(np.int64(2), np.int64(4), np.int64(2), np.int64(4)): (0.03125000000000002+1.585204104136354e-18j)
(np.int64(2), np.int64(4), np.int64(3), np.int64(3)): (0.16887305804424407+8.222611363503697e-17j)
(np.int64(2), np.int64(4), np.int64(4), np.int64(2)): (0.03125000000000002+1.585204104136354e-18j)
(np.int64(2), np.int64(4), np.int64(5), np.int64(1)): (0.002617184225818664-2.1009647405152117e-17j)
(np.int64(2), np.int64(4), np.int64(7), np.int64(7)): (0.09856693421334786-1.081499730380131e-17j)
(np.int64(2), np.int64(5), np.int64(1), np.int64(6)): (0.01680187686630487-1.9119229132750224e-17j)
(np.int64(2), np.int64(5), np.int64(2), np.int64(5)): (0.010069406535498253+1.5393405141801257e-18j)
(np.int64(2), np.int64(5), np.int64(3), np.int64(4)): (0.06631145218744625+4.901342872678685e-17j)
(np.int64(2), np.int64(5), np.int64(4), np.int64(3)): (0.06631145218744625+4.901342872678685e-17j)
(np.int64(2), np.int64(5), np.int64(5), np.int64(2)): (0.010069406535498253+1.5393405141801257e-18j)
(np.int64(2), np.int64(5), np.int64(6), np.int64(1)): (0.016801876866304924-1.9119229132750224e-17j)
(np.int64(2), np.int64(6), np.int64(1), np.int64(7)): (0.05983334855465243-2.3329758593775023e-17j)
(np.int64(2), np.int64(6), np.int64(2), np.int64(6)): (3.469446951953614e-18+1.913510623667739e-18j)
(np.int64(2), np.int64(6), np.int64(3), np.int64(5)): (-0.012312133914520422+4.167154765370288e-17j)
(np.int64(2), np.int64(6), np.int64(4), np.int64(4)): (-0.001072330470336286+3.1544761043757403e-17j)
(np.int64(2), np.int64(6), np.int64(5), np.int64(3)): (-0.012312133914520454+4.167154765370287e-17j)
(np.int64(2), np.int64(6), np.int64(6), np.int64(2)): (3.469446951953614e-18+1.913510623667739e-18j)
(np.int64(2), np.int64(6), np.int64(7), np.int64(1)): (0.05983334855465245-2.3329758593775023e-17j)
(np.int64(2), np.int64(7), np.int64(2), np.int64(7)): (-0.010853373135958341+3.0895186072644343e-18j)
(np.int64(2), np.int64(7), np.int64(3), np.int64(6)): (-0.12191392877301876+5.245633937491656e-17j)
(np.int64(2), np.int64(7), np.int64(4), np.int64(5)): (-0.06667378071252772+3.37657662212198e-17j)
(np.int64(2), np.int64(7), np.int64(5), np.int64(4)): (-0.06667378071252772+3.376576622121979e-17j)
(np.int64(2), np.int64(7), np.int64(6), np.int64(3)): (-0.12191392877301879+5.245633937491656e-17j)
(np.int64(2), np.int64(7), np.int64(7), np.int64(2)): (-0.010853373135958341+3.0895186072644343e-18j)
(np.int64(3), np.int64(1), np.int64(1), np.int64(3)): (-0.19714512686868435-8.683122619627012e-19j)
(np.int64(3), np.int64(1), np.int64(2), np.int64(2)): (-0.9055628098704587+4.473983138270763e-17j)
(np.int64(3), np.int64(1), np.int64(3), np.int64(1)): (-0.19714512686868435-8.683122619627012e-19j)
(np.int64(3), np.int64(1), np.int64(5), np.int64(7)): (0.08166018530477352-9.746165681785616e-18j)
(np.int64(3), np.int64(1), np.int64(6), np.int64(6)): (-0.2730787730979476+2.105992163081055e-17j)
(np.int64(3), np.int64(1), np.int64(7), np.int64(5)): (0.08166018530477352-9.746165681785616e-18j)
(np.int64(3), np.int64(2), np.int64(1), np.int64(4)): (0.19575508625931448-2.541320226172598e-17j)
(np.int64(3), np.int64(2), np.int64(2), np.int64(3)): (-0.14845533869411545-3.016345032258366e-18j)
