Shape: (8, 8, 8, 8)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(5)): (-0.022754493028111365+2.7866217053097355e-18j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(4)): (-0.03217971264527913+3.940878208852269e-18j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(3)): (-0.035355339059327376+4.329780281177466e-18j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(2)): (-0.03217971264527913+3.940878208852269e-18j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(1)): (-0.022754493028111365+2.7866217053097355e-18j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(7)): (0.014644660940672634-3.5869074291186e-18j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(4)): (-0.03217971264527913+3.940878208852269e-18j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(3)): (-0.04204482076268573+5.1490055167747255e-18j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(2)): (-0.042044820762685724+5.1490055167747255e-18j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(1)): (-0.03217971264527913+3.940878208852269e-18j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(7)): (0.027059805007309864-6.6277407175507085e-18j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(6)): (0.02705980500730986-6.627740717550709e-18j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(3)): (-0.03535533905932738+4.329780281177466e-18j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(2)): (-0.042044820762685724+5.149005516774725e-18j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(1)): (-0.03535533905932738+4.329780281177466e-18j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(7)): (0.035355339059327376-8.659560562354932e-18j)
(np.int64(1), np.int64(3), np.int64(6), np.int64(6)): (0.04204482076268574-1.0298011033549454e-17j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(5)): (0.03535533905932738-8.659560562354932e-18j)
(np.int64(1), np.int64(4), np.int64(1), np.int64(2)): (-0.03217971264527913+3.940878208852269e-18j)
(np.int64(1), np.int64(4), np.int64(2), np.int64(1)): (-0.03217971264527913+3.940878208852269e-18j)
(np.int64(1), np.int64(4), np.int64(4), np.int64(7)): (0.03826834323650899-9.373040810652599e-18j)
(np.int64(1), np.int64(4), np.int64(5), np.int64(6)): (0.05000000000000001-1.2246467991473534e-17j)
(np.int64(1), np.int64(4), np.int64(6), np.int64(5)): (0.05000000000000001-1.2246467991473534e-17j)
(np.int64(1), np.int64(4), np.int64(7), np.int64(4)): (0.03826834323650899-9.373040810652599e-18j)
(np.int64(1), np.int64(5), np.int64(1), np.int64(1)): (-0.022754493028111368+2.786621705309735e-18j)
(np.int64(1), np.int64(5), np.int64(3), np.int64(7)): (0.035355339059327376-8.659560562354932e-18j)
(np.int64(1), np.int64(5), np.int64(4), np.int64(6)): (0.05000000000000001-1.2246467991473534e-17j)
(np.int64(1), np.int64(5), np.int64(5), np.int64(5)): (0.05493420567339049-1.3454999828324008e-17j)
(np.int64(1), np.int64(5), np.int64(6), np.int64(4)): (0.05000000000000001-1.2246467991473534e-17j)
(np.int64(1), np.int64(5), np.int64(7), np.int64(3)): (0.03535533905932738-8.659560562354932e-18j)
(np.int64(1), np.int64(6), np.int64(2), np.int64(7)): (0.027059805007309853-6.627740717550706e-18j)
(np.int64(1), np.int64(6), np.int64(3), np.int64(6)): (0.04204482076268573-1.0298011033549454e-17j)
(np.int64(1), np.int64(6), np.int64(4), np.int64(5)): (0.05000000000000001-1.2246467991473534e-17j)
(np.int64(1), np.int64(6), np.int64(5), np.int64(4)): (0.05000000000000001-1.2246467991473534e-17j)
(np.int64(1), np.int64(6), np.int64(6), np.int64(3)): (0.04204482076268574-1.0298011033549453e-17j)
(np.int64(1), np.int64(6), np.int64(7), np.int64(2)): (0.02705980500730986-6.627740717550708e-18j)
(np.int64(1), np.int64(7), np.int64(1), np.int64(7)): (0.01464466094067263-3.5869074291186e-18j)
(np.int64(1), np.int64(7), np.int64(2), np.int64(6)): (0.027059805007309853-6.6277407175507054e-18j)
(np.int64(1), np.int64(7), np.int64(3), np.int64(5)): (0.03535533905932738-8.659560562354932e-18j)
(np.int64(1), np.int64(7), np.int64(4), np.int64(4)): (0.03826834323650899-9.373040810652599e-18j)
(np.int64(1), np.int64(7), np.int64(5), np.int64(3)): (0.03535533905932738-8.659560562354932e-18j)
(np.int64(1), np.int64(7), np.int64(6), np.int64(2)): (0.02705980500730985-6.6277407175507054e-18j)
(np.int64(1), np.int64(7), np.int64(7), np.int64(1)): (0.014644660940672632-3.5869074291186e-18j)
(np.int64(2), np.int64(1), np.int64(1), np.int64(4)): (-0.03217971264527913+3.94087820885227e-18j)
(np.int64(2), np.int64(1), np.int64(2), np.int64(3)): (-0.04204482076268573+5.1490055167747255e-18j)
(np.int64(2), np.int64(1), np.int64(3), np.int64(2)): (-0.042044820762685724+5.1490055167747255e-18j)
