Shape: (8, 8, 8, 8)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(7)): (0.03280086182358203-4.016947044152434e-18j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(6)): (0.020312191330043968-2.4875260096006965e-18j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(5)): (0.016855718808369998-2.0642302085998155e-18j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(4)): (0.015997466721990896-1.9591246415552452e-18j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(3)): (0.016855718808369998-2.0642302085998155e-18j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(2)): (0.020312191330043965-2.4875260096006965e-18j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(1)): (0.03280086182358203-4.016947044152435e-18j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(6)): (0.020312191330043968-2.4875260096006973e-18j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(5)): (0.015752396092867216-1.92911214540311e-18j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(4)): (0.014458945498591034-1.770710132389554e-18j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(3)): (0.014458945498591034-1.770710132389554e-18j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(2)): (0.015752396092867212-1.92911214540311e-18j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(1)): (0.020312191330043968-2.4875260096006973e-18j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(5)): (0.016855718808369995-2.0642302085998147e-18j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(4)): (0.014458945498591034-1.7707101323895536e-18j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(3)): (0.013963370089060881-1.7100196484878298e-18j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(2)): (0.014458945498591034-1.7707101323895536e-18j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(1)): (0.016855718808369995-2.0642302085998147e-18j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(7)): (-0.03286040876214009+8.048478881845698e-18j)
(np.int64(1), np.int64(4), np.int64(1), np.int64(4)): (0.015997466721990896-1.9591246415552452e-18j)
(np.int64(1), np.int64(4), np.int64(2), np.int64(3)): (0.014458945498591034-1.770710132389554e-18j)
(np.int64(1), np.int64(4), np.int64(3), np.int64(2)): (0.014458945498591034-1.7707101323895536e-18j)
(np.int64(1), np.int64(4), np.int64(4), np.int64(1)): (0.015997466721990896-1.9591246415552452e-18j)
(np.int64(1), np.int64(4), np.int64(6), np.int64(7)): (-0.02343948281251936+5.741017520004247e-18j)
(np.int64(1), np.int64(4), np.int64(7), np.int64(6)): (-0.02343948281251936+5.741017520004247e-18j)
(np.int64(1), np.int64(5), np.int64(1), np.int64(3)): (0.016855718808369995-2.064230208599815e-18j)
(np.int64(1), np.int64(5), np.int64(2), np.int64(2)): (0.015752396092867212-1.9291121454031097e-18j)
(np.int64(1), np.int64(5), np.int64(3), np.int64(1)): (0.016855718808369995-2.0642302085998147e-18j)
(np.int64(1), np.int64(5), np.int64(5), np.int64(7)): (-0.021525943070536298+5.2723354559920844e-18j)
(np.int64(1), np.int64(5), np.int64(6), np.int64(6)): (-0.019463369322941473+4.7671505883926115e-18j)
(np.int64(1), np.int64(5), np.int64(7), np.int64(5)): (-0.021525943070536298+5.2723354559920844e-18j)
(np.int64(1), np.int64(6), np.int64(1), np.int64(2)): (0.02031219133004396-2.4875260096006965e-18j)
(np.int64(1), np.int64(6), np.int64(2), np.int64(1)): (0.020312191330043965-2.4875260096006965e-18j)
(np.int64(1), np.int64(6), np.int64(4), np.int64(7)): (-0.02343948281251936+5.741017520004247e-18j)
(np.int64(1), np.int64(6), np.int64(5), np.int64(6)): (-0.01946336932294147+4.7671505883926115e-18j)
(np.int64(1), np.int64(6), np.int64(6), np.int64(5)): (-0.019463369322941473+4.7671505883926115e-18j)
(np.int64(1), np.int64(6), np.int64(7), np.int64(4)): (-0.02343948281251936+5.741017520004247e-18j)
(np.int64(1), np.int64(7), np.int64(1), np.int64(1)): (0.03280086182358203-4.016947044152435e-18j)
(np.int64(1), np.int64(7), np.int64(3), np.int64(7)): (-0.032860408762140095+8.0484788818457e-18j)
(np.int64(1), np.int64(7), np.int64(4), np.int64(6)): (-0.02343948281251936+5.741017520004247e-18j)
(np.int64(1), np.int64(7), np.int64(5), np.int64(5)): (-0.021525943070536298+5.2723354559920844e-18j)
(np.int64(1), np.int64(7), np.int64(6), np.int64(4)): (-0.02343948281251936+5.741017520004247e-18j)
(np.int64(1), np.int64(7), np.int64(7), np.int64(3)): (-0.032860408762140095+8.0484788818457e-18j)
(np.int64(2), np.int64(1), np.int64(2), np.int64(7)): (0.03753203566056166-4.3619168102708765e-18j)
(np.int64(2), np.int64(1), np.int64(3), np.int64(6)): (0.026904424839325463-3.138813542788791e-18j)
(np.int64(2), np.int64(1), np.int64(4), np.int64(5)): (0.023849073573268643-2.7883442483218036e-18j)
(np.int64(2), np.int64(1), np.int64(5), np.int64(4)): (0.02384907357326864-2.788344248321803e-18j)
(np.int64(2), np.int64(1), np.int64(6), np.int64(3)): (0.026904424839325463-3.138813542788791e-18j)
(np.int64(2), np.int64(1), np.int64(7), np.int64(2)): (0.03753203566056166-4.3619168102708765e-18j)
(np.int64(2), np.int64(2), np.int64(1), np.int64(7)): (0.03753203566056167-4.361916810270877e-18j)
(np.int64(2), np.int64(2), np.int64(2), np.int64(6)): (0.02504336516702356-3.0669276991673727e-18j)
(np.int64(2), np.int64(2), np.int64(3), np.int64(5)): (0.021586892645349593-2.643631898166492e-18j)
(np.int64(2), np.int64(2), np.int64(4), np.int64(4)): (0.020728640558970484-2.5385263311219206e-18j)
(np.int64(2), np.int64(2), np.int64(5), np.int64(3)): (0.021586892645349593-2.643631898166492e-18j)
(np.int64(2), np.int64(2), np.int64(6), np.int64(2)): (0.02504336516702356-3.0669276991673727e-18j)
(np.int64(2), np.int64(2), np.int64(7), np.int64(1)): (0.03753203566056167-4.361916810270877e-18j)
(np.int64(2), np.int64(3), np.int64(1), np.int64(6)): (0.026904424839325463-3.138813542788791e-18j)
(np.int64(2), np.int64(3), np.int64(2), np.int64(5)): (0.021586892645349593-2.6436318981664917e-18j)
(np.int64(2), np.int64(3), np.int64(3), np.int64(4)): (0.020066225323321755-2.457403861317555e-18j)
(np.int64(2), np.int64(3), np.int64(4), np.int64(3)): (0.020066225323321755-2.457403861317555e-18j)
(np.int64(2), np.int64(3), np.int64(5), np.int64(2)): (0.02158689264534959-2.6436318981664917e-18j)
(np.int64(2), np.int64(3), np.int64(6), np.int64(1)): (0.026904424839325463-3.138813542788791e-18j)
(np.int64(2), np.int64(4), np.int64(1), np.int64(5)): (0.023849073573268643-2.788344248321803e-18j)
(np.int64(2), np.int64(4), np.int64(2), np.int64(4)): (0.020728640558970484-2.5385263311219206e-18j)
(np.int64(2), np.int64(4), np.int64(3), np.int64(3)): (0.020066225323321755-2.457403861317555e-18j)
(np.int64(2), np.int64(4), np.int64(4), np.int64(2)): (0.020728640558970484-2.5385263311219206e-18j)
(np.int64(2), np.int64(4), np.int64(5), np.int64(1)): (0.02384907357326864-2.788344248321803e-18j)
(np.int64(2), np.int64(4), np.int64(7), np.int64(7)): (-0.06234650989113928+1.52704907552385e-17j)
(np.int64(2), np.int64(5), np.int64(1), np.int64(4)): (0.02384907357326864-2.788344248321803e-18j)
(np.int64(2), np.int64(5), np.int64(2), np.int64(3)): (0.021586892645349593-2.643631898166492e-18j)
(np.int64(2), np.int64(5), np.int64(3), np.int64(2)): (0.02158689264534959-2.643631898166492e-18j)
(np.int64(2), np.int64(5), np.int64(4), np.int64(1)): (0.02384907357326864-2.788344248321803e-18j)
(np.int64(2), np.int64(5), np.int64(6), np.int64(7)): (-0.045866502362751554+1.1234053061325642e-17j)
(np.int64(2), np.int64(5), np.int64(7), np.int64(6)): (-0.045866502362751554+1.1234053061325645e-17j)
(np.int64(2), np.int64(6), np.int64(1), np.int64(3)): (0.026904424839325463-3.138813542788791e-18j)
(np.int64(2), np.int64(6), np.int64(2), np.int64(2)): (0.02504336516702356-3.0669276991673727e-18j)
(np.int64(2), np.int64(6), np.int64(3), np.int64(1)): (0.026904424839325463-3.138813542788791e-18j)
(np.int64(2), np.int64(6), np.int64(5), np.int64(7)): (-0.045866502362751575+1.1234053061325647e-17j)
(np.int64(2), np.int64(6), np.int64(6), np.int64(6)): (-0.03977475644174328+9.742005632649295e-18j)
(np.int64(2), np.int64(6), np.int64(7), np.int64(5)): (-0.04586650236275158+1.1234053061325647e-17j)
(np.int64(2), np.int64(7), np.int64(1), np.int64(2)): (0.03753203566056166-4.3619168102708765e-18j)
(np.int64(2), np.int64(7), np.int64(2), np.int64(1)): (0.03753203566056167-4.3619168102708765e-18j)
(np.int64(2), np.int64(7), np.int64(4), np.int64(7)): (-0.06234650989113928+1.52704907552385e-17j)
(np.int64(2), np.int64(7), np.int64(5), np.int64(6)): (-0.04586650236275157+1.1234053061325645e-17j)
(np.int64(2), np.int64(7), np.int64(6), np.int64(5)): (-0.045866502362751575+1.1234053061325642e-17j)
(np.int64(2), np.int64(7), np.int64(7), np.int64(4)): (-0.06234650989113928+1.52704907552385e-17j)
(np.int64(3), np.int64(1), np.int64(1), np.int64(1)): (-0.42051229081233554-3.730925107907744e-18j)
(np.int64(3), np.int64(1), np.int64(3), np.int64(7)): (0.04069330495071411-4.569634215771435e-18j)
(np.int64(3), np.int64(1), np.int64(4), np.int64(6)): (0.03175559535865171-3.5684715703833355e-18j)
(np.int64(3), np.int64(1), np.int64(5), np.int64(5)): (0.029781748040235725-3.350319881491619e-18j)
(np.int64(3), np.int64(1), np.int64(6), np.int64(4)): (0.03175559535865171-3.5684715703833355e-18j)
(np.int64(3), np.int64(1), np.int64(7), np.int64(3)): (0.04069330495071411-4.569634215771435e-18j)
(np.int64(3), np.int64(2), np.int64(2), np.int64(7)): (0.036936019184783966-3.884680710691531e-18j)
(np.int64(3), np.int64(2), np.int64(3), np.int64(6)): (0.02820463445717601-3.2300930060447447e-18j)
(np.int64(3), np.int64(2), np.int64(4), np.int64(5)): (0.02566102838100998-2.949931999909259e-18j)
(np.int64(3), np.int64(2), np.int64(5), np.int64(4)): (0.02566102838100998-2.949931999909259e-18j)
(np.int64(3), np.int64(2), np.int64(6), np.int64(3)): (0.028204634457176008-3.230093006044744e-18j)
(np.int64(3), np.int64(2), np.int64(7), np.int64(2)): (0.03693601918478397-3.884680710691531e-18j)
(np.int64(3), np.int64(3), np.int64(1), np.int64(7)): (0.040693304950714104-4.569634215771434e-18j)
(np.int64(3), np.int64(3), np.int64(2), np.int64(6)): (0.028204634457176008-3.230093006044744e-18j)
(np.int64(3), np.int64(3), np.int64(3), np.int64(5)): (0.024748161935502035-3.0307757299092935e-18j)
(np.int64(3), np.int64(3), np.int64(4), np.int64(4)): (0.023889909849122936-2.925670162864723e-18j)
(np.int64(3), np.int64(3), np.int64(5), np.int64(3)): (0.024748161935502035-3.0307757299092935e-18j)
(np.int64(3), np.int64(3), np.int64(6), np.int64(2)): (0.02820463445717601-3.2300930060447443e-18j)
(np.int64(3), np.int64(3), np.int64(7), np.int64(1)): (0.04069330495071411-4.569634215771435e-18j)
(np.int64(3), np.int64(4), np.int64(1), np.int64(6)): (0.031755595358651696-3.568471570383334e-18j)
(np.int64(3), np.int64(4), np.int64(2), np.int64(5)): (0.02566102838100998-2.949931999909259e-18j)
(np.int64(3), np.int64(4), np.int64(3), np.int64(4)): (0.023889909849122936-2.925670162864723e-18j)
(np.int64(3), np.int64(4), np.int64(4), np.int64(3)): (0.023889909849122936-2.925670162864723e-18j)
(np.int64(3), np.int64(4), np.int64(5), np.int64(2)): (0.025661028381009976-2.9499319999092584e-18j)
(np.int64(3), np.int64(4), np.int64(6), np.int64(1)): (0.03175559535865169-3.568471570383334e-18j)
(np.int64(3), np.int64(5), np.int64(1), np.int64(5)): (0.029781748040235714-3.350319881491617e-18j)
(np.int64(3), np.int64(5), np.int64(2), np.int64(4)): (0.025661028381009976-2.9499319999092584e-18j)
(np.int64(3), np.int64(5), np.int64(3), np.int64(3)): (0.024748161935502035-3.0307757299092935e-18j)
(np.int64(3), np.int64(5), np.int64(4), np.int64(2)): (0.025661028381009976-2.9499319999092584e-18j)
(np.int64(3), np.int64(5), np.int64(5), np.int64(1)): (0.029781748040235714-3.350319881491617e-18j)
(np.int64(3), np.int64(5), np.int64(7), np.int64(7)): (-0.10640834724027533+2.6062528370072662e-17j)
(np.int64(3), np.int64(6), np.int64(1), np.int64(4)): (0.03175559535865169-3.568471570383334e-18j)
(np.int64(3), np.int64(6), np.int64(2), np.int64(3)): (0.028204634457176008-3.230093006044744e-18j)
(np.int64(3), np.int64(6), np.int64(3), np.int64(2)): (0.02820463445717601-3.230093006044744e-18j)
(np.int64(3), np.int64(6), np.int64(4), np.int64(1)): (0.03175559535865169-3.568471570383334e-18j)
(np.int64(3), np.int64(6), np.int64(6), np.int64(7)): (-0.08538158342255493+2.091245656891292e-17j)
