Shape: (8, 8, 8, 8)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(5)): (0.02072183743185179-2.537693188336911e-18j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(4)): (0.016183671006095333-1.9819280896068478e-18j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(3)): (0.015221140316611795-1.8640520768111363e-18j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(2)): (0.016183671006095333-1.9819280896068478e-18j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(1)): (0.02072183743185179-2.537693188336911e-18j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(7)): (-0.016400430911791+4.0169470441524316e-18j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(4)): (0.016183671006095336-1.9819280896068474e-18j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(3)): (0.013988234630109944-1.71306467654863e-18j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(2)): (0.013988234630109942-1.71306467654863e-18j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(1)): (0.016183671006095336-1.9819280896068474e-18j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(7)): (-0.013179498266390085+3.2280460732605404e-18j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(6)): (-0.013179498266390083+3.2280460732605404e-18j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(3)): (0.015221140316611792-1.864052076811136e-18j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(2)): (0.013988234630109942-1.71306467654863e-18j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(1)): (0.015221140316611792-1.864052076811136e-18j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(7)): (-0.011918793071172057+2.9192623568621018e-18j)
(np.int64(1), np.int64(3), np.int64(6), np.int64(6)): (-0.01132117512016428+2.7728881746991676e-18j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(5)): (-0.011918793071172058+2.9192623568621018e-18j)
(np.int64(1), np.int64(4), np.int64(1), np.int64(2)): (0.01618367100609533-1.9819280896068474e-18j)
(np.int64(1), np.int64(4), np.int64(2), np.int64(1)): (0.016183671006095336-1.9819280896068474e-18j)
(np.int64(1), np.int64(4), np.int64(4), np.int64(7)): (-0.011569869391308983+2.833800703323896e-18j)
(np.int64(1), np.int64(4), np.int64(5), np.int64(6)): (-0.010786878312722913+2.6420231996936237e-18j)
(np.int64(1), np.int64(4), np.int64(6), np.int64(5)): (-0.010786878312722917+2.6420231996936237e-18j)
(np.int64(1), np.int64(4), np.int64(7), np.int64(4)): (-0.011569869391308983+2.833800703323896e-18j)
(np.int64(1), np.int64(5), np.int64(1), np.int64(1)): (0.020721837431851797-2.5376931883369115e-18j)
(np.int64(1), np.int64(5), np.int64(3), np.int64(7)): (-0.011918793071172057+2.9192623568621018e-18j)
(np.int64(1), np.int64(5), np.int64(4), np.int64(6)): (-0.010786878312722915+2.642023199693624e-18j)
(np.int64(1), np.int64(5), np.int64(5), np.int64(5)): (-0.010575288376150273+2.590198611982529e-18j)
(np.int64(1), np.int64(5), np.int64(6), np.int64(4)): (-0.010786878312722918+2.642023199693624e-18j)
(np.int64(1), np.int64(5), np.int64(7), np.int64(3)): (-0.011918793071172058+2.9192623568621018e-18j)
(np.int64(1), np.int64(6), np.int64(2), np.int64(7)): (-0.013179498266390081+3.2280460732605396e-18j)
(np.int64(1), np.int64(6), np.int64(3), np.int64(6)): (-0.011321175120164279+2.7728881746991676e-18j)
(np.int64(1), np.int64(6), np.int64(4), np.int64(5)): (-0.010786878312722917+2.6420231996936237e-18j)
(np.int64(1), np.int64(6), np.int64(5), np.int64(4)): (-0.010786878312722917+2.6420231996936237e-18j)
(np.int64(1), np.int64(6), np.int64(6), np.int64(3)): (-0.01132117512016428+2.7728881746991676e-18j)
(np.int64(1), np.int64(6), np.int64(7), np.int64(2)): (-0.013179498266390083+3.2280460732605404e-18j)
(np.int64(1), np.int64(7), np.int64(1), np.int64(7)): (-0.016400430911790997+4.0169470441524316e-18j)
(np.int64(1), np.int64(7), np.int64(2), np.int64(6)): (-0.013179498266390081+3.2280460732605396e-18j)
(np.int64(1), np.int64(7), np.int64(3), np.int64(5)): (-0.011918793071172058+2.9192623568621018e-18j)
(np.int64(1), np.int64(7), np.int64(4), np.int64(4)): (-0.011569869391308982+2.8338007033238956e-18j)
(np.int64(1), np.int64(7), np.int64(5), np.int64(3)): (-0.011918793071172058+2.9192623568621018e-18j)
(np.int64(1), np.int64(7), np.int64(6), np.int64(2)): (-0.013179498266390081+3.2280460732605396e-18j)
(np.int64(1), np.int64(7), np.int64(7), np.int64(1)): (-0.016400430911791+4.0169470441524316e-18j)
(np.int64(2), np.int64(1), np.int64(1), np.int64(4)): (0.026685349255396333-3.2680127549750312e-18j)
(np.int64(2), np.int64(1), np.int64(2), np.int64(3)): (0.022025871186182593-2.697391264659042e-18j)
(np.int64(2), np.int64(1), np.int64(3), np.int64(2)): (0.022025871186182593-2.6973912646590417e-18j)
(np.int64(2), np.int64(1), np.int64(4), np.int64(1)): (0.026685349255396333-3.268012754975032e-18j)
(np.int64(2), np.int64(1), np.int64(6), np.int64(7)): (-0.01317949826639008+3.2280460732605393e-18j)
(np.int64(2), np.int64(1), np.int64(7), np.int64(6)): (-0.01317949826639008+3.22804607326054e-18j)
(np.int64(2), np.int64(2), np.int64(1), np.int64(3)): (0.022025871186182593-2.697391264659043e-18j)
(np.int64(2), np.int64(2), np.int64(2), np.int64(2)): (0.019887378220871648-2.4355014081623248e-18j)
(np.int64(2), np.int64(2), np.int64(3), np.int64(1)): (0.022025871186182593-2.697391264659042e-18j)
(np.int64(2), np.int64(2), np.int64(5), np.int64(7)): (-0.01291996043566997+3.1644776385307348e-18j)
(np.int64(2), np.int64(2), np.int64(6), np.int64(6)): (-0.012521682583511778+3.066927699167371e-18j)
(np.int64(2), np.int64(2), np.int64(7), np.int64(5)): (-0.012919960435669972+3.1644776385307348e-18j)
(np.int64(2), np.int64(3), np.int64(1), np.int64(2)): (0.022025871186182586-2.6973912646590417e-18j)
(np.int64(2), np.int64(3), np.int64(2), np.int64(1)): (0.022025871186182593-2.697391264659042e-18j)
(np.int64(2), np.int64(3), np.int64(4), np.int64(7)): (-0.01265750776171536+3.100195273113499e-18j)
(np.int64(2), np.int64(3), np.int64(5), np.int64(6)): (-0.012227992422781171+2.9949943561114102e-18j)
(np.int64(2), np.int64(3), np.int64(6), np.int64(5)): (-0.012227992422781173+2.9949943561114094e-18j)
(np.int64(2), np.int64(3), np.int64(7), np.int64(4)): (-0.01265750776171536+3.100195273113499e-18j)
(np.int64(2), np.int64(4), np.int64(1), np.int64(1)): (0.026685349255396333-3.268012754975032e-18j)
(np.int64(2), np.int64(4), np.int64(3), np.int64(7)): (-0.01265750776171536+3.100195273113499e-18j)
(np.int64(2), np.int64(4), np.int64(4), np.int64(6)): (-0.012142556509887896+2.974068592660013e-18j)
(np.int64(2), np.int64(4), np.int64(5), np.int64(5)): (-0.012083384556450609+2.9595756439847595e-18j)
(np.int64(2), np.int64(4), np.int64(6), np.int64(4)): (-0.012142556509887896+2.974068592660013e-18j)
