Shape: (8, 8, 8, 8)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(1)): (0.1506281566461769+1.076558557453464e-18j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(2)): (0.04735465876279244+4.142337948469193e-18j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(1)): (0.047354658762792455+4.142337948469192e-18j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(3)): (0.061871843353822925+5.4122253514718346e-18j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(1)): (0.061871843353822925+5.4122253514718346e-18j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(7)): (-0.0618718433538229+5.230669531604459e-18j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(5)): (-0.06187184335382291+5.230669531604459e-18j)
(np.int64(1), np.int64(4), np.int64(1), np.int64(4)): (0.06696960066389071+5.858150506657873e-18j)
(np.int64(1), np.int64(4), np.int64(4), np.int64(1)): (0.06696960066389071+5.858150506657873e-18j)
(np.int64(1), np.int64(5), np.int64(1), np.int64(5)): (0.061871843353822904+5.412225351471833e-18j)
(np.int64(1), np.int64(5), np.int64(5), np.int64(1)): (0.061871843353822904+5.412225351471833e-18j)
(np.int64(1), np.int64(6), np.int64(1), np.int64(6)): (0.047354658762792254+4.142337948469192e-18j)
(np.int64(1), np.int64(6), np.int64(6), np.int64(1)): (0.047354658762792254+4.142337948469192e-18j)
(np.int64(1), np.int64(7), np.int64(1), np.int64(7)): (0.025628156646177104+2.2418171431991253e-18j)
(np.int64(1), np.int64(7), np.int64(7), np.int64(1)): (0.025628156646177104+2.2418171431991253e-18j)
(np.int64(2), np.int64(1), np.int64(1), np.int64(2)): (0.047354658762792455+4.142337948469193e-18j)
(np.int64(2), np.int64(1), np.int64(2), np.int64(1)): (0.04735465876279247+4.142337948469192e-18j)
(np.int64(2), np.int64(2), np.int64(2), np.int64(2)): (0.21250000000000002+3.170408208272708e-18j)
(np.int64(2), np.int64(2), np.int64(6), np.int64(6)): (-0.08750000000000002+7.545251284266635e-18j)
(np.int64(2), np.int64(3), np.int64(2), np.int64(3)): (0.11432425942668295+1.0000488455127065e-17j)
(np.int64(2), np.int64(3), np.int64(3), np.int64(2)): (0.1143242594266829+1.0000488455127065e-17j)
(np.int64(2), np.int64(4), np.int64(2), np.int64(4)): (0.12374368670764582+1.0824450702943665e-17j)
(np.int64(2), np.int64(4), np.int64(4), np.int64(2)): (0.12374368670764582+1.0824450702943665e-17j)
(np.int64(2), np.int64(5), np.int64(2), np.int64(5)): (0.11432425942668303+1.0000488455127062e-17j)
(np.int64(2), np.int64(5), np.int64(5), np.int64(2)): (0.11432425942668298+1.0000488455127062e-17j)
(np.int64(2), np.int64(6), np.int64(2), np.int64(6)): (0.08750000000000002+7.654042494670956e-18j)
(np.int64(2), np.int64(6), np.int64(6), np.int64(2)): (0.08750000000000002+7.654042494670956e-18j)
(np.int64(2), np.int64(7), np.int64(2), np.int64(7)): (0.04735465876279223+6.295455063376121e-18j)
(np.int64(2), np.int64(7), np.int64(7), np.int64(2)): (0.04735465876279225+6.295455063376121e-18j)
(np.int64(3), np.int64(1), np.int64(1), np.int64(3)): (0.061871843353822925+5.4122253514718346e-18j)
(np.int64(3), np.int64(1), np.int64(3), np.int64(1)): (0.061871843353822925+5.4122253514718346e-18j)
(np.int64(3), np.int64(1), np.int64(5), np.int64(7)): (-0.06187184335382291+5.230669531604461e-18j)
(np.int64(3), np.int64(1), np.int64(7), np.int64(5)): (-0.06187184335382294+5.230669531604459e-18j)
(np.int64(3), np.int64(2), np.int64(2), np.int64(3)): (0.11432425942668295+1.0000488455127065e-17j)
(np.int64(3), np.int64(2), np.int64(3), np.int64(2)): (0.11432425942668294+1.0000488455127065e-17j)
(np.int64(3), np.int64(3), np.int64(3), np.int64(3)): (0.2743718433538229+3.6163333634587464e-18j)
(np.int64(3), np.int64(4), np.int64(3), np.int64(4)): (0.16167891818947522+1.4142826403596256e-17j)
(np.int64(3), np.int64(4), np.int64(4), np.int64(3)): (0.16167891818947522+1.4142826403596256e-17j)
(np.int64(3), np.int64(5), np.int64(3), np.int64(5)): (0.14937184335382298+1.3066267846142784e-17j)
