Shape: (8, 8, 8, 8)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(1)): (0.0014644660940672626+0j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(7)): (-0.002275449302811137+2.7866217053097357e-19j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(6)): (-0.003217971264527913+3.9408782088522695e-19j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(5)): (-0.0035355339059327377+4.3297802811774666e-19j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(4)): (-0.003217971264527913+3.9408782088522695e-19j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(3)): (-0.002275449302811137+2.7866217053097357e-19j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(2)): (0.002705980500730985+0j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(1)): (0.0027059805007309846+0j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(7)): (-0.0032179712645279135+3.9408782088522695e-19j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(6)): (-0.004204482076268572+5.149005516774726e-19j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(5)): (-0.004204482076268572+5.149005516774726e-19j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(4)): (-0.0032179712645279135+3.9408782088522695e-19j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(3)): (0.0035355339059327372+0j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(2)): (0.004204482076268571+0j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(1)): (0.0035355339059327372+0j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(7)): (-0.0035355339059327377+4.329780281177467e-19j)
(np.int64(1), np.int64(3), np.int64(6), np.int64(6)): (-0.004204482076268573+5.149005516774727e-19j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(5)): (-0.0035355339059327377+4.329780281177467e-19j)
(np.int64(1), np.int64(4), np.int64(1), np.int64(4)): (0.003826834323650898+0j)
(np.int64(1), np.int64(4), np.int64(2), np.int64(3)): (0.005+0j)
(np.int64(1), np.int64(4), np.int64(3), np.int64(2)): (0.004999999999999999+0j)
(np.int64(1), np.int64(4), np.int64(4), np.int64(1)): (0.003826834323650898+0j)
(np.int64(1), np.int64(4), np.int64(6), np.int64(7)): (-0.0032179712645279144+3.94087820885227e-19j)
(np.int64(1), np.int64(4), np.int64(7), np.int64(6)): (-0.003217971264527914+3.9408782088522705e-19j)
(np.int64(1), np.int64(5), np.int64(1), np.int64(5)): (0.0035355339059327372+0j)
(np.int64(1), np.int64(5), np.int64(2), np.int64(4)): (0.004999999999999999+0j)
(np.int64(1), np.int64(5), np.int64(3), np.int64(3)): (0.00549342056733905+0j)
(np.int64(1), np.int64(5), np.int64(4), np.int64(2)): (0.004999999999999999+0j)
(np.int64(1), np.int64(5), np.int64(5), np.int64(1)): (0.0035355339059327372+0j)
(np.int64(1), np.int64(5), np.int64(7), np.int64(7)): (-0.0022754493028111374+2.7866217053097357e-19j)
(np.int64(1), np.int64(6), np.int64(1), np.int64(6)): (0.0027059805007309855+0j)
(np.int64(1), np.int64(6), np.int64(2), np.int64(5)): (0.004204482076268572+0j)
(np.int64(1), np.int64(6), np.int64(3), np.int64(4)): (0.005000000000000001+0j)
(np.int64(1), np.int64(6), np.int64(4), np.int64(3)): (0.005000000000000001+0j)
(np.int64(1), np.int64(6), np.int64(5), np.int64(2)): (0.004204482076268572+0j)
(np.int64(1), np.int64(6), np.int64(6), np.int64(1)): (0.0027059805007309855+0j)
(np.int64(1), np.int64(7), np.int64(1), np.int64(7)): (0.0014644660940672629+0j)
(np.int64(1), np.int64(7), np.int64(2), np.int64(6)): (0.002705980500730985+0j)
(np.int64(1), np.int64(7), np.int64(3), np.int64(5)): (0.0035355339059327377+0j)
