Shape: (8, 8, 8, 8)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(5)): (-0.0022754493028111365+2.786621705309735e-19j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(4)): (-0.003217971264527913+3.9408782088522695e-19j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(3)): (-0.0035355339059327377+4.3297802811774666e-19j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(2)): (-0.003217971264527913+3.9408782088522695e-19j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(1)): (-0.002275449302811136+2.786621705309735e-19j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(7)): (0.001464466094067263-3.5869074291186e-19j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(4)): (-0.0032179712645279135+3.940878208852269e-19j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(3)): (-0.004204482076268573+5.149005516774725e-19j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(2)): (-0.004204482076268574+5.149005516774725e-19j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(1)): (-0.0032179712645279135+3.940878208852269e-19j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(7)): (0.002705980500730986-6.627740717550708e-19j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(6)): (0.002705980500730986-6.627740717550709e-19j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(3)): (-0.0035355339059327372+4.3297802811774666e-19j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(2)): (-0.004204482076268571+5.149005516774725e-19j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(1)): (-0.0035355339059327372+4.3297802811774666e-19j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(7)): (0.0035355339059327377-8.659560562354934e-19j)
(np.int64(1), np.int64(3), np.int64(6), np.int64(6)): (0.004204482076268573-1.0298011033549453e-18j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(5)): (0.0035355339059327377-8.659560562354934e-19j)
(np.int64(1), np.int64(4), np.int64(1), np.int64(2)): (-0.003217971264527913+3.9408782088522695e-19j)
(np.int64(1), np.int64(4), np.int64(2), np.int64(1)): (-0.0032179712645279135+3.940878208852269e-19j)
(np.int64(1), np.int64(4), np.int64(4), np.int64(7)): (0.0038268343236508985-9.373040810652598e-19j)
(np.int64(1), np.int64(4), np.int64(5), np.int64(6)): (0.005-1.2246467991473534e-18j)
