Shape: (8, 8, 8, 8, 8)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(7)): (-0.03591713245115402+4.343252376451887e-18j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(6)): (-0.022441903956882038+2.4588935511855566e-18j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(4), np.int64(5)): (-0.017839180275457264+1.773287846176448e-18j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(5), np.int64(4)): (-0.017839180275457264+1.773287846176448e-18j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(6), np.int64(3)): (-0.022441903956882038+2.4588935511855562e-18j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(7), np.int64(2)): (-0.03591713245115402+4.343252376451887e-18j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(7)): (-0.03591713245115402+4.343252376451887e-18j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(2), np.int64(6)): (-0.1324922332698621+2.04836398326106e-17j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(3), np.int64(5)): (-0.08841727527822452+1.3915906494728905e-17j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(4), np.int64(4)): (-0.07935747312549768+1.2552869074216171e-17j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(5), np.int64(3)): (-0.08841727527822452+1.3915906494728905e-17j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(6), np.int64(2)): (-0.1324922332698621+2.0483639832610606e-17j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(7), np.int64(1)): (-0.03591713245115402+4.343252376451887e-18j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(6)): (-0.022441903956882038+2.4588935511855562e-18j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(2), np.int64(5)): (-0.08841727527822452+1.3915906494728905e-17j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(4)): (-0.051741110620749264+8.369306935930026e-18j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(4), np.int64(3)): (-0.05174111062074925+8.369306935930024e-18j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(5), np.int64(2)): (-0.0884172752782245+1.39159064947289e-17j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(6), np.int64(1)): (-0.022441903956882038+2.4588935511855562e-18j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(1), np.int64(5)): (-0.017839180275457264+1.773287846176448e-18j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(2), np.int64(4)): (-0.07935747312549767+1.2552869074216174e-17j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(3), np.int64(3)): (-0.05174111062074925+8.369306935930024e-18j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(4), np.int64(2)): (-0.0793574731254977+1.2552869074216174e-17j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(5), np.int64(1)): (-0.017839180275457264+1.773287846176448e-18j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(7), np.int64(7)): (0.055629209041869784-1.421767143815561e-17j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(1), np.int64(4)): (-0.017839180275457264+1.773287846176448e-18j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(2), np.int64(3)): (-0.08841727527822452+1.3915906494728905e-17j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(3), np.int64(2)): (-0.0884172752782245+1.3915906494728905e-17j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(4), np.int64(1)): (-0.017839180275457264+1.773287846176448e-18j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(6), np.int64(7)): (0.032855859691382334-7.66892404563332e-18j)
